"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1OHDL0037","2022-04","40.28255","-82.942245","289.6","SUNBURY 4.8 WNW, OH US","17",",N","10",",N","0",",N","20220414",",,N","20.3",",,N,14,","76.6",",,,N"
"US1OHDL0037","2022-05","40.28255","-82.942245","289.6","SUNBURY 4.8 WNW, OH US","14","5,N","10","5,N","1","5,N","20220506",",5,N","26.4","5,,N,06,","124.1",",a,,N"
"US1OHDL0037","2022-06","40.28255","-82.942245","289.6","SUNBURY 4.8 WNW, OH US","9","1,N","6","1,N","1","1,N","20220614",",1,N","26.9","1,,N,14,","86.9","1,,,N"
"US1OHDL0037","2022-07","40.28255","-82.942245","289.6","SUNBURY 4.8 WNW, OH US","13",",N","9",",N","3",",N","20220706",",,N","74.4",",,N,06,","219.8",",,,N"
"US1OHDL0037","2022-08","40.28255","-82.942245","289.6","SUNBURY 4.8 WNW, OH US","10",",N","3",",N","1",",N","20220821",",,N","25.9",",,N,21,","46.4",",,,N"
"US1OHDL0037","2022-09","40.28255","-82.942245","289.6","SUNBURY 4.8 WNW, OH US","13","1,N","6","1,N","2","1,N","20220905","+,1,N","25.4","1,,N,05,+","92.3","1,,,N"
"US1OHDL0037","2022-10","40.28255","-82.942245","289.6","SUNBURY 4.8 WNW, OH US","7",",N","3",",N","0",",N","20221013",",,N","17.8",",,N,13,","32.6",",,,N"
"US1OHDL0037","2022-11","40.28255","-82.942245","289.6","SUNBURY 4.8 WNW, OH US","11",",N","3",",N","0",",N","20221111",",,N","19.1",",,N,11,","56.5",",,,N"
"US1OHDL0037","2022-12","40.28255","-82.942245","289.6","SUNBURY 4.8 WNW, OH US","10","1,N","4","1,N","0","1,N","20221215",",1,N","11.7","1,,N,15,","38.4","1,,,N"
"US1OHDL0037","2023-01","40.28255","-82.942245","289.6","SUNBURY 4.8 WNW, OH US","16",",N","13",",N","1",",N","20230113",",,N","34.3",",,N,13,","134.3",",,,N"
"US1OHDL0037","2023-02","40.28255","-82.942245","289.6","SUNBURY 4.8 WNW, OH US","8",",N","4",",N","0",",N","20230228",",,N","18.5",",,N,28,","42.8",",,,N"
"US1OHDL0037","2023-03","40.28255","-82.942245","289.6","SUNBURY 4.8 WNW, OH US","15",",N","10",",N","2",",N","20230304",",,N","41.4",",,N,04,","134.7",",,,N"
"US1OHDL0037","2023-04","40.28255","-82.942245","289.6","SUNBURY 4.8 WNW, OH US","10",",N","6",",N","1",",N","20230406",",,N","38.1",",,N,06,","87.1",",,,N"
"US1OHDL0037","2023-05","40.28255","-82.942245","289.6","SUNBURY 4.8 WNW, OH US","11","5,N","6","5,N","2","5,N","20230513",",5,N","30.5","5,,N,13,","89.9",",a,,N"
"US1OHDL0037","2023-06","40.28255","-82.942245","289.6","SUNBURY 4.8 WNW, OH US","11","1,N","5","1,N","3","1,N","20230623",",1,N","34.8","1,,N,23,","109.3","1,,,N"
"US1OHDL0037","2023-07","40.28255","-82.942245","289.6","SUNBURY 4.8 WNW, OH US","14","1,N","13","1,N","0","1,N","20230729",",1,N","22.4","1,,N,29,","144.8","1,,,N"
"US1OHDL0037","2023-08","40.28255","-82.942245","289.6","SUNBURY 4.8 WNW, OH US","10","3,N","7","3,N","2","3,N","20230824",",3,N","68.1","3,,N,24,","152.5","3,,,N"
"US1OHDL0037","2023-09","40.28255","-82.942245","289.6","SUNBURY 4.8 WNW, OH US","6","1,N","4","1,N","0","1,N","20230929",",1,N","12.2","1,,N,29,","23.9","1,,,N"
"US1OHDL0037","2023-10","40.28255","-82.942245","289.6","SUNBURY 4.8 WNW, OH US","16",",N","7",",N","0",",N","20231030",",,N","13.0",",,N,30,","71.4",",,,N"
"US1OHDL0037","2023-11","40.28255","-82.942245","289.6","SUNBURY 4.8 WNW, OH US","6",",N","5",",N","0",",N","20231118",",,N","14.2",",,N,18,","40.3",",,,N"
"US1OHDL0037","2023-12","40.28255","-82.942245","289.6","SUNBURY 4.8 WNW, OH US","19","1,N","10","1,N","0","1,N","20231227",",1,N","12.4","1,,N,27,","67.2","1,,,N"
"US1OHDL0037","2024-01","40.28255","-82.942245","289.6","SUNBURY 4.8 WNW, OH US","18",",N","10",",N","0",",N","20240128",",,N","18.8",",,N,28,","112.1",",,,N"
"US1OHDL0037","2024-02","40.28255","-82.942245","289.6","SUNBURY 4.8 WNW, OH US","6","1,N","5","1,N","0","1,N","20240228",",1,N","17.5","1,,N,28,","48.5","1,,,N"
"US1OHDL0037","2024-05","40.28255","-82.942245","289.6","SUNBURY 4.8 WNW, OH US","20","3,N","13","3,N","1","3,N","20240508",",3,N","25.4","3,,N,08,","123.8","3,,,N"
"US1OHDL0037","2024-06","40.28255","-82.942245","289.6","SUNBURY 4.8 WNW, OH US","9",",N","6",",N","1",",N","20240606",",,N","38.6",",,N,06,","83.0",",,,N"
