"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1OHGR0020","2019-10","39.748577","-84.034064","295.7","BEAVERCREEK 2.0 NE, OH US","7","4,N","6","4,N","0","4,N","","","","","20191027",",4,N","","","22.6","4,,N,27,","67.0",",a,,N","",""
"US1OHGR0020","2019-11","39.748577","-84.034064","295.7","BEAVERCREEK 2.0 NE, OH US","10",",N","7",",N","0",",N","","","","","20191101",",,N","","","13.7",",,N,01,","59.7",",,,N","",""
"US1OHGR0020","2019-12","39.748577","-84.034064","295.7","BEAVERCREEK 2.0 NE, OH US","11",",N","9",",N","0",",N","","","","","20191230",",,N","","","20.1",",,N,30,","73.3",",,,N","",""
"US1OHGR0020","2020-02","39.748577","-84.034064","295.7","BEAVERCREEK 2.0 NE, OH US","10","5,N","6","5,N","0","5,N","","","","","20200213",",5,N","","","16.0","5,,N,13,","80.5",",a,,N","",""
"US1OHGR0020","2020-03","39.748577","-84.034064","295.7","BEAVERCREEK 2.0 NE, OH US","16",",N","10",",N","3",",N","","","","","20200320",",,N","","","58.4",",,N,20,","175.7",",,,N","",""
"US1OHGR0020","2020-04","39.748577","-84.034064","295.7","BEAVERCREEK 2.0 NE, OH US","14",",N","7",",N","0",",N","","","","","20200413",",,N","","","20.3",",,N,13,","76.7",",,,N","",""
"US1OHGR0020","2020-05","39.748577","-84.034064","295.7","BEAVERCREEK 2.0 NE, OH US","19",",N","8",",N","1",",N","","","","","20200519",",,N","","","55.4",",,N,19,","123.9",",,,N","",""
"US1OHGR0020","2020-06","39.748577","-84.034064","295.7","BEAVERCREEK 2.0 NE, OH US","11",",N","6",",N","1",",N","","","","","20200611",",,N","","","34.3",",,N,11,","78.5",",,,N","",""
"US1OHGR0020","2020-07","39.748577","-84.034064","295.7","BEAVERCREEK 2.0 NE, OH US","12",",N","8",",N","0",",N","","","","","20200728",",,N","","","13.5",",,N,28,","61.8",",,,N","",""
"US1OHGR0020","2020-08","39.748577","-84.034064","295.7","BEAVERCREEK 2.0 NE, OH US","14",",N","9",",N","0",",N","","","","","20200802",",,N","","","13.7",",,N,02,","53.0",",,,N","",""
"US1OHGR0020","2020-09","39.748577","-84.034064","295.7","BEAVERCREEK 2.0 NE, OH US","7",",N","4",",N","0",",N","","","","","20200929",",,N","","","14.0",",,N,29,","33.3",",,,N","",""
"US1OHGR0020","2020-10","39.748577","-84.034064","295.7","BEAVERCREEK 2.0 NE, OH US","14",",N","8",",N","1",",N","","","","","20201029",",,N","","","25.4",",,N,29,","126.1",",,,N","",""
"US1OHGR0020","2020-11","39.748577","-84.034064","295.7","BEAVERCREEK 2.0 NE, OH US","9",",N","8",",N","0",",N","","","","","20201126",",,N","","","19.8",",,N,26,","73.6",",,,N","",""
"US1OHGR0020","2020-12","39.748577","-84.034064","295.7","BEAVERCREEK 2.0 NE, OH US","9",",N","4",",N","0",",N","","","","","20201231",",,N","","","22.4",",,N,31,","48.3",",,,N","",""
"US1OHGR0020","2021-01","39.748577","-84.034064","295.7","BEAVERCREEK 2.0 NE, OH US","12",",N","4",",N","0",",N","","","","","20210102",",,N","","","22.9",",,N,02,","54.2",",,,N","",""
"US1OHGR0020","2021-02","39.748577","-84.034064","295.7","BEAVERCREEK 2.0 NE, OH US","13",",N","9",",N","0",",N","","","","","20210216",",,N","","","19.1",",,N,16,","61.9",",,,N","",""
"US1OHGR0020","2021-03","39.748577","-84.034064","295.7","BEAVERCREEK 2.0 NE, OH US","10",",N","8",",N","0",",N","","","","","20210312",",,N","","","20.3",",,N,12,","91.0",",,,N","",""
"US1OHGR0020","2021-06","39.748577","-84.034064","295.7","BEAVERCREEK 2.0 NE, OH US","13",",N","8",",N","1",",N","","","","","20210619",",,N","","","87.9",",,N,19,","171.4",",,,N","",""
"US1OHGR0020","2021-07","39.748577","-84.034064","295.7","BEAVERCREEK 2.0 NE, OH US","10","2,N","8","2,N","2","2,N","","","","","20210714",",2,N","","","29.7","2,,N,14,","133.8",",a,,N","",""
"US1OHGR0020","2021-09","39.748577","-84.034064","295.7","BEAVERCREEK 2.0 NE, OH US","10",",N","7",",N","2",",N","","","","","20210901",",,N","","","82.3",",,N,01,","150.1",",,,N","",""
"US1OHGR0020","2021-10","39.748577","-84.034064","295.7","BEAVERCREEK 2.0 NE, OH US","10","5,N","6","5,N","0","5,N","","","","","20211025",",5,N","","","13.5","5,,N,25,","69.9",",a,,N","",""
"US1OHGR0020","2021-11","39.748577","-84.034064","295.7","BEAVERCREEK 2.0 NE, OH US","8",",N","5",",N","0",",N","","","","","20211112",",,N","","","19.1",",,N,12,","48.8",",,,N","",""
"US1OHGR0020","2021-12","39.748577","-84.034064","295.7","BEAVERCREEK 2.0 NE, OH US","13",",N","12",",N","1",",N","","","","","20211211",",,N","","","27.7",",,N,11,","115.1",",,,N","",""
"US1OHGR0020","2022-01","39.748577","-84.034064","295.7","BEAVERCREEK 2.0 NE, OH US","9","2,N","4","2,N","1","2,N","","","","","20220102",",2,N","","","36.3","2,,N,02,","70.7","2,,,N","",""
"US1OHGR0020","2022-04","39.748577","-84.034064","295.7","BEAVERCREEK 2.0 NE, OH US","15",",N","12",",N","0",",N","","","","","20220414",",,N","","","23.4",",,N,14,","84.7",",,,N","",""
"US1OHGR0020","2022-07","39.748577","-84.034064","295.7","BEAVERCREEK 2.0 NE, OH US","15",",N","10",",N","2",",N","","","","","20220728",",,N","","","46.0",",,N,28,","180.6",",,,N","",""
"US1OHGR0020","2022-08","39.748577","-84.034064","295.7","BEAVERCREEK 2.0 NE, OH US","10",",N","5",",N","1",",N","","","","","20220822",",,N","","","28.4",",,N,22,","58.1",",,,N","",""
"US1OHGR0020","2022-09","39.748577","-84.034064","295.7","BEAVERCREEK 2.0 NE, OH US","8",",N","4",",N","2",",N","","","","","20220906",",,N","","","43.7",",,N,06,","105.7",",,,N","",""
"US1OHGR0020","2022-10","39.748577","-84.034064","295.7","BEAVERCREEK 2.0 NE, OH US","4","5,N","2","5,N","0","5,N","","","","","20221026",",5,N","","","6.4","5,,N,26,","13.8","5,,,N","",""
"US1OHGR0020","2022-11","39.748577","-84.034064","295.7","BEAVERCREEK 2.0 NE, OH US","8","3,N","6","3,N","0","3,N","","","","","20221112",",3,N","","","14.7","3,,N,12,","46.7","3,,,N","",""
"US1OHGR0020","2022-12","39.748577","-84.034064","295.7","BEAVERCREEK 2.0 NE, OH US","11",",N","4",",N","0",",N","","","","","20221215",",,N","","","12.2",",,N,15,","37.3",",,,N","",""
"US1OHGR0020","2023-01","39.748577","-84.034064","295.7","BEAVERCREEK 2.0 NE, OH US","18",",N","10",",N","0",",N","","","","","20230113",",,N","","","19.1",",,N,13,","94.9",",,,N","",""
"US1OHGR0020","2023-02","39.748577","-84.034064","295.7","BEAVERCREEK 2.0 NE, OH US","8",",N","6",",N","0",",N","","","","","20230217",",,N","","","16.5",",,N,17,","62.4",",,,N","",""
