"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1OHLC0039","2022-04","40.0094","-82.7333","330.1","PATASKALA 3.2 W, OH US","17","4,N","12","4,N","0","4,N","20220412",",4,N","17.0","4,,N,12,","115.4","4,,,N"
"US1OHLC0039","2022-06","40.0094","-82.7333","330.1","PATASKALA 3.2 W, OH US","10","3,N","6","3,N","2","3,N","20220614",",3,N","32.0","3,,N,14,","86.7","3,,,N"
"US1OHLC0039","2022-07","40.0094","-82.7333","330.1","PATASKALA 3.2 W, OH US","","","","","","","","","","","200.9","1,a,,N"
"US1OHLC0039","2022-08","40.0094","-82.7333","330.1","PATASKALA 3.2 W, OH US","16","1,N","8","1,N","0","1,N","20220822",",1,N","20.8","1,,N,22,","88.2","1,,,N"
"US1OHLC0039","2022-09","40.0094","-82.7333","330.1","PATASKALA 3.2 W, OH US","13","1,N","8","1,N","2","1,N","20220904",",1,N","49.0","1,,N,04,","128.1","1,,,N"
"US1OHLC0039","2022-11","40.0094","-82.7333","330.1","PATASKALA 3.2 W, OH US","10","5,N","7","5,N","0","5,N","20221112",",5,N","24.4","5,,N,12,","80.0",",a,,N"
"US1OHLC0039","2023-01","40.0094","-82.7333","330.1","PATASKALA 3.2 W, OH US","","","","","","","","","","","127.7","1,a,,N"
"US1OHLC0039","2023-03","40.0094","-82.7333","330.1","PATASKALA 3.2 W, OH US","14","2,N","8","2,N","2","2,N","20230304",",2,N","41.9","2,,N,04,","133.1","2,,,N"
"US1OHLC0039","2023-05","40.0094","-82.7333","330.1","PATASKALA 3.2 W, OH US","12","5,N","8","5,N","1","5,N","20230513",",5,N","30.5","5,,N,13,","80.5","5,,,N"
"US1OHLC0039","2023-08","40.0094","-82.7333","330.1","PATASKALA 3.2 W, OH US","8","1,N","7","1,N","2","1,N","20230824",",1,N","48.3","1,,N,24,","128.4","1,,,N"
"US1OHLC0039","2023-09","40.0094","-82.7333","330.1","PATASKALA 3.2 W, OH US","7","2,N","3","2,N","0","2,N","20230929",",2,N","6.4","2,,N,29,","17.3",",a,,N"
"US1OHLC0039","2023-10","40.0094","-82.7333","330.1","PATASKALA 3.2 W, OH US","13","2,N","6","2,N","0","2,N","20231030",",2,N","20.3","2,,N,30,","81.8",",a,,N"
"US1OHLC0039","2023-11","40.0094","-82.7333","330.1","PATASKALA 3.2 W, OH US","4","2,N","4","2,N","0","2,N","20231118",",2,N","22.4","2,,N,18,","50.1","2,,,N"
"US1OHLC0039","2023-12","40.0094","-82.7333","330.1","PATASKALA 3.2 W, OH US","16",",N","10",",N","0",",N","20231217",",,N","17.0",",,N,17,","87.7",",,,N"
"US1OHLC0039","2024-01","40.0094","-82.7333","330.1","PATASKALA 3.2 W, OH US","16","5,N","9","5,N","0","5,N","20240125",",5,N","24.9","5,,N,25,","134.2",",a,,N"
"US1OHLC0039","2024-03","40.0094","-82.7333","330.1","PATASKALA 3.2 W, OH US","11","2,N","7","2,N","0","2,N","20240315",",2,N","15.2","2,,N,15,","74.9",",a,,N"
"US1OHLC0039","2024-04","40.0094","-82.7333","330.1","PATASKALA 3.2 W, OH US","15",",N","10",",N","4",",N","20240402",",,N","37.3",",,N,02,","176.3",",,,N"
"US1OHLC0039","2024-05","40.0094","-82.7333","330.1","PATASKALA 3.2 W, OH US","17",",N","13",",N","0",",N","20240506",",,N","17.8",",,N,06,","99.4",",,,N"
