"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1OHLR0032","2022-07","41.46225","-82.03939","193.2","AVON 1.1 NW, OH US","10",",N","7",",N","1",",N","20220718",",,N","30.7",",,N,18,","87.9",",,,N"
"US1OHLR0032","2022-08","41.46225","-82.03939","193.2","AVON 1.1 NW, OH US","11",",N","7",",N","2",",N","20220822",",,N","41.1",",,N,22,","111.1",",,,N"
"US1OHLR0032","2022-09","41.46225","-82.03939","193.2","AVON 1.1 NW, OH US","14",",N","11",",N","0",",N","20220927",",,N","14.7",",,N,27,","70.5",",,,N"
"US1OHLR0032","2022-10","41.46225","-82.03939","193.2","AVON 1.1 NW, OH US","10",",N","6",",N","0",",N","20221019",",,N","20.3",",,N,19,","65.6",",,,N"
"US1OHLR0032","2022-11","41.46225","-82.03939","193.2","AVON 1.1 NW, OH US","12",",N","6",",N","0",",N","20221112",",,N","22.9",",,N,12,","56.2",",,,N"
"US1OHLR0032","2022-12","41.46225","-82.03939","193.2","AVON 1.1 NW, OH US","11",",N","5",",N","0",",N","20221231",",,N","9.9",",,N,31,","30.9",",,,N"
"US1OHLR0032","2023-01","41.46225","-82.03939","193.2","AVON 1.1 NW, OH US","16","1,N","9","1,N","0","1,N","20230113",",1,N","24.1","1,,N,13,","111.1","1,,,N"
"US1OHLR0032","2023-02","41.46225","-82.03939","193.2","AVON 1.1 NW, OH US","6","1,N","4","1,N","1","1,N","20230223",",1,N","35.6","1,,N,23,","78.3","1,,,N"
"US1OHLR0032","2023-03","41.46225","-82.03939","193.2","AVON 1.1 NW, OH US","12","5,N","7","5,N","1","5,N","20230304",",5,N","29.2","5,,N,04,","88.7",",a,,N"
"US1OHLR0032","2023-04","41.46225","-82.03939","193.2","AVON 1.1 NW, OH US","13",",N","8",",N","0",",N","20230422",",,N","19.1",",,N,22,","79.2",",,,N"
"US1OHLR0032","2023-05","41.46225","-82.03939","193.2","AVON 1.1 NW, OH US","8",",N","3",",N","0",",N","20230520",",,N","23.1",",,N,20,","57.8",",,,N"
"US1OHLR0032","2023-06","41.46225","-82.03939","193.2","AVON 1.1 NW, OH US","10","1,N","4","1,N","1","1,N","20230612",",1,N","42.7","1,,N,12,","76.3","1,,,N"
"US1OHLR0032","2023-07","41.46225","-82.03939","193.2","AVON 1.1 NW, OH US","14",",N","10",",N","2",",N","20230721",",,N","47.0",",,N,21,","178.9",",,,N"
"US1OHLR0032","2023-08","41.46225","-82.03939","193.2","AVON 1.1 NW, OH US","14",",N","11",",N","3",",N","20230824",",,N","124.7",",,N,24,","249.1",",,,N"
"US1OHLR0032","2023-09","41.46225","-82.03939","193.2","AVON 1.1 NW, OH US","8",",N","4",",N","0",",N","20230907",",,N","7.9",",,N,07,","29.2",",,,N"
"US1OHLR0032","2023-10","41.46225","-82.03939","193.2","AVON 1.1 NW, OH US","15",",N","12",",N","0",",N","20231014",",,N","22.4",",,N,14,","105.5",",,,N"
"US1OHLR0032","2023-11","41.46225","-82.03939","193.2","AVON 1.1 NW, OH US","9",",N","5",",N","0",",N","20231118",",,N","18.8",",,N,18,","50.4",",,,N"
"US1OHLR0032","2023-12","41.46225","-82.03939","193.2","AVON 1.1 NW, OH US","20",",N","10",",N","1",",N","20231210",",,N","27.2",",,N,10,","91.8",",,,N"
"US1OHLR0032","2024-01","41.46225","-82.03939","193.2","AVON 1.1 NW, OH US","24",",N","11",",N","0",",N","20240129",",,N","13.7",",,N,29,","120.2",",,,N"
"US1OHLR0032","2024-02","41.46225","-82.03939","193.2","AVON 1.1 NW, OH US","6",",N","3",",N","0",",N","20240223",",,N","8.9",",,N,23,","22.2",",,,N"
"US1OHLR0032","2024-03","41.46225","-82.03939","193.2","AVON 1.1 NW, OH US","14",",N","11",",N","0",",N","20240309",",,N","11.7",",,N,09,","59.4",",,,N"
"US1OHLR0032","2024-04","41.46225","-82.03939","193.2","AVON 1.1 NW, OH US","17",",N","12",",N","0",",N","20240402",",,N","24.1",",,N,02,","126.0",",,,N"
"US1OHLR0032","2024-05","41.46225","-82.03939","193.2","AVON 1.1 NW, OH US","14",",N","9",",N","0",",N","20240512",",,N","15.0",",,N,12,","71.0",",,,N"
"US1OHLR0032","2024-06","41.46225","-82.03939","193.2","AVON 1.1 NW, OH US","13",",N","10",",N","0",",N","20240629",",,N","22.6",",,N,29,","71.8",",,,N"
