"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1OHLS0040","2022-07","41.638332","-83.528147","185.9","TOLEDO 3.3 ESE, OH US","8",",N","8",",N","1",",N","20220714",",,N","33.3",",,N,14,","104.9",",,,N"
"US1OHLS0040","2022-08","41.638332","-83.528147","185.9","TOLEDO 3.3 ESE, OH US","9",",N","7",",N","3",",N","20220806",",,N","39.4",",,N,06,","132.8",",,,N"
"US1OHLS0040","2022-09","41.638332","-83.528147","185.9","TOLEDO 3.3 ESE, OH US","7",",N","5",",N","0",",N","20220919",",,N","14.0",",,N,19,","42.3",",,,N"
"US1OHLS0040","2022-10","41.638332","-83.528147","185.9","TOLEDO 3.3 ESE, OH US","8",",N","3",",N","0",",N","20221027",",,N","3.3",",,N,27,","14.5",",,,N"
"US1OHLS0040","2022-11","41.638332","-83.528147","185.9","TOLEDO 3.3 ESE, OH US","3",",N","1",",N","0",",N","20221127",",,N","19.3",",,N,27,","21.4",",,,N"
"US1OHLS0040","2022-12","41.638332","-83.528147","185.9","TOLEDO 3.3 ESE, OH US","7",",N","4",",N","0",",N","20221231",",,N","20.8",",,N,31,","51.8",",,,N"
"US1OHLS0040","2023-01","41.638332","-83.528147","185.9","TOLEDO 3.3 ESE, OH US","10",",N","6",",N","0",",N","20230119",",,N","13.0",",,N,19,","61.6",",,,N"
"US1OHLS0040","2023-02","41.638332","-83.528147","185.9","TOLEDO 3.3 ESE, OH US","7",",N","6",",N","2",",N","20230228",",,N","39.6",",,N,28,","114.3",",,,N"
"US1OHLS0040","2023-03","41.638332","-83.528147","185.9","TOLEDO 3.3 ESE, OH US","11",",N","6",",N","1",",N","20230304",",,N","41.4",",,N,04,","70.7",",,,N"
"US1OHLS0040","2023-04","41.638332","-83.528147","185.9","TOLEDO 3.3 ESE, OH US","11",",N","7",",N","0",",N","20230429",",,N","16.8",",,N,29,","69.2",",,,N"
"US1OHLS0040","2023-05","41.638332","-83.528147","185.9","TOLEDO 3.3 ESE, OH US","6","1,N","5","1,N","0","1,N","20230520",",1,N","9.4","1,,N,20,","23.8","1,,,N"
"US1OHLS0040","2023-06","41.638332","-83.528147","185.9","TOLEDO 3.3 ESE, OH US","5",",N","5",",N","0",",N","20230612",",,N","16.8",",,N,12,","53.4",",,,N"
"US1OHLS0040","2023-07","41.638332","-83.528147","185.9","TOLEDO 3.3 ESE, OH US","10","1,N","10","1,N","2","1,N","20230727",",1,N","59.7","1,,N,27,","190.7","1,,,N"
"US1OHLS0040","2023-08","41.638332","-83.528147","185.9","TOLEDO 3.3 ESE, OH US","8",",N","6",",N","1",",N","20230824",",,N","54.6",",,N,24,","105.1",",,,N"
"US1OHLS0040","2023-09","41.638332","-83.528147","185.9","TOLEDO 3.3 ESE, OH US","6",",N","3",",N","0",",N","20230928",",,N","17.8",",,N,28,","38.5",",,,N"
"US1OHLS0040","2023-10","41.638332","-83.528147","185.9","TOLEDO 3.3 ESE, OH US","6",",N","6",",N","0",",N","20231014",",,N","21.8",",,N,14,","70.9",",,,N"
"US1OHLS0040","2023-11","41.638332","-83.528147","185.9","TOLEDO 3.3 ESE, OH US","5","1,N","2","1,N","0","1,N","20231121",",1,N","10.2","1,,N,21,","17.1","1,,,N"
"US1OHLS0040","2023-12","41.638332","-83.528147","185.9","TOLEDO 3.3 ESE, OH US","9",",N","4",",N","0",",N","20231202",",,N","11.2",",,N,02,","33.7",",,,N"
"US1OHLS0040","2024-01","41.638332","-83.528147","185.9","TOLEDO 3.3 ESE, OH US","17",",N","12",",N","1",",N","20240110",",,N","28.2",",,N,10,","117.3",",,,N"
"US1OHLS0040","2024-02","41.638332","-83.528147","185.9","TOLEDO 3.3 ESE, OH US","5",",N","3",",N","0",",N","20240222",",,N","5.6",",,N,22,","15.6",",,,N"
"US1OHLS0040","2024-03","41.638332","-83.528147","185.9","TOLEDO 3.3 ESE, OH US","7","1,N","4","1,N","2","1,N","20240315",",1,N","41.1","1,,N,15,","81.7","1,,,N"
"US1OHLS0040","2024-04","41.638332","-83.528147","185.9","TOLEDO 3.3 ESE, OH US","15",",N","10",",N","2",",N","20240402",",,N","29.5",",,N,02,","164.3",",,,N"
"US1OHLS0040","2024-05","41.638332","-83.528147","185.9","TOLEDO 3.3 ESE, OH US","9","1,N","6","1,N","2","1,N","20240527",",1,N","41.7","1,,N,27,","99.7","1,,,N"
"US1OHLS0040","2024-06","41.638332","-83.528147","185.9","TOLEDO 3.3 ESE, OH US","12",",N","10",",N","1",",N","20240627",",,N","83.8",",,N,27,","167.9",",,,N"
