"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1OKCV0112","2014-11","35.32869","-97.47379","369.7","MOORE 0.1 SE, OK US","6",",N","4",",N","1",",N","1","5,N","20141117",",5,N","20141104",",,N","51","5,,N,17,","25.9",",,N,04,","66.4",",,,N","51","5,,,N"
"US1OKCV0112","2015-03","35.32869","-97.47379","369.7","MOORE 0.1 SE, OK US","4",",N","4",",N","0",",N","0","4,N","20150331","+,4,N","20150326",",,N","0","4,,N,31,+","18.0",",,N,26,","40.8",",,,N","0","4,,,N"
"US1OKCV0112","2015-05","35.32869","-97.47379","369.7","MOORE 0.1 SE, OK US","17",",N","15",",N","5",",N","","","","","20150507",",,N","","","184.2",",,N,07,","540.7",",,,N","",""
"US1OKCV0112","2015-06","35.32869","-97.47379","369.7","MOORE 0.1 SE, OK US","4",",N","2",",N","1",",N","0","4,N","20150630","+,4,N","20150613",",,N","0","4,,N,30,+","64.8",",,N,13,","75.0",",,,N","0","4,,,N"
"US1OKCV0112","2015-07","35.32869","-97.47379","369.7","MOORE 0.1 SE, OK US","9",",N","9",",N","2",",N","","","","","20150703",",,N","","","76.2",",,N,03,","174.6",",,,N","",""
"US1OKCV0112","2015-08","35.32869","-97.47379","369.7","MOORE 0.1 SE, OK US","7",",N","5",",N","0",",N","","","","","20150819",",,N","","","15.0",",,N,19,","48.0",",,,N","",""
"US1OKCV0112","2015-09","35.32869","-97.47379","369.7","MOORE 0.1 SE, OK US","4",",N","3",",N","0",",N","0","4,N","20150930","+,4,N","20150921","+,,N","0","4,,N,30,+","13.2",",,N,21,+","33.2",",,,N","0","4,,,N"
"US1OKCV0112","2015-10","35.32869","-97.47379","369.7","MOORE 0.1 SE, OK US","5",",N","5",",N","2",",N","0","5,N","20151031","+,5,N","20151031",",,N","0","5,,N,31,+","40.6",",,N,31,","81.5",",,,N","0","5,,,N"
"US1OKCV0112","2015-11","35.32869","-97.47379","369.7","MOORE 0.1 SE, OK US","6","3,N","5","3,N","1","3,N","","","","","20151127",",3,N","","","44.7","3,,N,27,","95.7","3,,,N","",""
"US1OKCV0112","2016-03","35.32869","-97.47379","369.7","MOORE 0.1 SE, OK US","8",",N","4",",N","0",",N","","","","","20160309",",,N","","","16.8",",,N,09,","45.7",",,,N","",""
"US1OKCV0112","2016-04","35.32869","-97.47379","369.7","MOORE 0.1 SE, OK US","11",",N","9",",N","3",",N","","","","","20160418",",,N","","","32.5",",,N,18,","146.3",",,,N","",""
"US1OKCV0112","2016-07","35.32869","-97.47379","369.7","MOORE 0.1 SE, OK US","9",",N","7",",N","2",",N","","","","","20160726",",,N","","","89.2",",,N,26,","165.0",",,,N","",""
"US1OKCV0112","2016-09","35.32869","-97.47379","369.7","MOORE 0.1 SE, OK US","9",",N","7",",N","1",",N","","","","","20160918",",,N","","","53.3",",,N,18,","100.3",",,,N","",""
"US1OKCV0112","2017-02","35.32869","-97.47379","369.7","MOORE 0.1 SE, OK US","1",",N","1",",N","1",",N","0","1,N","20170228","+,1,N","20170220",",,N","0","1,,N,28,+","35.1",",,N,20,","35.1",",,,N","0","1,,,N"
"US1OKCV0112","2017-03","35.32869","-97.47379","369.7","MOORE 0.1 SE, OK US","7",",N","2",",N","1",",N","","","","","20170329",",,N","","","82.0",",,N,29,","89.8",",,,N","",""
"US1OKCV0112","2017-04","35.32869","-97.47379","369.7","MOORE 0.1 SE, OK US","8",",N","8",",N","2",",N","","","","","20170422",",,N","","","30.5",",,N,22,","139.2",",,,N","",""
