"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1OKMY0010","2022-02","36.275025","-95.295164","18.3","PRYOR 2.2 SE, OK US","8","1,N","4","1,N","0","1,N","3","1,N","2","1,N","20220204",",1,N","20220203",",1,N","20220217","+,1,N","76","1,,N,04,","51","1,,N,03,","19.6","1,,N,17,+","68.8","1,,,N","102","1,,,N"
"US1OKMY0010","2022-04","36.275025","-95.295164","18.3","PRYOR 2.2 SE, OK US","","","","","","","","","","","","","","","","","","","","","","","94.0","2,a,,N","",""
"US1OKMY0010","2022-05","36.275025","-95.295164","18.3","PRYOR 2.2 SE, OK US","","","","","","","","","","","","","","","","","","","","","","","226.3","2,a,,N","",""
"US1OKMY0010","2022-06","36.275025","-95.295164","18.3","PRYOR 2.2 SE, OK US","6",",N","3",",N","2",",N","","","0","1,N","","","20220630","+,1,N","20220606",",,N","","","0","1,,N,30,+","48.5",",,N,06,","120.4",",,,N","0","1,,,N"
"US1OKMY0010","2022-07","36.275025","-95.295164","18.3","PRYOR 2.2 SE, OK US","4",",N","4",",N","1",",N","","","0","1,N","","","20220731","+,1,N","20220728",",,N","","","0","1,,N,31,+","33.0",",,N,28,","70.1",",,,N","0","1,,,N"
"US1OKMY0010","2022-08","36.275025","-95.295164","18.3","PRYOR 2.2 SE, OK US","7",",N","5",",N","1",",N","0","1,N","0",",N","20220831","+,1,N","20220831","+,,N","20220817",",,N","0","1,,N,31,+","0",",,N,31,+","27.4",",,N,17,","73.4",",,,N","0",",,,N"
"US1OKMY0010","2022-09","36.275025","-95.295164","18.3","PRYOR 2.2 SE, OK US","2","1,N","2","1,N","2","1,N","0","1,N","0","1,N","20220930","+,1,N","20220930","+,1,N","20220902",",1,N","0","1,,N,30,+","0","1,,N,30,+","36.8","1,,N,02,","62.5","1,,,N","0","1,,,N"
"US1OKMY0010","2022-10","36.275025","-95.295164","18.3","PRYOR 2.2 SE, OK US","8",",N","4",",N","1",",N","0","5,N","0",",N","20221031","+,5,N","20221031","+,,N","20221025",",,N","0","5,,N,31,+","0",",,N,31,+","54.9",",,N,25,","72.5",",,,N","0",",,,N"
"US1OKMY0010","2022-11","36.275025","-95.295164","18.3","PRYOR 2.2 SE, OK US","8","4,N","4","4,N","1","4,N","0","5,N","0","4,N","20221118",",5,N","20221118",",4,N","20221124",",4,N","0","5,T,N,18,","5","4,,N,18,","25.7","4,,N,24,","93.1","2,a,,N","5","4,,,N"
"US1OKMY0010","2022-12","36.275025","-95.295164","18.3","PRYOR 2.2 SE, OK US","9","4,N","5","4,N","1","4,N","","","0","4,N","","","20221223",",4,N","202212","4,,N","","","13","4,,N,23,","50.3","4,,N,  ,","103.0","1,a,,N","13","4,,,N"
