"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1ORBK0020","2021-11","44.775815","-117.821177","1050.3","BAKER 0.5 ENE, OR US","9","1,N","2","1,N","0","1,N","","","","","20211109",",1,N","","","4.3","1,,N,09,","13.5","1,,,N","",""
"US1ORBK0020","2021-12","44.775815","-117.821177","1050.3","BAKER 0.5 ENE, OR US","16","1,N","5","1,N","0","1,N","","","","","20211214",",1,N","","","9.7","1,,N,14,","36.0","1,,,N","",""
"US1ORBK0020","2022-01","44.775815","-117.821177","1050.3","BAKER 0.5 ENE, OR US","6","1,N","3","1,N","0","1,N","2","5,N","20220104",",5,N","20220106",",1,N","89","5,,N,04,","8.9","1,,N,06,","20.9","1,,,N","163","5,,,N"
"US1ORBK0020","2022-02","44.775815","-117.821177","1050.3","BAKER 0.5 ENE, OR US","7",",N","1",",N","0",",N","1","2,N","20220202",",2,N","20220202",",,N","86","2,,N,02,","3.6",",,N,02,","8.3",",,,N","129","2,,,N"
"US1ORBK0020","2022-03","44.775815","-117.821177","1050.3","BAKER 0.5 ENE, OR US","11","2,N","2","2,N","0","2,N","","","","","20220328",",2,N","","","3.6","2,,N,28,","14.8","2,,,N","",""
"US1ORBK0020","2022-04","44.775815","-117.821177","1050.3","BAKER 0.5 ENE, OR US","15",",N","9",",N","0",",N","","","","","20220422","+,,N","","","5.8",",,N,22,+","48.5",",,,N","",""
"US1ORBK0020","2022-05","44.775815","-117.821177","1050.3","BAKER 0.5 ENE, OR US","18",",N","8",",N","0",",N","","","","","20220529",",,N","","","16.0",",,N,29,","79.1",",,,N","",""
"US1ORBK0020","2022-06","44.775815","-117.821177","1050.3","BAKER 0.5 ENE, OR US","10","4,N","4","4,N","0","4,N","","","","","20220612",",4,N","","","8.6","4,,N,12,","29.7",",a,,N","",""
"US1ORBK0020","2022-07","44.775815","-117.821177","1050.3","BAKER 0.5 ENE, OR US","2",",N","0",",N","0",",N","0","3,N","20220731","+,3,N","20220703",",,N","0","3,,N,31,+","1.3",",,N,03,","1.8",",,,N","0","3,,,N"
"US1ORBK0020","2022-08","44.775815","-117.821177","1050.3","BAKER 0.5 ENE, OR US","3",",N","2",",N","0",",N","0","4,N","20220831","+,4,N","20220810",",,N","0","4,,N,31,+","4.3",",,N,10,","8.1",",,,N","0","4,,,N"
"US1ORBK0020","2022-09","44.775815","-117.821177","1050.3","BAKER 0.5 ENE, OR US","5","1,N","0","1,N","0","1,N","","","","","20220919","+,1,N","","","2.0","1,,N,19,+","7.6","1,,,N","",""
"US1ORBK0020","2022-10","44.775815","-117.821177","1050.3","BAKER 0.5 ENE, OR US","","","","","","","","","","","","","","","","","13.5","4,a,,N","",""
"US1ORBK0020","2022-11","44.775815","-117.821177","1050.3","BAKER 0.5 ENE, OR US","7",",N","4",",N","0",",N","3","4,N","20221128",",4,N","20221104",",,N","86","4,,N,28,","7.9",",,N,04,","27.9",",,,N","195","4,,,N"
"US1ORBK0020","2022-12","44.775815","-117.821177","1050.3","BAKER 0.5 ENE, OR US","15",",N","7",",N","0",",N","7","5,N","20221202",",5,N","20221227",",,N","76","5,,N,02,","11.4",",,N,27,","46.3",",,,N","424","5,,,N"
"US1ORBK0020","2023-01","44.775815","-117.821177","1050.3","BAKER 0.5 ENE, OR US","7",",N","2",",N","0",",N","1","5,N","20230119",",5,N","20230119",",,N","46","5,,N,19,","4.6",",,N,19,","12.6",",,,N","69","5,,,N"
"US1ORBK0020","2023-02","44.775815","-117.821177","1050.3","BAKER 0.5 ENE, OR US","6",",N","1",",N","0",",N","3","2,N","20230224",",2,N","20230214",",,N","30","2,,N,24,","2.8",",,N,14,","7.7",",,,N","91","2,,,N"
"US1ORBK0020","2023-03","44.775815","-117.821177","1050.3","BAKER 0.5 ENE, OR US","15",",N","6",",N","0",",N","","","","","20230315",",,N","","","11.9",",,N,15,","45.2",",,,N","",""
"US1ORBK0020","2023-04","44.775815","-117.821177","1050.3","BAKER 0.5 ENE, OR US","","","","","","","","","","","","","","","","","25.6","4,a,,N","",""
"US1ORBK0020","2023-05","44.775815","-117.821177","1050.3","BAKER 0.5 ENE, OR US","13",",N","9",",N","0",",N","","","","","20230506",",,N","","","17.8",",,N,06,","74.7",",,,N","",""
"US1ORBK0020","2023-06","44.775815","-117.821177","1050.3","BAKER 0.5 ENE, OR US","9",",N","3",",N","0",",N","","","","","20230610",",,N","","","9.7",",,N,10,","32.8",",,,N","",""
"US1ORBK0020","2023-07","44.775815","-117.821177","1050.3","BAKER 0.5 ENE, OR US","1",",N","0",",N","0",",N","0","2,N","20230731","+,2,N","20230710",",,N","0","2,,N,31,+","0.3",",,N,10,","0.3",",,,N","0","2,,,N"
"US1ORBK0020","2023-08","44.775815","-117.821177","1050.3","BAKER 0.5 ENE, OR US","10",",N","8",",N","1",",N","","","","","20230822",",,N","","","27.9",",,N,22,","85.6",",,,N","",""
"US1ORBK0020","2023-09","44.775815","-117.821177","1050.3","BAKER 0.5 ENE, OR US","4",",N","1",",N","0",",N","","","","","20230904",",,N","","","5.1",",,N,04,","6.4",",,,N","",""
"US1ORBK0020","2023-10","44.775815","-117.821177","1050.3","BAKER 0.5 ENE, OR US","7",",N","2",",N","0",",N","","","","","20231003",",,N","","","3.6",",,N,03,","12.7",",,,N","",""
"US1ORBK0020","2023-11","44.775815","-117.821177","1050.3","BAKER 0.5 ENE, OR US","7",",N","3",",N","0",",N","","","","","20231105",",,N","","","11.7",",,N,05,","22.4",",,,N","",""
"US1ORBK0020","2023-12","44.775815","-117.821177","1050.3","BAKER 0.5 ENE, OR US","12","1,N","4","1,N","0","1,N","","","","","20231204",",1,N","","","6.6","1,,N,04,","29.9","1,,,N","",""
"US1ORBK0020","2024-01","44.775815","-117.821177","1050.3","BAKER 0.5 ENE, OR US","19",",N","5",",N","0",",N","","","","","20240114",",,N","","","7.4",",,N,14,","40.2",",,,N","",""
"US1ORBK0020","2024-02","44.775815","-117.821177","1050.3","BAKER 0.5 ENE, OR US","13",",N","7",",N","0",",N","","","","","20240208",",,N","","","5.1",",,N,08,","31.8",",,,N","",""
"US1ORBK0020","2024-03","44.775815","-117.821177","1050.3","BAKER 0.5 ENE, OR US","11",",N","3",",N","0",",N","","","","","20240328",",,N","","","4.1",",,N,28,","15.7",",,,N","",""
"US1ORBK0020","2024-04","44.775815","-117.821177","1050.3","BAKER 0.5 ENE, OR US","6",",N","4",",N","0",",N","","","","","20240415","+,,N","","","12.2",",,N,15,+","37.6",",,,N","",""
"US1ORBK0020","2024-05","44.775815","-117.821177","1050.3","BAKER 0.5 ENE, OR US","10",",N","4",",N","0",",N","","","","","20240505",",,N","","","16.3",",,N,05,","37.0",",,,N","",""
"US1ORBK0020","2024-06","44.775815","-117.821177","1050.3","BAKER 0.5 ENE, OR US","5",",N","0",",N","0",",N","","","","","20240618",",,N","","","1.8",",,N,18,","5.2",",,,N","",""
