"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1ORBN0065","2013-01","44.4930038452148","-123.462707519531","208.2","PHILOMATH 6.1 WSW, OR US","","","","","","","","","","","","","","","","","87.1","5,a,,N","",""
"US1ORBN0065","2013-03","44.4930038452148","-123.462707519531","208.2","PHILOMATH 6.1 WSW, OR US","14","2,N","9","2,N","1","2,N","","","","","20130320",",2,N","","","31.0","2,,N,20,","118.2",",a,,N","",""
"US1ORBN0065","2013-04","44.4930038452148","-123.462707519531","208.2","PHILOMATH 6.1 WSW, OR US","16",",N","8",",N","2",",N","","","","","20130406",",,N","","","32.8",",,N,06,","116.0",",,,N","",""
"US1ORBN0065","2013-05","44.4930038452148","-123.462707519531","208.2","PHILOMATH 6.1 WSW, OR US","12",",N","9",",N","0",",N","","","","","20130522",",,N","","","21.8",",,N,22,","87.4",",,,N","",""
"US1ORBN0065","2013-06","44.4930038452148","-123.462707519531","208.2","PHILOMATH 6.1 WSW, OR US","7",",N","4",",N","0",",N","","","","","20130626",",,N","","","14.0",",,N,26,","32.1",",,,N","",""
"US1ORBN0065","2013-07","44.4930038452148","-123.462707519531","208.2","PHILOMATH 6.1 WSW, OR US","0",",N","0",",N","0",",N","0","2,N","20130731","+,2,N","20130716","+,,N","0","2,,N,31,+","0.0",",T,N,16,+","0.0",",T,,N","0","2,,,N"
"US1ORBN0065","2013-10","44.4930038452148","-123.462707519531","208.2","PHILOMATH 6.1 WSW, OR US","7","1,N","4","1,N","0","1,N","","","","","20131001",",1,N","","","14.7","1,,N,01,","32.8","1,,,N","",""
"US1ORBN0065","2013-11","44.4930038452148","-123.462707519531","208.2","PHILOMATH 6.1 WSW, OR US","13","2,N","10","2,N","1","2,N","","","","","20131120",",2,N","","","37.8","2,,N,20,","131.2",",a,,N","",""
"US1ORBN0065","2013-12","44.4930038452148","-123.462707519531","208.2","PHILOMATH 6.1 WSW, OR US","10",",N","6",",N","1",",N","","","","","20131202",",,N","","","49.8",",,N,02,","82.7",",,,N","",""
"US1ORBN0065","2014-01","44.4930038452148","-123.462707519531","208.2","PHILOMATH 6.1 WSW, OR US","11","2,N","8","2,N","2","2,N","","","","","20140113",",2,N","","","55.1","2,,N,13,","146.9",",a,,N","",""
"US1ORBN0065","2014-02","44.4930038452148","-123.462707519531","208.2","PHILOMATH 6.1 WSW, OR US","18","2,N","15","2,N","6","2,N","","","","","20140212",",2,N","","","49.5","2,,N,12,","387.2",",a,,N","",""
"US1ORBN0065","2014-03","44.4930038452148","-123.462707519531","208.2","PHILOMATH 6.1 WSW, OR US","22",",N","18",",N","7",",N","","","","","20140306",",,N","","","46.0",",,N,06,","385.5",",,,N","",""
"US1ORBN0065","2014-04","44.4930038452148","-123.462707519531","208.2","PHILOMATH 6.1 WSW, OR US","11","5,N","8","5,N","1","5,N","","","","","20140424",",5,N","","","62.2","5,,N,24,","142.0","2,a,,N","",""
"US1ORBN0065","2014-05","44.4930038452148","-123.462707519531","208.2","PHILOMATH 6.1 WSW, OR US","8","4,N","7","4,N","0","4,N","","","","","20140510",",4,N","","","21.6","4,,N,10,","107.2",",a,,N","",""
"US1ORBN0065","2014-06","44.4930038452148","-123.462707519531","208.2","PHILOMATH 6.1 WSW, OR US","9",",N","4",",N","0",",N","","","","","20140626",",,N","","","12.7",",,N,26,","44.7",",,,N","",""
"US1ORBN0065","2014-07","44.4930038452148","-123.462707519531","208.2","PHILOMATH 6.1 WSW, OR US","3",",N","3",",N","0",",N","0","3,N","20140731","+,3,N","20140714",",,N","0","3,,N,31,+","4.6",",,N,14,","11.0",",,,N","0","3,,,N"
"US1ORBN0065","2014-08","44.4930038452148","-123.462707519531","208.2","PHILOMATH 6.1 WSW, OR US","1","1,N","1","1,N","0","1,N","0","2,N","20140831","+,2,N","20140801",",1,N","0","2,,N,31,+","4.8","1,,N,01,","4.8","1,,,N","0","2,,,N"
"US1ORBN0065","2014-09","44.4930038452148","-123.462707519531","208.2","PHILOMATH 6.1 WSW, OR US","6",",N","2",",N","0",",N","","","","","20140924",",,N","","","21.3",",,N,24,","31.5",",,,N","",""
"US1ORBN0065","2014-10","44.4930038452148","-123.462707519531","208.2","PHILOMATH 6.1 WSW, OR US","16","2,N","10","2,N","1","2,N","","","","","20141023",",2,N","","","54.1","2,,N,23,","215.0",",a,,N","",""
