"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1ORDG0026","2008-02","43.259415","-123.101847","261.2","GLIDE 2.9 SSW, OR US","14","3,N","6","3,N","0","3,N","0","3,N","20080229","+,3,N","20080223","+,3,N","0","3,,N,29,+","6.9","3,,N,23,+","37.6","3,,,N","0","3,,,N"
"US1ORDG0026","2008-03","43.259415","-123.101847","261.2","GLIDE 2.9 SSW, OR US","22",",N","14",",N","0",",N","0",",N","20080331","+,,N","20080315",",,N","0",",,N,31,+","19.3",",,N,15,","144.3",",,,N","0",",,,N"
"US1ORDG0026","2008-04","43.259415","-123.101847","261.2","GLIDE 2.9 SSW, OR US","14","4,N","11","4,N","0","4,N","0","4,N","20080430","+,4,N","20080420",",4,N","0","4,,N,30,+","15.0","4,,N,20,","77.6",",a,,N","0","4,,,N"
"US1ORDG0026","2008-05","43.259415","-123.101847","261.2","GLIDE 2.9 SSW, OR US","11",",N","4",",N","0",",N","0",",N","20080531","+,,N","20080521",",,N","0",",,N,31,+","9.4",",,N,21,","38.7",",,,N","0",",,,N"
"US1ORDG0026","2008-06","43.259415","-123.101847","261.2","GLIDE 2.9 SSW, OR US","8","1,N","2","1,N","0","1,N","0","1,N","20080630","+,1,N","20080603",",1,N","0","1,,N,30,+","10.4","1,,N,03,","23.4","1,,,N","0","1,,,N"
"US1ORDG0026","2008-07","43.259415","-123.101847","261.2","GLIDE 2.9 SSW, OR US","0","4,N","0","4,N","0","4,N","0","4,N","20080731","+,4,N","20080731","+,4,N","0","4,,N,31,+","0.0","4,,N,31,+","0.0","4,,,N","0","4,,,N"
"US1ORDG0026","2008-08","43.259415","-123.101847","261.2","GLIDE 2.9 SSW, OR US","6",",N","0",",N","0",",N","0",",N","20080831","+,,N","20080820",",,N","0",",,N,31,+","1.8",",,N,20,","6.7",",,,N","0",",,,N"
"US1ORDG0026","2008-09","43.259415","-123.101847","261.2","GLIDE 2.9 SSW, OR US","1",",N","1",",N","0",",N","0",",N","20080930","+,,N","20080901",",,N","0",",,N,30,+","6.1",",,N,01,","6.1",",,,N","0",",,,N"
"US1ORDG0026","2008-10","43.259415","-123.101847","261.2","GLIDE 2.9 SSW, OR US","12",",N","7",",N","0",",N","0",",N","20081031","+,,N","20081004",",,N","0",",,N,31,+","17.0",",,N,04,","57.7",",,,N","0",",,,N"
"US1ORDG0026","2008-11","43.259415","-123.101847","261.2","GLIDE 2.9 SSW, OR US","21",",N","13",",N","1",",N","0",",N","20081130","+,,N","20081104",",,N","0",",,N,30,+","27.9",",,N,04,","161.3",",,,N","0",",,,N"
"US1ORDG0026","2008-12","43.259415","-123.101847","261.2","GLIDE 2.9 SSW, OR US","20",",N","17",",N","2",",N","","","","","20081229",",,N","","","43.4",",,N,29,","230.2",",,,N","",""
"US1ORDG0026","2009-01","43.259415","-123.101847","261.2","GLIDE 2.9 SSW, OR US","16",",N","10",",N","0",",N","","","","","20090102",",,N","","","11.9",",,N,02,","65.6",",,,N","",""
"US1ORDG0026","2009-02","43.259415","-123.101847","261.2","GLIDE 2.9 SSW, OR US","17",",N","10",",N","0",",N","","","","","20090226",",,N","","","19.1",",,N,26,","79.9",",,,N","",""
"US1ORDG0026","2009-03","43.259415","-123.101847","261.2","GLIDE 2.9 SSW, OR US","24",",N","15",",N","1",",N","","","","","20090316",",,N","","","37.6",",,N,16,","155.0",",,,N","",""
"US1ORDG0026","2009-04","43.259415","-123.101847","261.2","GLIDE 2.9 SSW, OR US","16",",N","8",",N","0",",N","","","","","20090410",",,N","","","9.4",",,N,10,","63.9",",,,N","",""
"US1ORDG0026","2009-05","43.259415","-123.101847","261.2","GLIDE 2.9 SSW, OR US","14",",N","7",",N","0",",N","","","","","20090505","+,,N","","","13.2",",,N,05,+","55.4",",,,N","",""
"US1ORDG0026","2009-06","43.259415","-123.101847","261.2","GLIDE 2.9 SSW, OR US","13",",N","1",",N","0",",N","","","","","20090605",",,N","","","16.5",",,N,05,","27.6",",,,N","",""
"US1ORDG0026","2009-07","43.259415","-123.101847","261.2","GLIDE 2.9 SSW, OR US","3",",N","0",",N","0",",N","0","3,N","20090731","+,3,N","20090713",",,N","0","3,,N,31,+","1.8",",,N,13,","3.4",",,,N","0","3,,,N"
"US1ORDG0026","2009-08","43.259415","-123.101847","261.2","GLIDE 2.9 SSW, OR US","5",",N","0",",N","0",",N","0","5,N","20090831","+,5,N","20090813","+,,N","0","5,,N,31,+","1.5",",,N,13,+","4.5",",,,N","0","5,,,N"
"US1ORDG0026","2009-09","43.259415","-123.101847","261.2","GLIDE 2.9 SSW, OR US","6",",N","2",",N","0",",N","","","","","20090906",",,N","","","11.2",",,N,06,","24.7",",,,N","",""
