"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1ORLA0056","2008-01","44.084047","-123.351258","122.5","VENETA 2.5 N, OR US","22",",N","16",",N","4",",N","","","2",",N","","","20080128",",,N","20080105",",,N","","","140",",,N,28,","36.1",",,N,05,","275.4",",,,N","197",",,,N"
"US1ORLA0056","2008-02","44.084047","-123.351258","122.5","VENETA 2.5 N, OR US","15",",N","7",",N","0",",N","","","0",",N","","","20080229","+,,N","20080201",",,N","","","0",",,N,29,+","14.0",",,N,01,","70.6",",,,N","0",",,,N"
"US1ORLA0056","2008-03","44.084047","-123.351258","122.5","VENETA 2.5 N, OR US","21",",N","16",",N","0",",N","","","0",",N","","","20080331","+,,N","20080314",",,N","","","0",",,N,31,+","21.8",",,N,14,","158.7",",,,N","0",",,,N"
"US1ORLA0056","2008-04","44.084047","-123.351258","122.5","VENETA 2.5 N, OR US","15","1,N","9","1,N","0","1,N","","","0","1,N","","","20080420",",1,N","20080423",",1,N","","","13","1,,N,20,","11.4","1,,N,23,","58.2","1,,,N","13","1,,,N"
"US1ORLA0056","2008-05","44.084047","-123.351258","122.5","VENETA 2.5 N, OR US","6","5,N","1","5,N","0","5,N","","","0","5,N","","","20080531","+,5,N","20080520",",5,N","","","0","5,,N,31,+","2.5","5,,N,20,","8.1","5,,,N","0","5,,,N"
"US1ORLA0056","2008-08","44.084047","-123.351258","122.5","VENETA 2.5 N, OR US","7","1,N","3","1,N","0","1,N","","","0","1,N","","","20080831","+,1,N","20080825","+,1,N","","","0","1,,N,31,+","5.6","1,,N,25,+","17.9","1,,,N","0","1,,,N"
"US1ORLA0056","2008-09","44.084047","-123.351258","122.5","VENETA 2.5 N, OR US","2","2,N","0","2,N","0","2,N","","","0","2,N","","","20080930","+,2,N","20080922",",2,N","","","0","2,,N,30,+","1.0","2,,N,22,","1.8","2,,,N","0","2,,,N"
"US1ORLA0056","2008-10","44.084047","-123.351258","122.5","VENETA 2.5 N, OR US","10","2,N","6","2,N","0","2,N","","","0","2,N","","","20081031","+,2,N","20081004",",2,N","","","0","2,,N,31,+","18.8","2,,N,04,","52.1","2,,,N","0","2,,,N"
"US1ORLA0056","2008-11","44.084047","-123.351258","122.5","VENETA 2.5 N, OR US","19","1,N","13","1,N","1","1,N","","","0","1,N","","","20081130","+,1,N","20081104",",1,N","","","0","1,,N,30,+","33.5","1,,N,04,","140.9","1,,,N","0","1,,,N"
"US1ORLA0056","2008-12","44.084047","-123.351258","122.5","VENETA 2.5 N, OR US","23",",N","18",",N","1",",N","","","3","1,N","","","20081215",",1,N","20081228",",,N","","","76","1,,N,15,","26.7",",,N,28,","203.6",",,,N","170","1,,,N"
"US1ORLA0056","2009-01","44.084047","-123.351258","122.5","VENETA 2.5 N, OR US","13",",N","6",",N","1",",N","0",",N","0",",N","20090131","+,,N","20090131","+,,N","20090102",",,N","0",",,N,31,+","0",",,N,31,+","29.2",",,N,02,","79.6",",,,N","0",",,,N"
"US1ORLA0056","2009-02","44.084047","-123.351258","122.5","VENETA 2.5 N, OR US","13","1,N","9","1,N","1","1,N","0","1,N","0","1,N","20090228","+,1,N","20090228","+,1,N","20090224",",1,N","0","1,,N,28,+","0","1,,N,28,+","50.0","1,,N,24,","138.3","1,,,N","0","1,,,N"
"US1ORLA0056","2009-03","44.084047","-123.351258","122.5","VENETA 2.5 N, OR US","23",",N","11",",N","0",",N","0",",N","0",",N","20090309",",,N","20090309",",,N","20090315",",,N","0",",T,N,09,","0",",T,N,09,","22.1",",,N,15,","122.2",",,,N","0",",T,,N"
"US1ORLA0056","2009-04","44.084047","-123.351258","122.5","VENETA 2.5 N, OR US","13","2,N","9","2,N","0","2,N","0","2,N","0","2,N","20090430","+,2,N","20090430","+,2,N","20090413",",2,N","0","2,,N,30,+","0","2,,N,30,+","8.6","2,,N,13,","46.1","2,,,N","0","2,,,N"
"US1ORLA0056","2009-05","44.084047","-123.351258","122.5","VENETA 2.5 N, OR US","14","1,N","7","1,N","1","1,N","0","2,N","0","2,N","20090531","+,2,N","20090531","+,2,N","20090505",",1,N","0","2,,N,31,+","0","2,,N,31,+","30.0","1,,N,05,","100.6","1,,,N","0","2,,,N"
"US1ORLA0056","2009-06","44.084047","-123.351258","122.5","VENETA 2.5 N, OR US","7",",N","4",",N","0",",N","0",",N","0",",N","20090630","+,,N","20090630","+,,N","20090613",",,N","0",",,N,30,+","0",",,N,30,+","15.2",",,N,13,","37.3",",,,N","0",",,,N"
"US1ORLA0056","2009-07","44.084047","-123.351258","122.5","VENETA 2.5 N, OR US","","","","","","","","","","","","","","","","","","","","","","","18.5","1,a,,N","",""
"US1ORLA0056","2009-09","44.084047","-123.351258","122.5","VENETA 2.5 N, OR US","7","1,N","5","1,N","0","1,N","0","2,N","0","1,N","20090930","+,2,N","20090930","+,1,N","20090905",",1,N","0","2,,N,30,+","0","1,,N,30,+","9.1","1,,N,05,","28.9","1,,,N","0","1,,,N"
"US1ORLA0056","2009-10","44.084047","-123.351258","122.5","VENETA 2.5 N, OR US","21","2,N","11","2,N","0","2,N","0","2,N","0","2,N","20091031","+,2,N","20091031","+,2,N","20091024",",2,N","0","2,,N,31,+","0","2,,N,31,+","13.7","2,,N,24,","77.0","2,,,N","0","2,,,N"
"US1ORLA0056","2009-11","44.084047","-123.351258","122.5","VENETA 2.5 N, OR US","21","1,N","14","1,N","1","1,N","0","1,N","0","1,N","20091130","+,1,N","20091130","+,1,N","20091127",",1,N","0","1,,N,30,+","0","1,,N,30,+","26.7","1,,N,27,","169.4","1,,,N","0","1,,,N"
"US1ORLA0056","2009-12","44.084047","-123.351258","122.5","VENETA 2.5 N, OR US","16","2,N","9","2,N","1","2,N","0","2,N","0","2,N","20091231","+,2,N","20091231","+,2,N","20091216",",2,N","0","2,,N,31,+","0","2,,N,31,+","28.7","2,,N,16,","148.6","2,,,N","0","2,,,N"
