"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1ORLN0103","2023-04","44.5924","-123.174549","64.6","ALBANY 4.4 WSW, OR US","20","1,N","13","1,N","0","1,N","","","","","20230411",",1,N","","","19.8","1,,N,11,","129.9","1,,,N","",""
"US1ORLN0103","2023-05","44.5924","-123.174549","64.6","ALBANY 4.4 WSW, OR US","","","","","","","","","","","","","","","","","10.2","5,a,,N","",""
"US1ORLN0103","2023-06","44.5924","-123.174549","64.6","ALBANY 4.4 WSW, OR US","3","1,N","0","1,N","0","1,N","0","4,N","20230630","+,4,N","20230619",",1,N","0","4,,N,30,+","1.0","1,,N,19,","1.6","1,,,N","0","4,,,N"
"US1ORLN0103","2023-08","44.5924","-123.174549","64.6","ALBANY 4.4 WSW, OR US","2",",N","1",",N","0",",N","0","2,N","20230831","+,2,N","20230825",",,N","0","2,,N,31,+","3.8",",,N,25,","4.1",",,,N","0","2,,,N"
"US1ORLN0103","2023-09","44.5924","-123.174549","64.6","ALBANY 4.4 WSW, OR US","9",",N","6",",N","0",",N","","","","","20230901",",,N","","","17.5",",,N,01,","63.3",",,,N","",""
"US1ORLN0103","2023-10","44.5924","-123.174549","64.6","ALBANY 4.4 WSW, OR US","16",",N","7",",N","0",",N","","","","","20231025",",,N","","","20.3",",,N,25,","66.2",",,,N","",""
"US1ORLN0103","2023-11","44.5924","-123.174549","64.6","ALBANY 4.4 WSW, OR US","14","4,N","6","4,N","0","4,N","","","","","20231102",",4,N","","","16.3","4,,N,02,","109.0","1,a,,N","",""
"US1ORLN0103","2023-12","44.5924","-123.174549","64.6","ALBANY 4.4 WSW, OR US","23","1,N","13","1,N","0","1,N","","","","","20231203",",1,N","","","25.1","1,,N,03,","164.2","1,,,N","",""
"US1ORLN0103","2024-03","44.5924","-123.174549","64.6","ALBANY 4.4 WSW, OR US","18",",N","13",",N","0",",N","","","","","20240301",",,N","","","20.1",",,N,01,","126.3",",,,N","",""
"US1ORLN0103","2024-04","44.5924","-123.174549","64.6","ALBANY 4.4 WSW, OR US","19",",N","7",",N","0",",N","","","","","20240404",",,N","","","5.8",",,N,04,","40.6",",,,N","",""
"US1ORLN0103","2024-06","44.5924","-123.174549","64.6","ALBANY 4.4 WSW, OR US","5","3,N","2","3,N","1","3,N","","","","","20240603",",3,N","","","30.2","3,,N,03,","35.9","3,,,N","",""
