"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1ORPK0006","2008-01","44.952883","-123.059578","73.2","SALEM 2.7 NW, OR US","20",",N","16",",N","1",",N","0",",N","20080131","+,,N","20080127",",,N","0",",,N,31,+","33.5",",,N,27,","191.7",",,,N","0",",,,N"
"US1ORPK0006","2008-03","44.952883","-123.059578","73.2","SALEM 2.7 NW, OR US","23",",N","14",",N","0",",N","0",",N","20080331","+,,N","20080315",",,N","0",",,N,31,+","21.3",",,N,15,","119.9",",,,N","0",",,,N"
"US1ORPK0006","2008-04","44.952883","-123.059578","73.2","SALEM 2.7 NW, OR US","16","3,N","7","3,N","0","3,N","0","2,N","20080430","+,2,N","20080423",",3,N","0","2,,N,30,+","10.2","3,,N,23,","53.6","3,,,N","0","2,,,N"
"US1ORPK0006","2008-05","44.952883","-123.059578","73.2","SALEM 2.7 NW, OR US","6","2,N","2","2,N","0","2,N","0","2,N","20080531","+,2,N","20080526",",2,N","0","2,,N,31,+","2.8","2,,N,26,","18.8",",a,,N","0","2,,,N"
"US1ORPK0006","2008-06","44.952883","-123.059578","73.2","SALEM 2.7 NW, OR US","6","1,N","3","1,N","0","1,N","0","1,N","20080630","+,1,N","20080603",",1,N","0","1,,N,30,+","17.3","1,,N,03,","30.2","1,,,N","0","1,,,N"
"US1ORPK0006","2008-08","44.952883","-123.059578","73.2","SALEM 2.7 NW, OR US","9",",N","4",",N","0",",N","0",",N","20080831","+,,N","20080825",",,N","0",",,N,31,+","8.1",",,N,25,","23.9",",,,N","0",",,,N"
"US1ORPK0006","2008-09","44.952883","-123.059578","73.2","SALEM 2.7 NW, OR US","3","4,N","3","4,N","0","4,N","0","4,N","20080930","+,4,N","20080922","+,4,N","0","4,,N,30,+","3.6","4,,N,22,+","10.0","4,,,N","0","4,,,N"
"US1ORPK0006","2008-11","44.952883","-123.059578","73.2","SALEM 2.7 NW, OR US","20",",N","14",",N","0",",N","0",",N","20081130","+,,N","20081104",",,N","0",",,N,30,+","21.6",",,N,04,","120.9",",,,N","0",",,,N"
"US1ORPK0006","2008-12","44.952883","-123.059578","73.2","SALEM 2.7 NW, OR US","22","1,N","16","1,N","1","1,N","2","3,N","20081223",",3,N","20081221",",1,N","102","3,,N,23,","26.4","1,,N,21,","150.1","1,,,N","184","3,,,N"
"US1ORPK0006","2009-01","44.952883","-123.059578","73.2","SALEM 2.7 NW, OR US","16",",N","8",",N","1",",N","","","","","20090102",",,N","","","52.6",",,N,02,","102.2",",,,N","",""
"US1ORPK0006","2009-02","44.952883","-123.059578","73.2","SALEM 2.7 NW, OR US","16",",N","10",",N","0",",N","","","","","20090226",",,N","","","22.4",",,N,26,","80.8",",,,N","",""
"US1ORPK0006","2009-03","44.952883","-123.059578","73.2","SALEM 2.7 NW, OR US","17","1,N","11","1,N","0","1,N","","","","","20090315",",1,N","","","15.7","1,,N,15,","94.7","1,,,N","",""
"US1ORPK0006","2009-04","44.952883","-123.059578","73.2","SALEM 2.7 NW, OR US","13",",N","5",",N","0",",N","","","","","20090413",",,N","","","6.4",",,N,13,","30.2",",,,N","",""
"US1ORPK0006","2009-05","44.952883","-123.059578","73.2","SALEM 2.7 NW, OR US","13",",N","8",",N","0",",N","","","","","20090505",",,N","","","24.6",",,N,05,","77.2",",,,N","",""
"US1ORPK0006","2009-06","44.952883","-123.059578","73.2","SALEM 2.7 NW, OR US","8","3,N","3","3,N","1","3,N","","","","","20090613",",3,N","","","25.4","3,,N,13,","58.7","1,a,,N","",""
"US1ORPK0006","2009-07","44.952883","-123.059578","73.2","SALEM 2.7 NW, OR US","1",",N","1",",N","0",",N","0","3,N","20090731","+,3,N","20090713",",,N","0","3,,N,31,+","19.6",",,N,13,","19.6",",,,N","0","3,,,N"
"US1ORPK0006","2009-08","44.952883","-123.059578","73.2","SALEM 2.7 NW, OR US","3",",N","2",",N","0",",N","0","5,N","20090831","+,5,N","20090812",",,N","0","5,,N,31,+","5.6",",,N,12,","8.4",",,,N","0","5,,,N"
"US1ORPK0006","2009-09","44.952883","-123.059578","73.2","SALEM 2.7 NW, OR US","8",",N","4",",N","0",",N","","","","","20090906",",,N","","","9.9",",,N,06,","29.3",",,,N","",""
"US1ORPK0006","2009-10","44.952883","-123.059578","73.2","SALEM 2.7 NW, OR US","19","4,N","8","4,N","0","4,N","","","","","20091027",",4,N","","","18.8","4,,N,27,","80.7","4,,,N","",""
"US1ORPK0006","2009-11","44.952883","-123.059578","73.2","SALEM 2.7 NW, OR US","22",",N","15",",N","1",",N","","","","","20091108",",,N","","","33.3",",,N,08,","203.0",",,,N","",""
"US1ORPK0006","2009-12","44.952883","-123.059578","73.2","SALEM 2.7 NW, OR US","15",",N","10",",N","1",",N","","","","","20091216",",,N","","","25.4",",,N,16,","120.3",",,,N","",""
"US1ORPK0006","2010-01","44.952883","-123.059578","73.2","SALEM 2.7 NW, OR US","26",",N","15",",N","2",",N","","","","","20100101",",,N","","","30.5",",,N,01,","184.3",",,,N","",""
