"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1PADL0025","2023-01","40.0284117","-75.3614629","105.8","VILLANOVA 0.9 SW, PA US","15","1,N","8","1,N","1","1,N","20230126",",1,N","28.7","1,,N,26,","96.0","1,,,N"
"US1PADL0025","2023-02","40.0284117","-75.3614629","105.8","VILLANOVA 0.9 SW, PA US","8","4,N","5","4,N","0","4,N","20230218",",4,N","12.4","4,,N,18,","40.9","4,,,N"
"US1PADL0025","2023-03","40.0284117","-75.3614629","105.8","VILLANOVA 0.9 SW, PA US","12",",N","6",",N","0",",N","20230304",",,N","23.6",",,N,04,","62.1",",,,N"
"US1PADL0025","2023-09","40.0284117","-75.3614629","105.8","VILLANOVA 0.9 SW, PA US","14",",N","8",",N","1",",N","20230925",",,N","37.8",",,N,25,","119.0",",,,N"
"US1PADL0025","2023-10","40.0284117","-75.3614629","105.8","VILLANOVA 0.9 SW, PA US","8",",N","2",",N","0",",N","20231015",",,N","16.3",",,N,15,","27.1",",,,N"
"US1PADL0025","2023-11","40.0284117","-75.3614629","105.8","VILLANOVA 0.9 SW, PA US","7",",N","2",",N","2",",N","20231122",",,N","63.5",",,N,22,","97.4",",,,N"
"US1PADL0025","2023-12","40.0284117","-75.3614629","105.8","VILLANOVA 0.9 SW, PA US","15",",N","6",",N","3",",N","20231218",",,N","80.8",",,N,18,","190.2",",,,N"
"US1PADL0025","2024-01","40.0284117","-75.3614629","105.8","VILLANOVA 0.9 SW, PA US","15",",N","9",",N","2",",N","20240110",",,N","94.7",",,N,10,","197.8",",,,N"
"US1PADL0025","2024-02","40.0284117","-75.3614629","105.8","VILLANOVA 0.9 SW, PA US","9","1,N","7","1,N","0","1,N","20240214",",1,N","12.2","1,,N,14,","53.4","1,,,N"
"US1PADL0025","2024-03","40.0284117","-75.3614629","105.8","VILLANOVA 0.9 SW, PA US","11","3,N","8","3,N","2","3,N","20240324",",3,N","52.3","3,,N,24,","180.9",",a,,N"
"US1PADL0025","2024-04","40.0284117","-75.3614629","105.8","VILLANOVA 0.9 SW, PA US","10","2,N","6","2,N","1","2,N","20240404",",2,N","33.0","2,,N,04,","123.3",",a,,N"
