"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1SCBW0003","2012-05","33.236711025238","-81.3857035338879","60.4","BARNWELL 1.2 WSW, SC US","9","5,N","6","5,N","4","5,N","","","","","20120515",",5,N","","","33.8","5,,N,15,","136.7","5,,,N","",""
"US1SCBW0003","2012-06","33.236711025238","-81.3857035338879","60.4","BARNWELL 1.2 WSW, SC US","","","","","","","","","","","","","","","","","81.6","5,a,,N","",""
"US1SCBW0003","2012-07","33.236711025238","-81.3857035338879","60.4","BARNWELL 1.2 WSW, SC US","9","5,N","3","5,N","0","5,N","","","","","20120706",",5,N","","","25.1","5,,N,06,","64.1","1,a,,N","",""
"US1SCBW0003","2012-10","33.236711025238","-81.3857035338879","60.4","BARNWELL 1.2 WSW, SC US","","","","","","","","","","","","","","","","","13.2",",a,,N","",""
"US1SCBW0003","2012-11","33.236711025238","-81.3857035338879","60.4","BARNWELL 1.2 WSW, SC US","","","","","","","","","","","","","","","","","33.1",",a,,N","",""
"US1SCBW0003","2012-12","33.236711025238","-81.3857035338879","60.4","BARNWELL 1.2 WSW, SC US","9","4,N","6","4,N","1","4,N","","","","","20121218",",4,N","","","27.2","4,,N,18,","122.2","2,a,,N","",""
"US1SCBW0003","2013-01","33.236711025238","-81.3857035338879","60.4","BARNWELL 1.2 WSW, SC US","6","5,N","2","5,N","0","5,N","","","","","20130131",",5,N","","","14.2","5,,N,31,","23.8","2,a,,N","",""
"US1SCBW0003","2013-02","33.236711025238","-81.3857035338879","60.4","BARNWELL 1.2 WSW, SC US","12","3,N","9","3,N","4","3,N","","","","","20130208",",3,N","","","70.4","3,,N,08,","232.7",",a,,N","",""
"US1SCBW0003","2013-03","33.236711025238","-81.3857035338879","60.4","BARNWELL 1.2 WSW, SC US","4","3,N","3","3,N","0","3,N","","","","","20130319",",3,N","","","18.5","3,,N,19,","98.2",",a,,N","",""
"US1SCBW0003","2013-04","33.236711025238","-81.3857035338879","60.4","BARNWELL 1.2 WSW, SC US","10","3,N","6","3,N","3","3,N","","","","","20130429",",3,N","","","28.4","3,,N,29,","134.4",",a,,N","",""
"US1SCBW0003","2013-05","33.236711025238","-81.3857035338879","60.4","BARNWELL 1.2 WSW, SC US","7",",N","4",",N","0",",N","","","","","20130506",",,N","","","22.4",",,N,06,","49.2",",,,N","",""
"US1SCBW0003","2013-08","33.236711025238","-81.3857035338879","60.4","BARNWELL 1.2 WSW, SC US","14","1,N","9","1,N","4","1,N","","","","","20130820",",1,N","","","140.2","1,,N,20,","302.8","1,,,N","",""
"US1SCBW0003","2013-09","33.236711025238","-81.3857035338879","60.4","BARNWELL 1.2 WSW, SC US","6","5,N","3","5,N","0","5,N","","","","","20130917",",5,N","","","12.2","5,,N,17,","47.6","2,a,,N","",""
"US1SCBW0003","2013-10","33.236711025238","-81.3857035338879","60.4","BARNWELL 1.2 WSW, SC US","6","3,N","2","3,N","0","3,N","","","","","20131007",",3,N","","","3.3","3,,N,07,","15.6",",a,,N","",""
"US1SCBW0003","2013-11","33.236711025238","-81.3857035338879","60.4","BARNWELL 1.2 WSW, SC US","4","3,N","2","3,N","1","3,N","","","","","20131127",",3,N","","","27.7","3,,N,27,","46.3",",a,,N","",""
