"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1SCDC0042","2015-10","32.982725","-80.258252","19.5","SUMMERVILLE 4.8 WSW, SC US","13",",N","7",",N","3",",N","","","","","20151003",",,N","","","178.3",",,N,03,","416.3",",,,N","",""
"US1SCDC0042","2015-11","32.982725","-80.258252","19.5","SUMMERVILLE 4.8 WSW, SC US","10",",N","7",",N","2",",N","","","","","20151103",",,N","","","60.7",",,N,03,","149.7",",,,N","",""
"US1SCDC0042","2015-12","32.982725","-80.258252","19.5","SUMMERVILLE 4.8 WSW, SC US","13",",N","7",",N","0",",N","","","","","20151218",",,N","","","22.9",",,N,18,","74.5",",,,N","",""
"US1SCDC0042","2016-01","32.982725","-80.258252","19.5","SUMMERVILLE 4.8 WSW, SC US","11",",N","5",",N","0",",N","","","","","20160115",",,N","","","22.4",",,N,15,","72.0",",,,N","",""
"US1SCDC0042","2016-02","32.982725","-80.258252","19.5","SUMMERVILLE 4.8 WSW, SC US","9","3,N","5","3,N","1","3,N","","","","","20160204",",3,N","","","74.4","3,,N,04,","126.5","3,,,N","",""
"US1SCDC0042","2016-03","32.982725","-80.258252","19.5","SUMMERVILLE 4.8 WSW, SC US","7",",N","6",",N","1",",N","","","","","20160327",",,N","","","27.4",",,N,27,","63.8",",,,N","",""
"US1SCDC0042","2016-04","32.982725","-80.258252","19.5","SUMMERVILLE 4.8 WSW, SC US","10",",N","5",",N","0",",N","","","","","20160429",",,N","","","17.0",",,N,29,","44.4",",,,N","",""
"US1SCDC0042","2016-05","32.982725","-80.258252","19.5","SUMMERVILLE 4.8 WSW, SC US","14",",N","10",",N","2",",N","","","","","20160529",",,N","","","63.8",",,N,29,","158.7",",,,N","",""
"US1SCDC0042","2016-06","32.982725","-80.258252","19.5","SUMMERVILLE 4.8 WSW, SC US","7",",N","5",",N","1",",N","","","","","20160606",",,N","","","34.8",",,N,06,","99.3",",,,N","",""
"US1SCDC0042","2016-07","32.982725","-80.258252","19.5","SUMMERVILLE 4.8 WSW, SC US","11",",N","6",",N","2",",N","","","","","20160717",",,N","","","43.4",",,N,17,","141.4",",,,N","",""
"US1SCDC0042","2016-08","32.982725","-80.258252","19.5","SUMMERVILLE 4.8 WSW, SC US","12",",N","5",",N","0",",N","","","","","20160812",",,N","","","15.5",",,N,12,","65.4",",,,N","",""
"US1SCDC0042","2016-09","32.982725","-80.258252","19.5","SUMMERVILLE 4.8 WSW, SC US","12","2,N","8","2,N","2","2,N","","","","","20160902",",2,N","","","78.0","2,,N,02,","178.9",",a,,N","",""
"US1SCDC0042","2016-10","32.982725","-80.258252","19.5","SUMMERVILLE 4.8 WSW, SC US","2",",N","2",",N","1",",N","0","2,N","20161031","+,2,N","20161008",",,N","0","2,,N,31,+","251.2",",,N,08,","257.3",",,,N","0","2,,,N"
"US1SCDC0042","2016-11","32.982725","-80.258252","19.5","SUMMERVILLE 4.8 WSW, SC US","3",",N","1",",N","0",",N","0","3,N","20161130","+,3,N","20161113",",,N","0","3,,N,30,+","3.6",",,N,13,","5.4",",,,N","0","3,,,N"
"US1SCDC0042","2016-12","32.982725","-80.258252","19.5","SUMMERVILLE 4.8 WSW, SC US","12",",N","4",",N","1",",N","","","","","20161206",",,N","","","108.2",",,N,06,","135.0",",,,N","",""
"US1SCDC0042","2017-01","32.982725","-80.258252","19.5","SUMMERVILLE 4.8 WSW, SC US","8",",N","6",",N","1",",N","","","","","20170122",",,N","","","39.1",",,N,22,","95.6",",,,N","",""
"US1SCDC0042","2017-02","32.982725","-80.258252","19.5","SUMMERVILLE 4.8 WSW, SC US","3",",N","1",",N","0",",N","0","3,N","20170228","+,3,N","20170208",",,N","0","3,,N,28,+","6.6",",,N,08,","8.7",",,,N","0","3,,,N"
"US1SCDC0042","2017-03","32.982725","-80.258252","19.5","SUMMERVILLE 4.8 WSW, SC US","6",",N","3",",N","0",",N","","","","","20170313",",,N","","","10.2",",,N,13,","31.4",",,,N","",""
"US1SCDC0042","2017-04","32.982725","-80.258252","19.5","SUMMERVILLE 4.8 WSW, SC US","7",",N","3",",N","2",",N","","","","","20170406",",,N","","","46.0",",,N,06,","96.4",",,,N","",""
"US1SCDC0042","2017-05","32.982725","-80.258252","19.5","SUMMERVILLE 4.8 WSW, SC US","7",",N","6",",N","1",",N","","","","","20170524",",,N","","","44.2",",,N,24,","104.5",",,,N","",""
"US1SCDC0042","2017-06","32.982725","-80.258252","19.5","SUMMERVILLE 4.8 WSW, SC US","12",",N","8",",N","1",",N","","","","","20170607",",,N","","","39.6",",,N,07,","120.9",",,,N","",""
"US1SCDC0042","2017-07","32.982725","-80.258252","19.5","SUMMERVILLE 4.8 WSW, SC US","18",",N","7",",N","0",",N","","","","","20170717",",,N","","","25.1",",,N,17,","105.6",",,,N","",""
"US1SCDC0042","2017-08","32.982725","-80.258252","19.5","SUMMERVILLE 4.8 WSW, SC US","21",",N","15",",N","1",",N","","","","","20170808",",,N","","","25.7",",,N,08,","140.3",",,,N","",""
"US1SCDC0042","2017-09","32.982725","-80.258252","19.5","SUMMERVILLE 4.8 WSW, SC US","8","2,N","7","2,N","2","2,N","","","","","20170911",",2,N","","","125.7","2,,N,11,","238.0",",a,,N","",""
"US1SCDC0042","2017-11","32.982725","-80.258252","19.5","SUMMERVILLE 4.8 WSW, SC US","5",",N","5",",N","0",",N","","","","","20171110",",,N","","","10.4",",,N,10,","33.9",",,,N","",""
"US1SCDC0042","2017-12","32.982725","-80.258252","19.5","SUMMERVILLE 4.8 WSW, SC US","6","2,N","3","2,N","1","2,N","","","","","20171208",",2,N","","","31.2","2,,N,08,","81.8",",a,,N","",""
"US1SCDC0042","2018-01","32.982725","-80.258252","19.5","SUMMERVILLE 4.8 WSW, SC US","8",",N","5",",N","0",",N","","","","","20180103",",,N","","","16.0",",,N,03,","54.1",",,,N","",""
"US1SCDC0042","2018-02","32.982725","-80.258252","19.5","SUMMERVILLE 4.8 WSW, SC US","8",",N","3",",N","0",",N","","","","","20180204",",,N","","","8.6",",,N,04,","25.7",",,,N","",""
"US1SCDC0042","2018-03","32.982725","-80.258252","19.5","SUMMERVILLE 4.8 WSW, SC US","7","4,N","6","4,N","0","4,N","","","","","20180320",",4,N","","","24.6","4,,N,20,","72.6",",a,,N","",""
"US1SCDC0042","2018-04","32.982725","-80.258252","19.5","SUMMERVILLE 4.8 WSW, SC US","8",",N","7",",N","1",",N","","","","","20180423",",,N","","","39.1",",,N,23,","119.4",",,,N","",""
"US1SCDC0042","2018-05","32.982725","-80.258252","19.5","SUMMERVILLE 4.8 WSW, SC US","12",",N","7",",N","1",",N","","","","","20180528",",,N","","","51.6",",,N,28,","121.6",",,,N","",""
"US1SCDC0042","2018-06","32.982725","-80.258252","19.5","SUMMERVILLE 4.8 WSW, SC US","14",",N","8",",N","3",",N","","","","","20180625",",,N","","","42.7",",,N,25,","173.5",",,,N","",""
"US1SCDC0042","2018-07","32.982725","-80.258252","19.5","SUMMERVILLE 4.8 WSW, SC US","16",",N","11",",N","3",",N","","","","","20180720",",,N","","","68.3",",,N,20,","257.2",",,,N","",""
"US1SCDC0042","2018-09","32.982725","-80.258252","19.5","SUMMERVILLE 4.8 WSW, SC US","10",",N","5",",N","0",",N","","","","","20180929",",,N","","","22.9",",,N,29,","69.7",",,,N","",""
"US1SCDC0042","2018-10","32.982725","-80.258252","19.5","SUMMERVILLE 4.8 WSW, SC US","9","2,N","4","2,N","1","2,N","","","","","20181010",",2,N","","","74.2","2,,N,10,","90.5",",a,,N","",""
"US1SCDC0042","2018-11","32.982725","-80.258252","19.5","SUMMERVILLE 4.8 WSW, SC US","16",",N","8",",N","2",",N","","","","","20181105",",,N","","","56.9",",,N,05,","132.9",",,,N","",""
"US1SCDC0042","2018-12","32.982725","-80.258252","19.5","SUMMERVILLE 4.8 WSW, SC US","16",",N","8",",N","3",",N","","","","","20181214",",,N","","","70.6",",,N,14,","225.5",",,,N","",""
