"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1SCPC0018","2013-09","34.786869444","-82.835938889","291.4","CENTRAL 5.3 NW, SC US","8",",N","8",",N","1",",N","","","","","20130922",",,N","","","26.9",",,N,22,","93.1",",,,N","",""
"US1SCPC0018","2013-10","34.786869444","-82.835938889","291.4","CENTRAL 5.3 NW, SC US","6","1,N","3","1,N","1","1,N","","","","","20131007",",1,N","","","32.5","1,,N,07,","48.0","1,,,N","",""
"US1SCPC0018","2013-11","34.786869444","-82.835938889","291.4","CENTRAL 5.3 NW, SC US","10",",N","5",",N","2",",N","","","","","20131127",",,N","","","54.4",",,N,27,","119.9",",,,N","",""
"US1SCPC0018","2013-12","34.786869444","-82.835938889","291.4","CENTRAL 5.3 NW, SC US","13",",N","11",",N","3",",N","","","","","20131223",",,N","","","55.6",",,N,23,","198.9",",,,N","",""
"US1SCPC0018","2014-01","34.786869444","-82.835938889","291.4","CENTRAL 5.3 NW, SC US","8",",N","6",",N","1",",N","","","","","20140111",",,N","","","46.0",",,N,11,","86.6",",,,N","",""
"US1SCPC0018","2014-02","34.786869444","-82.835938889","291.4","CENTRAL 5.3 NW, SC US","10",",N","6",",N","0",",N","","","","","20140213",",,N","","","24.4",",,N,13,","69.5",",,,N","",""
"US1SCPC0018","2014-03","34.786869444","-82.835938889","291.4","CENTRAL 5.3 NW, SC US","15",",N","8",",N","2",",N","","","","","20140317",",,N","","","28.2",",,N,17,","95.2",",,,N","",""
"US1SCPC0018","2014-04","34.786869444","-82.835938889","291.4","CENTRAL 5.3 NW, SC US","9",",N","7",",N","3",",N","","","","","20140407",",,N","","","54.1",",,N,07,","150.9",",,,N","",""
"US1SCPC0018","2014-05","34.786869444","-82.835938889","291.4","CENTRAL 5.3 NW, SC US","11",",N","8",",N","1",",N","","","","","20140515",",,N","","","55.6",",,N,15,","97.2",",,,N","",""
"US1SCPC0018","2014-06","34.786869444","-82.835938889","291.4","CENTRAL 5.3 NW, SC US","11",",N","3",",N","1",",N","","","","","20140612",",,N","","","55.1",",,N,12,","85.0",",,,N","",""
"US1SCPC0018","2014-07","34.786869444","-82.835938889","291.4","CENTRAL 5.3 NW, SC US","10",",N","9",",N","1",",N","","","","","20140720",",,N","","","32.5",",,N,20,","125.5",",,,N","",""
"US1SCPC0018","2014-08","34.786869444","-82.835938889","291.4","CENTRAL 5.3 NW, SC US","10",",N","7",",N","3",",N","","","","","20140810",",,N","","","58.4",",,N,10,","180.8",",,,N","",""
