"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1SDBN0003","2007-07","43.3158","-101.3851","876.9","MARTIN 19.6 ENE, SD US","3","4,N","1","4,N","0","4,N","","","0","4,N","","","20070731","+,4,N","20070710",",4,N","","","0","4,,N,31,+","7.1","4,,N,10,","8.7","4,,,N","0","4,,,N"
"US1SDBN0003","2007-08","43.3158","-101.3851","876.9","MARTIN 19.6 ENE, SD US","11",",N","6",",N","1",",N","","","0",",N","","","20070831","+,,N","20070823",",,N","","","0",",,N,31,+","27.9",",,N,23,","76.5",",,,N","0",",,,N"
"US1SDBN0003","2007-09","43.3158","-101.3851","876.9","MARTIN 19.6 ENE, SD US","8",",N","3",",N","1",",N","","","0",",N","","","20070930","+,,N","20070924",",,N","","","0",",,N,30,+","47.8",",,N,24,","70.2",",,,N","0",",,,N"
"US1SDBN0003","2007-10","43.3158","-101.3851","876.9","MARTIN 19.6 ENE, SD US","9",",N","7",",N","2",",N","","","0",",N","","","20071031","+,,N","20071014",",,N","","","0",",,N,31,+","35.6",",,N,14,","113.0",",,,N","0",",,,N"
"US1SDBN0003","2007-11","43.3158","-101.3851","876.9","MARTIN 19.6 ENE, SD US","0",",N","0",",N","0",",N","","","0",",N","","","20071130","+,,N","20071130","+,,N","","","0",",,N,30,+","0.0",",,N,30,+","0.0",",,,N","0",",,,N"
"US1SDBN0003","2007-12","43.3158","-101.3851","876.9","MARTIN 19.6 ENE, SD US","10",",N","3",",N","0",",N","","","3",",N","","","20071209",",,N","20071225",",,N","","","64",",,N,09,","3.3",",,N,25,","16.5",",,,N","194",",,,N"
"US1SDBN0003","2008-01","43.3158","-101.3851","876.9","MARTIN 19.6 ENE, SD US","4",",N","1",",N","0",",N","19","1,N","2",",N","20080124","+,1,N","20080121",",,N","20080121",",,N","165","1,,N,24,+","114",",,N,21,","7.1",",,N,21,","9.9",",,,N","159",",,,N"
"US1SDBN0003","2008-02","43.3158","-101.3851","876.9","MARTIN 19.6 ENE, SD US","7",",N","2",",N","0",",N","16","5,N","2",",N","20080212",",5,N","20080212",",,N","20080212",",,N","152","5,,N,12,","127",",,N,12,","7.9",",,N,12,","15.6",",,,N","215",",,,N"
"US1SDBN0003","2008-03","43.3158","-101.3851","876.9","MARTIN 19.6 ENE, SD US","4",",N","3",",N","0",",N","","","1",",N","","","20080331",",,N","20080331",",,N","","","127",",,N,31,","11.4",",,N,31,","23.1",",,,N","132",",,,N"
"US1SDBN0003","2008-04","43.3158","-101.3851","876.9","MARTIN 19.6 ENE, SD US","8",",N","7",",N","1",",N","6","1,N","4",",N","20080411",",1,N","20080411",",,N","20080411",",,N","152","1,,N,11,","152",",,N,11,","38.4",",,N,11,","67.0",",,,N","227",",,,N"
"US1SDBN0003","2008-05","43.3158","-101.3851","876.9","MARTIN 19.6 ENE, SD US","18",",N","10",",N","1",",N","","","0",",N","","","20080503",",,N","20080523",",,N","","","13",",,N,03,","47.8",",,N,23,","131.7",",,,N","13",",,,N"
"US1SDBN0003","2008-06","43.3158","-101.3851","876.9","MARTIN 19.6 ENE, SD US","16",",N","6",",N","1",",N","","","0",",N","","","20080630","+,,N","20080606",",,N","","","0",",,N,30,+","33.8",",,N,06,","97.4",",,,N","0",",,,N"
"US1SDBN0003","2008-07","43.3158","-101.3851","876.9","MARTIN 19.6 ENE, SD US","6",",N","4",",N","1",",N","","","0",",N","","","20080731","+,,N","20080719",",,N","","","0",",,N,31,+","43.7",",,N,19,","59.0",",,,N","0",",,,N"
"US1SDBN0003","2008-08","43.3158","-101.3851","876.9","MARTIN 19.6 ENE, SD US","6",",N","3",",N","0",",N","","","0",",N","","","20080831","+,,N","20080805",",,N","","","0",",,N,31,+","15.7",",,N,05,","33.5",",,,N","0",",,,N"
"US1SDBN0003","2008-09","43.3158","-101.3851","876.9","MARTIN 19.6 ENE, SD US","10",",N","5",",N","0",",N","","","0",",N","","","20080930","+,,N","20080902",",,N","","","0",",,N,30,+","11.9",",,N,02,","36.6",",,,N","0",",,,N"
"US1SDBN0003","2008-10","43.3158","-101.3851","876.9","MARTIN 19.6 ENE, SD US","","","","","","","","","0",",N","","","20081031","+,,N","","","","","0",",,N,31,+","","","","","0",",,,N"
