"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1SDDV0028","2018-06","43.629171","-98.009567","403.6","MITCHELL 7.3 S, SD US","16","5,N","10","5,N","1","5,N","","","","","20180621",",5,N","","","30.2","5,,N,21,","102.6","5,,,N","",""
"US1SDDV0028","2018-08","43.629171","-98.009567","403.6","MITCHELL 7.3 S, SD US","9","4,N","7","4,N","1","4,N","","","","","20180828",",4,N","","","31.0","4,,N,28,","78.8","4,,,N","",""
"US1SDDV0028","2022-06","43.629171","-98.009567","403.6","MITCHELL 7.3 S, SD US","12","4,N","9","4,N","0","4,N","","","","","20220613",",4,N","","","14.7","4,,N,13,","62.6","4,,,N","",""
"US1SDDV0028","2022-07","43.629171","-98.009567","403.6","MITCHELL 7.3 S, SD US","10","2,N","6","2,N","0","2,N","","","","","20220706",",2,N","","","21.6","2,,N,06,","55.1","2,,,N","",""
"US1SDDV0028","2022-08","43.629171","-98.009567","403.6","MITCHELL 7.3 S, SD US","10","3,N","4","3,N","1","3,N","","","","","20220807",",3,N","","","32.0","3,,N,07,","53.7","3,,,N","",""
"US1SDDV0028","2022-09","43.629171","-98.009567","403.6","MITCHELL 7.3 S, SD US","5",",N","0",",N","0",",N","","","","","20220910",",,N","","","1.8",",,N,10,","6.2",",,,N","",""
"US1SDDV0028","2022-10","43.629171","-98.009567","403.6","MITCHELL 7.3 S, SD US","4","2,N","1","2,N","0","2,N","","","","","20221027",",2,N","","","3.0","2,,N,27,","6.5","2,,,N","",""
"US1SDDV0028","2022-11","43.629171","-98.009567","403.6","MITCHELL 7.3 S, SD US","3","2,N","1","2,N","0","2,N","","","","","20221109",",2,N","","","3.8","2,,N,09,","5.6","2,,,N","",""
"US1SDDV0028","2023-05","43.629171","-98.009567","403.6","MITCHELL 7.3 S, SD US","5",",N","4",",N","0",",N","","","","","20230514",",,N","","","23.1",",,N,14,","46.7",",,,N","",""
"US1SDDV0028","2023-06","43.629171","-98.009567","403.6","MITCHELL 7.3 S, SD US","8","3,N","5","3,N","1","3,N","","","","","20230624",",3,N","","","30.0","3,,N,24,","86.2","3,,,N","",""
"US1SDDV0028","2023-07","43.629171","-98.009567","403.6","MITCHELL 7.3 S, SD US","14","2,N","8","2,N","2","2,N","","","","","20230726",",2,N","","","39.4","2,,N,26,","156.5","2,,,N","",""
"US1SDDV0028","2023-08","43.629171","-98.009567","403.6","MITCHELL 7.3 S, SD US","7","1,N","3","1,N","0","1,N","","","","","20230806",",1,N","","","16.8","1,,N,06,","45.4","1,,,N","",""
"US1SDDV0028","2023-09","43.629171","-98.009567","403.6","MITCHELL 7.3 S, SD US","11",",N","6",",N","0",",N","","","","","20230924",",,N","","","11.2",",,N,24,","45.3",",,,N","",""
"US1SDDV0028","2023-10","43.629171","-98.009567","403.6","MITCHELL 7.3 S, SD US","8","1,N","6","1,N","1","1,N","","","","","20231013",",1,N","","","38.1","1,,N,13,","74.3","1,,,N","",""
"US1SDDV0028","2023-11","43.629171","-98.009567","403.6","MITCHELL 7.3 S, SD US","2","1,N","1","1,N","0","1,N","0","5,N","20231130","+,5,N","20231120",",1,N","0","5,,N,30,+","5.6","1,,N,20,","6.1","1,,,N","0","5,,,N"
"US1SDDV0028","2023-12","43.629171","-98.009567","403.6","MITCHELL 7.3 S, SD US","4","3,N","2","3,N","0","3,N","","","","","20231224",",3,N","","","12.7","3,,N,24,","23.6","3,,,N","",""
"US1SDDV0028","2024-02","43.629171","-98.009567","403.6","MITCHELL 7.3 S, SD US","2","1,N","1","1,N","0","1,N","0","4,N","20240229","+,4,N","20240209",",1,N","0","4,,N,29,+","3.0","1,,N,09,","5.0","1,,,N","0","4,,,N"
"US1SDDV0028","2024-04","43.629171","-98.009567","403.6","MITCHELL 7.3 S, SD US","12","1,N","10","1,N","1","1,N","","","","","20240417",",1,N","","","29.5","1,,N,17,","125.9","1,,,N","",""
"US1SDDV0028","2024-05","43.629171","-98.009567","403.6","MITCHELL 7.3 S, SD US","14",",N","8",",N","0",",N","","","","","20240522",",,N","","","19.1",",,N,22,","70.5",",,,N","",""
"US1SDDV0028","2024-06","43.629171","-98.009567","403.6","MITCHELL 7.3 S, SD US","15",",N","11",",N","3",",N","","","","","20240621",",,N","","","104.4",",,N,21,","240.8",",,,N","",""
