"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1SDTR0003","2007-08","43.428167","-97.2533","440.1","MARION 0.5 NE, SD US","19",",N","7",",N","1",",N","","","0",",N","","","20070831","+,,N","20070804",",,N","","","0",",,N,31,+","57.2",",,N,04,","152.7",",,,N","0",",,,N"
"US1SDTR0003","2007-09","43.428167","-97.2533","440.1","MARION 0.5 NE, SD US","13",",N","5",",N","0",",N","","","0",",N","","","20070930","+,,N","20070910",",,N","","","0",",,N,30,+","15.5",",,N,10,","39.5",",,,N","0",",,,N"
"US1SDTR0003","2007-10","43.428167","-97.2533","440.1","MARION 0.5 NE, SD US","11",",N","9",",N","3",",N","","","0",",N","","","20071031","+,,N","20071005",",,N","","","0",",,N,31,+","59.9",",,N,05,","198.2",",,,N","0",",,,N"
"US1SDTR0003","2007-11","43.428167","-97.2533","440.1","MARION 0.5 NE, SD US","1",",N","0",",N","0",",N","","","0",",N","","","20071130",",,N","20071130",",,N","","","0",",T,N,30,","0.3",",,N,30,","0.3",",,,N","0",",T,,N"
"US1SDTR0003","2007-12","43.428167","-97.2533","440.1","MARION 0.5 NE, SD US","6",",N","4",",N","0",",N","31",",N","3",",N","20071227","+,,N","20071226",",,N","20071202",",,N","178",",,N,27,+","122",",,N,26,","10.7",",,N,02,","22.7",",,,N","217",",,,N"
"US1SDTR0003","2008-01","43.428167","-97.2533","440.1","MARION 0.5 NE, SD US","5",",N","1",",N","0",",N","31",",N","3",",N","20080128","+,,N","20080122",",,N","20080122",",,N","178",",,N,28,+","51",",,N,22,","3.0",",,N,22,","7.8",",,,N","150",",,,N"
"US1SDTR0003","2008-02","43.428167","-97.2533","440.1","MARION 0.5 NE, SD US","5",",N","1",",N","0",",N","29",",N","2",",N","20080216","+,,N","20080212",",,N","20080212",",,N","292",",,N,16,+","89",",,N,12,","2.8",",,N,12,","7.5",",,,N","166",",,,N"
"US1SDTR0003","2008-03","43.428167","-97.2533","440.1","MARION 0.5 NE, SD US","9",",N","3",",N","0",",N","","","4",",N","","","20080317",",,N","20080317",",,N","","","140",",,N,17,","7.9",",,N,17,","23.2",",,,N","261",",,,N"
"US1SDTR0003","2008-04","43.428167","-97.2533","440.1","MARION 0.5 NE, SD US","6",",N","4",",N","2",",N","","","3",",N","","","20080426",",,N","20080425",",,N","","","114",",,N,26,","42.7",",,N,25,","94.3",",,,N","292",",,,N"
"US1SDTR0003","2008-05","43.428167","-97.2533","440.1","MARION 0.5 NE, SD US","17",",N","10",",N","0",",N","","","0",",N","","","20080531","+,,N","20080530",",,N","","","0",",,N,31,+","14.0",",,N,30,","89.0",",,,N","0",",,,N"
"US1SDTR0003","2008-06","43.428167","-97.2533","440.1","MARION 0.5 NE, SD US","15",",N","8",",N","1",",N","","","0",",N","","","20080630","+,,N","20080603",",,N","","","0",",,N,30,+","71.6",",,N,03,","137.1",",,,N","0",",,,N"
"US1SDTR0003","2008-07","43.428167","-97.2533","440.1","MARION 0.5 NE, SD US","9",",N","4",",N","0",",N","","","0",",N","","","20080731","+,,N","20080719",",,N","","","0",",,N,31,+","15.0",",,N,19,","43.7",",,,N","0",",,,N"
"US1SDTR0003","2008-08","43.428167","-97.2533","440.1","MARION 0.5 NE, SD US","5",",N","2",",N","0",",N","","","0",",N","","","20080831","+,,N","20080812",",,N","","","0",",,N,31,+","18.5",",,N,12,","30.0",",,,N","0",",,,N"
"US1SDTR0003","2008-09","43.428167","-97.2533","440.1","MARION 0.5 NE, SD US","12",",N","8",",N","0",",N","","","0",",N","","","20080930","+,,N","20080925",",,N","","","0",",,N,30,+","21.8",",,N,25,","56.7",",,,N","0",",,,N"
"US1SDTR0003","2008-10","43.428167","-97.2533","440.1","MARION 0.5 NE, SD US","12",",N","8",",N","2",",N","","","0",",N","","","20081031","+,,N","20081007",",,N","","","0",",,N,31,+","89.2",",,N,07,","178.8",",,,N","0",",,,N"
"US1SDTR0003","2008-11","43.428167","-97.2533","440.1","MARION 0.5 NE, SD US","6","1,N","4","1,N","0","1,N","","","2","1,N","","","20081122",",1,N","20081114",",1,N","","","51","1,,N,22,","16.5","1,,N,14,","31.8","1,,,N","108","1,,,N"
"US1SDTR0003","2008-12","43.428167","-97.2533","440.1","MARION 0.5 NE, SD US","9","1,N","2","1,N","0","1,N","26","2,N","5","1,N","20081223",",2,N","20081209",",1,N","20081219","+,1,N","114","2,,N,23,","66","1,,N,09,","6.6","1,,N,19,+","21.1","1,,,N","275","1,,,N"
"US1SDTR0003","2009-01","43.428167","-97.2533","440.1","MARION 0.5 NE, SD US","5",",N","0",",N","0",",N","","","3",",N","","","20090114",",,N","20090114","+,,N","","","56",",,N,14,","2.3",",,N,14,+","7.6",",,,N","145",",,,N"
"US1SDTR0003","2009-02","43.428167","-97.2533","440.1","MARION 0.5 NE, SD US","4",",N","4",",N","0",",N","","","1","2,N","","","20090228",",2,N","20090228","+,,N","","","64","2,,N,28,","6.4",",,N,28,+","20.9",",,,N","84","2,,,N"
"US1SDTR0003","2009-03","43.428167","-97.2533","440.1","MARION 0.5 NE, SD US","7",",N","4",",N","0",",N","","","","","","","","","20090324",",,N","","","","","7.9",",,N,24,","21.2",",,,N","",""
"US1SDTR0003","2009-04","43.428167","-97.2533","440.1","MARION 0.5 NE, SD US","6",",N","6",",N","0",",N","","","","","","","","","20090405",",,N","","","","","15.5",",,N,05,","35.7",",,,N","",""
"US1SDTR0003","2009-05","43.428167","-97.2533","440.1","MARION 0.5 NE, SD US","13",",N","5",",N","0",",N","","","","","","","","","20090526",",,N","","","","","19.6",",,N,26,","63.7",",,,N","",""
"US1SDTR0003","2009-06","43.428167","-97.2533","440.1","MARION 0.5 NE, SD US","21",",N","11",",N","1",",N","","","","","","","","","20090625",",,N","","","","","32.5",",,N,25,","142.3",",,,N","",""
"US1SDTR0003","2009-07","43.428167","-97.2533","440.1","MARION 0.5 NE, SD US","11",",N","8",",N","2",",N","","","","","","","","","20090704",",,N","","","","","45.5",",,N,04,","129.0",",,,N","",""
"US1SDTR0003","2009-08","43.428167","-97.2533","440.1","MARION 0.5 NE, SD US","14",",N","8",",N","0",",N","","","","","","","","","20090819",",,N","","","","","16.0",",,N,19,","63.6",",,,N","",""
"US1SDTR0003","2009-09","43.428167","-97.2533","440.1","MARION 0.5 NE, SD US","9",",N","2",",N","1",",N","","","","","","","","","20090903",",,N","","","","","36.3",",,N,03,","45.4",",,,N","",""
"US1SDTR0003","2009-10","43.428167","-97.2533","440.1","MARION 0.5 NE, SD US","16",",N","13",",N","1",",N","","","","","","","","","20091006",",,N","","","","","27.2",",,N,06,","137.2",",,,N","",""
"US1SDTR0003","2009-11","43.428167","-97.2533","440.1","MARION 0.5 NE, SD US","1",",N","0",",N","0",",N","","","0","2,N","","","20091130","+,2,N","20091123",",,N","","","0","2,,N,30,+","0.8",",,N,23,","0.8",",,,N","0","2,,,N"
"US1SDTR0003","2009-12","43.428167","-97.2533","440.1","MARION 0.5 NE, SD US","9",",N","4",",N","0",",N","25","4,N","4",",N","20091226",",4,N","20091226",",,N","20091225",",,N","737","4,,N,26,","404",",,N,26,","11.2",",,N,25,","39.3",",,,N","796",",,,N"
"US1SDTR0003","2010-01","43.428167","-97.2533","440.1","MARION 0.5 NE, SD US","8",",N","4",",N","0",",N","31",",N","2","2,N","20100108","+,,N","20100107",",2,N","20100123",",,N","615",",,N,08,+","107","2,,N,07,","5.8",",,N,23,","20.9",",,,N","155","2,,,N"
"US1SDTR0003","2010-02","43.428167","-97.2533","440.1","MARION 0.5 NE, SD US","7",",N","2",",N","0",",N","28",",N","4","1,N","20100217","+,,N","20100214","+,1,N","20100205",",,N","508",",,N,17,+","51","1,,N,14,+","4.6",",,N,05,","14.0",",,,N","209","1,,,N"
"US1SDTR0003","2010-03","43.428167","-97.2533","440.1","MARION 0.5 NE, SD US","7",",N","4",",N","0",",N","","","","","","","","","20100312",",,N","","","","","12.7",",,N,12,","34.8",",,,N","",""
"US1SDTR0003","2010-04","43.428167","-97.2533","440.1","MARION 0.5 NE, SD US","9",",N","5",",N","0",",N","","","","","","","","","20100424",",,N","","","","","23.9",",,N,24,","58.7",",,,N","",""
"US1SDTR0003","2010-05","43.428167","-97.2533","440.1","MARION 0.5 NE, SD US","11","1,N","5","1,N","0","1,N","","","","","","","","","20100511",",1,N","","","","","20.3","1,,N,11,","51.9","1,,,N","",""
"US1SDTR0003","2010-06","43.428167","-97.2533","440.1","MARION 0.5 NE, SD US","17","1,N","11","1,N","1","1,N","","","","","","","","","20100611",",1,N","","","","","92.2","1,,N,11,","206.8","1,,,N","",""
