"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1TNHL0060","2022-02","35.023895","-85.057719","305.7","OOLTEWAH 3.3 SE, TN US","9",",N","7",",N","4",",N","0",",N","0",",N","20220228","+,,N","20220228","+,,N","20220223",",,N","0",",,N,28,+","0",",,N,28,+","70.6",",,N,23,","233.8",",,,N","0",",,,N"
"US1TNHL0060","2022-04","35.023895","-85.057719","305.7","OOLTEWAH 3.3 SE, TN US","7","1,N","5","1,N","1","1,N","0","1,N","0","1,N","20220430","+,1,N","20220430","+,1,N","20220414",",1,N","0","1,,N,30,+","0","1,,N,30,+","25.9","1,,N,14,","64.0","1,,,N","0","1,,,N"
"US1TNHL0060","2022-05","35.023895","-85.057719","305.7","OOLTEWAH 3.3 SE, TN US","9","3,N","6","3,N","2","3,N","","","0","3,N","","","20220531","+,3,N","20220523",",3,N","","","0","3,,N,31,+","35.1","3,,N,23,","105.6",",a,,N","0","3,,,N"
"US1TNHL0060","2022-06","35.023895","-85.057719","305.7","OOLTEWAH 3.3 SE, TN US","8",",N","8",",N","1",",N","0","1,N","0",",N","20220630","+,1,N","20220630","+,,N","20220607",",,N","0","1,,N,30,+","0",",,N,30,+","36.8",",,N,07,","113.7",",,,N","0",",,,N"
"US1TNHL0060","2022-08","35.023895","-85.057719","305.7","OOLTEWAH 3.3 SE, TN US","11","1,N","7","1,N","1","1,N","","","0","1,N","","","20220831","+,1,N","20220821",",1,N","","","0","1,,N,31,+","28.2","1,,N,21,","124.1","1,,,N","0","1,,,N"
"US1TNHL0060","2022-09","35.023895","-85.057719","305.7","OOLTEWAH 3.3 SE, TN US","12",",N","8",",N","1",",N","0",",N","0",",N","20220930","+,,N","20220930","+,,N","20220904",",,N","0",",,N,30,+","0",",,N,30,+","30.7",",,N,04,","117.9",",,,N","0",",,,N"
"US1TNHL0060","2022-10","35.023895","-85.057719","305.7","OOLTEWAH 3.3 SE, TN US","4",",N","4",",N","0",",N","0","4,N","0",",N","20221031","+,4,N","20221031","+,,N","20221026",",,N","0","4,,N,31,+","0",",,N,31,+","19.6",",,N,26,","39.4",",,,N","0",",,,N"
"US1TNHL0060","2022-11","35.023895","-85.057719","305.7","OOLTEWAH 3.3 SE, TN US","10","1,N","8","1,N","1","1,N","0","4,N","0","2,N","20221130","+,4,N","20221130","+,2,N","20221130",",1,N","0","4,,N,30,+","0","2,,N,30,+","80.5","1,,N,30,","166.6","1,,,N","0","2,,,N"
"US1TNHL0060","2022-12","35.023895","-85.057719","305.7","OOLTEWAH 3.3 SE, TN US","12","5,N","7","5,N","2","5,N","","","","","","","","","20221206",",5,N","","","","","61.0","5,,N,06,","146.1","1,a,,N","",""
"US1TNHL0060","2023-01","35.023895","-85.057719","305.7","OOLTEWAH 3.3 SE, TN US","13",",N","12",",N","1",",N","0",",N","0","1,N","20230131","+,,N","20230131","+,1,N","20230104",",,N","0",",,N,31,+","0","1,,N,31,+","45.5",",,N,04,","154.3",",,,N","0","1,,,N"
"US1TNHL0060","2023-02","35.023895","-85.057719","305.7","OOLTEWAH 3.3 SE, TN US","11",",N","9",",N","1",",N","0","2,N","0","1,N","20230228","+,2,N","20230228","+,1,N","20230217",",,N","0","2,,N,28,+","0","1,,N,28,+","63.2",",,N,17,","142.0",",,,N","0","1,,,N"
"US1TNHL0060","2023-04","35.023895","-85.057719","305.7","OOLTEWAH 3.3 SE, TN US","11","4,N","9","4,N","0","4,N","","","0","4,N","","","20230430","+,4,N","20230428",",4,N","","","0","4,,N,30,+","20.3","4,,N,28,","124.3","2,a,,N","0","4,,,N"
