"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1TNWL0099","2022-07","35.7771","-86.8959","243.5","THOMPSON S STATION 1.5 SSE, TN US","14",",N","10",",N","2",",N","","","","","20220729",",,N","","","41.4",",,N,29,","131.0",",,,N","",""
"US1TNWL0099","2022-08","35.7771","-86.8959","243.5","THOMPSON S STATION 1.5 SSE, TN US","16",",N","6",",N","2",",N","","","","","20220821",",,N","","","52.3",",,N,21,","106.2",",,,N","",""
"US1TNWL0099","2022-09","35.7771","-86.8959","243.5","THOMPSON S STATION 1.5 SSE, TN US","6","5,N","4","5,N","0","5,N","","","","","20220911",",5,N","","","11.4","5,,N,11,","33.2","5,,,N","",""
"US1TNWL0099","2022-10","35.7771","-86.8959","243.5","THOMPSON S STATION 1.5 SSE, TN US","8",",N","5",",N","1",",N","","","","","20221013",",,N","","","28.2",",,N,13,","55.7",",,,N","",""
"US1TNWL0099","2022-11","35.7771","-86.8959","243.5","THOMPSON S STATION 1.5 SSE, TN US","10","5,N","4","5,N","1","5,N","","","","","20221130",",5,N","","","68.8","5,,N,30,","126.1",",a,,N","",""
"US1TNWL0099","2023-01","35.7771","-86.8959","243.5","THOMPSON S STATION 1.5 SSE, TN US","17","2,N","10","2,N","2","2,N","","","","","20230104",",2,N","","","27.7","2,,N,04,","145.1",",a,,N","",""
"US1TNWL0099","2023-02","35.7771","-86.8959","243.5","THOMPSON S STATION 1.5 SSE, TN US","13","4,N","7","4,N","1","4,N","","","","","20230217",",4,N","","","52.8","4,,N,17,","106.0","4,,,N","",""
"US1TNWL0099","2023-03","35.7771","-86.8959","243.5","THOMPSON S STATION 1.5 SSE, TN US","11","5,N","8","5,N","0","5,N","","","","","20230302",",5,N","","","22.4","5,,N,02,","128.7","3,a,,N","",""
"US1TNWL0099","2023-04","35.7771","-86.8959","243.5","THOMPSON S STATION 1.5 SSE, TN US","11","1,N","8","1,N","2","1,N","","","","","20230428",",1,N","","","46.0","1,,N,28,","142.8","1,,,N","",""
"US1TNWL0099","2023-05","35.7771","-86.8959","243.5","THOMPSON S STATION 1.5 SSE, TN US","10","3,N","6","3,N","1","3,N","","","","","20230520",",3,N","","","30.5","3,,N,20,","86.8","3,,,N","",""
"US1TNWL0099","2023-06","35.7771","-86.8959","243.5","THOMPSON S STATION 1.5 SSE, TN US","10","3,N","5","3,N","0","3,N","","","","","20230612",",3,N","","","19.3","3,,N,12,","59.4",",a,,N","",""
"US1TNWL0099","2023-07","35.7771","-86.8959","243.5","THOMPSON S STATION 1.5 SSE, TN US","8","3,N","5","3,N","2","3,N","","","","","20230709",",3,N","","","39.6","3,,N,09,","212.2","1,a,,N","",""
"US1TNWL0099","2023-08","35.7771","-86.8959","243.5","THOMPSON S STATION 1.5 SSE, TN US","13",",N","8",",N","2",",N","","","","","20230810",",,N","","","42.4",",,N,10,","147.8",",,,N","",""
"US1TNWL0099","2023-09","35.7771","-86.8959","243.5","THOMPSON S STATION 1.5 SSE, TN US","5",",N","4",",N","1",",N","0","5,N","20230930","+,5,N","20230916",",,N","0","5,,N,30,+","34.5",",,N,16,","56.6",",,,N","0","5,,,N"
"US1TNWL0099","2023-10","35.7771","-86.8959","243.5","THOMPSON S STATION 1.5 SSE, TN US","5","2,N","3","2,N","0","2,N","","","","","20231006",",2,N","","","13.0","2,,N,06,","22.7",",a,,N","",""
"US1TNWL0099","2023-11","35.7771","-86.8959","243.5","THOMPSON S STATION 1.5 SSE, TN US","3","2,N","1","2,N","1","2,N","0","5,N","20231130","+,5,N","20231110",",2,N","0","5,,N,30,+","34.5","2,,N,10,","75.1",",a,,N","0","5,,,N"
"US1TNWL0099","2023-12","35.7771","-86.8959","243.5","THOMPSON S STATION 1.5 SSE, TN US","10","4,N","5","4,N","0","4,N","","","","","20231201",",4,N","","","19.6","4,,N,01,","80.6",",a,,N","",""
"US1TNWL0099","2024-01","35.7771","-86.8959","243.5","THOMPSON S STATION 1.5 SSE, TN US","13","4,N","11","4,N","2","4,N","","","","","20240109",",4,N","","","30.2","4,,N,09,","141.6","4,,,N","",""
"US1TNWL0099","2024-02","35.7771","-86.8959","243.5","THOMPSON S STATION 1.5 SSE, TN US","7","2,N","6","2,N","0","2,N","","","","","20240213",",2,N","","","24.1","2,,N,13,","123.0",",a,,N","",""
"US1TNWL0099","2024-03","35.7771","-86.8959","243.5","THOMPSON S STATION 1.5 SSE, TN US","14",",N","9",",N","3",",N","","","","","20240315",",,N","","","46.0",",,N,15,","150.5",",,,N","",""
"US1TNWL0099","2024-04","35.7771","-86.8959","243.5","THOMPSON S STATION 1.5 SSE, TN US","13",",N","8",",N","1",",N","","","","","20240430",",,N","","","50.8",",,N,30,","119.5",",,,N","",""
"US1TNWL0099","2024-05","35.7771","-86.8959","243.5","THOMPSON S STATION 1.5 SSE, TN US","17",",N","14",",N","3",",N","","","","","20240505",",,N","","","57.7",",,N,05,","231.1",",,,N","",""
"US1TNWL0099","2024-06","35.7771","-86.8959","243.5","THOMPSON S STATION 1.5 SSE, TN US","7","1,N","5","1,N","0","1,N","","","","","20240627",",1,N","","","22.4","1,,N,27,","60.5","1,,,N","",""
