"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1TXAS0026","2022-08","29.875864","-96.260142","68.6","SEALY 9.6 NW, TX US","12",",N","8",",N","0",",N","","","","","20220813",",,N","","","24.1",",,N,13,","92.7",",,,N","",""
"US1TXAS0026","2022-09","29.875864","-96.260142","68.6","SEALY 9.6 NW, TX US","2",",N","2",",N","1",",N","0","2,N","20220930","+,2,N","20220904",",,N","0","2,,N,30,+","84.8",",,N,04,","89.6",",,,N","0","2,,,N"
"US1TXAS0026","2022-10","29.875864","-96.260142","68.6","SEALY 9.6 NW, TX US","4",",N","3",",N","1",",N","0","4,N","20221031","+,4,N","20221029",",,N","0","4,,N,31,+","33.5",",,N,29,","50.2",",,,N","0","4,,,N"
"US1TXAS0026","2022-11","29.875864","-96.260142","68.6","SEALY 9.6 NW, TX US","13",",N","10",",N","1",",N","","","","","20221126",",,N","","","37.1",",,N,26,","104.5",",,,N","",""
"US1TXAS0026","2022-12","29.875864","-96.260142","68.6","SEALY 9.6 NW, TX US","8",",N","4",",N","1",",N","","","","","20221211",",,N","","","76.5",",,N,11,","105.1",",,,N","",""
"US1TXAS0026","2023-01","29.875864","-96.260142","68.6","SEALY 9.6 NW, TX US","10",",N","5",",N","2",",N","","","","","20230125",",,N","","","87.4",",,N,25,","150.7",",,,N","",""
"US1TXAS0026","2023-02","29.875864","-96.260142","68.6","SEALY 9.6 NW, TX US","8",",N","3",",N","0",",N","","","","","20230202",",,N","","","14.7",",,N,02,","29.0",",,,N","",""
"US1TXAS0026","2023-03","29.875864","-96.260142","68.6","SEALY 9.6 NW, TX US","12",",N","3",",N","0",",N","","","","","20230317",",,N","","","25.1",",,N,17,","39.7",",,,N","",""
"US1TXAS0026","2023-04","29.875864","-96.260142","68.6","SEALY 9.6 NW, TX US","10",",N","10",",N","4",",N","","","","","20230421",",,N","","","54.1",",,N,21,","186.7",",,,N","",""
"US1TXAS0026","2023-05","29.875864","-96.260142","68.6","SEALY 9.6 NW, TX US","10",",N","6",",N","3",",N","","","","","20230514",",,N","","","83.6",",,N,14,","182.2",",,,N","",""
"US1TXAS0026","2023-06","29.875864","-96.260142","68.6","SEALY 9.6 NW, TX US","4",",N","2",",N","0",",N","0","5,N","20230630","+,5,N","20230604",",,N","0","5,,N,30,+","16.8",",,N,04,","22.5",",,,N","0","5,,,N"
"US1TXAS0026","2023-07","29.875864","-96.260142","68.6","SEALY 9.6 NW, TX US","6",",N","1",",N","0",",N","","","","","20230707",",,N","","","8.4",",,N,07,","14.5",",,,N","",""
"US1TXAS0026","2023-08","29.875864","-96.260142","68.6","SEALY 9.6 NW, TX US","1",",N","0",",N","0",",N","0","2,N","20230831","+,2,N","20230825",",,N","0","2,,N,31,+","1.5",",,N,25,","1.5",",,,N","0","2,,,N"
"US1TXAS0026","2023-09","29.875864","-96.260142","68.6","SEALY 9.6 NW, TX US","4",",N","3",",N","0",",N","0","4,N","20230930","+,4,N","20230915",",,N","0","4,,N,30,+","23.6",",,N,15,","59.9",",,,N","0","4,,,N"
"US1TXAS0026","2023-10","29.875864","-96.260142","68.6","SEALY 9.6 NW, TX US","8",",N","7",",N","1",",N","","","","","20231005",",,N","","","38.1",",,N,05,","108.5",",,,N","",""
"US1TXAS0026","2023-11","29.875864","-96.260142","68.6","SEALY 9.6 NW, TX US","10",",N","2",",N","2",",N","","","","","20231110",",,N","","","32.5",",,N,10,","65.4",",,,N","",""
"US1TXAS0026","2023-12","29.875864","-96.260142","68.6","SEALY 9.6 NW, TX US","8",",N","4",",N","0",",N","","","","","20231225",",,N","","","15.0",",,N,25,","45.3",",,,N","",""
"US1TXAS0026","2024-01","29.875864","-96.260142","68.6","SEALY 9.6 NW, TX US","11",",N","8",",N","4",",N","","","","","20240125",",,N","","","60.2",",,N,25,","242.2",",,,N","",""
"US1TXAS0026","2024-02","29.875864","-96.260142","68.6","SEALY 9.6 NW, TX US","8",",N","2",",N","1",",N","","","","","20240203",",,N","","","38.4",",,N,03,","51.4",",,,N","",""
"US1TXAS0026","2024-03","29.875864","-96.260142","68.6","SEALY 9.6 NW, TX US","10",",N","5",",N","2",",N","","","","","20240322",",,N","","","69.1",",,N,22,","127.6",",,,N","",""
"US1TXAS0026","2024-04","29.875864","-96.260142","68.6","SEALY 9.6 NW, TX US","5",",N","4",",N","1",",N","","","","","20240421",",,N","","","27.2",",,N,21,","45.7",",,,N","",""
"US1TXAS0026","2024-05","29.875864","-96.260142","68.6","SEALY 9.6 NW, TX US","14",",N","9",",N","1",",N","","","","","20240517",",,N","","","30.2",",,N,17,","114.4",",,,N","",""
"US1TXAS0026","2024-06","29.875864","-96.260142","68.6","SEALY 9.6 NW, TX US","8",",N","6",",N","2",",N","","","","","20240620",",,N","","","83.3",",,N,20,","144.1",",,,N","",""
