"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1TXBEL043","2015-07","31.0947","-97.5319","195.1","BELTON 4.4 WNW, TX US","0","3,N","0","3,N","0","3,N","0","3,N","20150731","+,3,N","20150731","+,3,N","0","3,,N,31,+","0.0","3,,N,31,+","0.0","3,,,N","0","3,,,N"
"US1TXBEL043","2015-08","31.0947","-97.5319","195.1","BELTON 4.4 WNW, TX US","3",",N","1",",N","1",",N","0","2,N","20150831","+,2,N","20150826",",,N","0","2,,N,31,+","46.7",",,N,26,","49.3",",,,N","0","2,,,N"
"US1TXBEL043","2015-09","31.0947","-97.5319","195.1","BELTON 4.4 WNW, TX US","3",",N","1",",N","1",",N","0",",N","20150930","+,,N","20150911",",,N","0",",,N,30,+","55.4",",,N,11,","56.0",",,,N","0",",,,N"
"US1TXBEL043","2015-10","31.0947","-97.5319","195.1","BELTON 4.4 WNW, TX US","6",",N","6",",N","3",",N","0","1,N","20151031","+,1,N","20151024",",,N","0","1,,N,31,+","170.4",",,N,24,","368.5",",,,N","0","1,,,N"
"US1TXBEL043","2015-11","31.0947","-97.5319","195.1","BELTON 4.4 WNW, TX US","14",",N","11",",N","3",",N","0","1,N","20151130","+,1,N","20151106",",,N","0","1,,N,30,+","41.7",",,N,06,","186.9",",,,N","0","1,,,N"
"US1TXBEL043","2015-12","31.0947","-97.5319","195.1","BELTON 4.4 WNW, TX US","4",",N","3",",N","2",",N","0",",N","20151231","+,,N","20151213",",,N","0",",,N,31,+","37.3",",,N,13,","83.8",",,,N","0",",,,N"
"US1TXBEL043","2016-01","31.0947","-97.5319","195.1","BELTON 4.4 WNW, TX US","1",",N","1",",N","0",",N","0",",N","20160131","+,,N","20160107",",,N","0",",,N,31,+","11.2",",,N,07,","11.2",",,,N","0",",,,N"
"US1TXBEL043","2016-02","31.0947","-97.5319","195.1","BELTON 4.4 WNW, TX US","2",",N","2",",N","1",",N","0",",N","20160229","+,,N","20160223",",,N","0",",,N,29,+","35.1",",,N,23,","51.9",",,,N","0",",,,N"
"US1TXBEL043","2016-03","31.0947","-97.5319","195.1","BELTON 4.4 WNW, TX US","9",",N","5",",N","2",",N","0","1,N","20160331","+,1,N","20160309",",,N","0","1,,N,31,+","50.5",",,N,09,","113.7",",,,N","0","1,,,N"
"US1TXBEL043","2016-04","31.0947","-97.5319","195.1","BELTON 4.4 WNW, TX US","14",",N","10",",N","3",",N","0","2,N","20160430","+,2,N","20160427",",,N","0","2,,N,30,+","41.9",",,N,27,","176.5",",,,N","0","2,,,N"
"US1TXBEL043","2016-05","31.0947","-97.5319","195.1","BELTON 4.4 WNW, TX US","15",",N","6",",N","2",",N","0","2,N","20160531","+,2,N","20160520",",,N","0","2,,N,31,+","75.4",",,N,20,","161.6",",,,N","0","2,,,N"
"US1TXBEL043","2016-06","31.0947","-97.5319","195.1","BELTON 4.4 WNW, TX US","5",",N","3",",N","1",",N","0","3,N","20160630","+,3,N","20160603",",,N","0","3,,N,30,+","62.5",",,N,03,","71.0",",,,N","0","3,,,N"
"US1TXBEL043","2016-07","31.0947","-97.5319","195.1","BELTON 4.4 WNW, TX US","2",",N","2",",N","0",",N","0",",N","20160731","+,,N","20160710",",,N","0",",,N,31,+","12.2",",,N,10,","14.7",",,,N","0",",,,N"
"US1TXBEL043","2016-08","31.0947","-97.5319","195.1","BELTON 4.4 WNW, TX US","14",",N","11",",N","4",",N","0","2,N","20160831","+,2,N","20160817",",,N","0","2,,N,31,+","95.0",",,N,17,","282.6",",,,N","0","2,,,N"
"US1TXBEL043","2016-09","31.0947","-97.5319","195.1","BELTON 4.4 WNW, TX US","4",",N","2",",N","0",",N","0","4,N","20160930","+,4,N","20160911",",,N","0","4,,N,30,+","14.0",",,N,11,","19.4",",,,N","0","4,,,N"
"US1TXBEL043","2016-10","31.0947","-97.5319","195.1","BELTON 4.4 WNW, TX US","1",",N","1",",N","0",",N","","","","","20161015",",,N","","","10.2",",,N,15,","10.2",",,,N","",""
"US1TXBEL043","2016-11","31.0947","-97.5319","195.1","BELTON 4.4 WNW, TX US","12",",N","5",",N","2",",N","0","2,N","20161130","+,2,N","20161107",",,N","0","2,,N,30,+","29.2",",,N,07,","85.1",",,,N","0","2,,,N"
"US1TXBEL043","2016-12","31.0947","-97.5319","195.1","BELTON 4.4 WNW, TX US","6",",N","4",",N","0",",N","0","3,N","20161231","+,3,N","20161203",",,N","0","3,,N,31,+","18.0",",,N,03,","52.6",",,,N","0","3,,,N"
"US1TXBEL043","2017-01","31.0947","-97.5319","195.1","BELTON 4.4 WNW, TX US","6",",N","4",",N","1",",N","0","2,N","20170131","+,2,N","20170118",",,N","0","2,,N,31,+","44.7",",,N,18,","85.2",",,,N","0","2,,,N"
"US1TXBEL043","2017-02","31.0947","-97.5319","195.1","BELTON 4.4 WNW, TX US","3",",N","3",",N","2",",N","0","5,N","20170228","+,5,N","20170214",",,N","0","5,,N,28,+","32.8",",,N,14,","64.3",",,,N","0","5,,,N"
"US1TXBEL043","2017-03","31.0947","-97.5319","195.1","BELTON 4.4 WNW, TX US","10",",N","6",",N","0",",N","0",",N","20170331","+,,N","20170312",",,N","0",",,N,31,+","24.1",",,N,12,","81.3",",,,N","0",",,,N"
"US1TXBEL043","2017-04","31.0947","-97.5319","195.1","BELTON 4.4 WNW, TX US","6",",N","4",",N","2",",N","0","4,N","20170430","+,4,N","20170411",",,N","0","4,,N,30,+","170.2",",,N,11,","264.5",",,,N","0","4,,,N"
"US1TXBEL043","2017-05","31.0947","-97.5319","195.1","BELTON 4.4 WNW, TX US","8",",N","6",",N","0",",N","","","","","20170529",",,N","","","22.9",",,N,29,","69.9",",,,N","",""
"US1TXBEL043","2017-06","31.0947","-97.5319","195.1","BELTON 4.4 WNW, TX US","8",",N","5",",N","0",",N","","","","","20170626",",,N","","","20.3",",,N,26,","45.5",",,,N","",""
"US1TXBEL043","2017-07","31.0947","-97.5319","195.1","BELTON 4.4 WNW, TX US","5",",N","3",",N","0",",N","","","","","20170710",",,N","","","5.8",",,N,10,","15.5",",,,N","",""
"US1TXBEL043","2017-08","31.0947","-97.5319","195.1","BELTON 4.4 WNW, TX US","11",",N","7",",N","2",",N","","","","","20170807",",,N","","","36.8",",,N,07,","107.2",",,,N","",""
"US1TXBEL043","2017-09","31.0947","-97.5319","195.1","BELTON 4.4 WNW, TX US","5",",N","3",",N","0",",N","","","","","20170906",",,N","","","19.1",",,N,06,","36.3",",,,N","",""
"US1TXBEL043","2017-10","31.0947","-97.5319","195.1","BELTON 4.4 WNW, TX US","2",",N","2",",N","1",",N","","","","","20171004",",,N","","","45.0",",,N,04,","62.0",",,,N","",""
"US1TXBEL043","2017-11","31.0947","-97.5319","195.1","BELTON 4.4 WNW, TX US","3",",N","2",",N","0",",N","","","","","20171109",",,N","","","16.3",",,N,09,","19.3",",,,N","",""
"US1TXBEL043","2017-12","31.0947","-97.5319","195.1","BELTON 4.4 WNW, TX US","9",",N","4",",N","1",",N","","","","","20171217",",,N","","","25.4",",,N,17,","52.8",",,,N","",""
"US1TXBEL043","2018-01","31.0947","-97.5319","195.1","BELTON 4.4 WNW, TX US","3",",N","0",",N","0",",N","","","","","20180128","+,,N","","","0.3",",,N,28,+","0.9",",,,N","",""
"US1TXBEL043","2018-02","31.0947","-97.5319","195.1","BELTON 4.4 WNW, TX US","12",",N","3",",N","1",",N","","","","","20180221",",,N","","","37.8",",,N,21,","68.5",",,,N","",""
"US1TXBEL043","2018-03","31.0947","-97.5319","195.1","BELTON 4.4 WNW, TX US","6",",N","4",",N","1",",N","","","","","20180328",",,N","","","40.1",",,N,28,","75.4",",,,N","",""
"US1TXBEL043","2018-04","31.0947","-97.5319","195.1","BELTON 4.4 WNW, TX US","5",",N","4",",N","1",",N","0",",N","20180430","+,,N","20180407",",,N","0",",,N,30,+","25.4",",,N,07,","43.2",",,,N","0",",,,N"
