"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1TXCLL058","2020-07","33.014774","-96.735184","203.3","PLANO 2.3 SSE, TX US","4",",N","4",",N","0",",N","0","4,N","20200731","+,4,N","20200706",",,N","0","4,,N,31,+","15.0",",,N,06,","37.0",",,,N","0","4,,,N"
"US1TXCLL058","2020-08","33.014774","-96.735184","203.3","PLANO 2.3 SSE, TX US","3",",N","2",",N","1",",N","0","3,N","20200831","+,3,N","20200830",",,N","0","3,,N,31,+","68.6",",,N,30,","94.3",",,,N","0","3,,,N"
"US1TXCLL058","2020-09","33.014774","-96.735184","203.3","PLANO 2.3 SSE, TX US","6",",N","6",",N","2",",N","","","","","20200910",",,N","","","85.1",",,N,10,","189.3",",,,N","",""
"US1TXCLL058","2020-10","33.014774","-96.735184","203.3","PLANO 2.3 SSE, TX US","4","1,N","4","1,N","1","1,N","0","5,N","20201031","+,5,N","20201023",",1,N","0","5,,N,31,+","40.9","1,,N,23,","56.1","1,,,N","0","5,,,N"
"US1TXCLL058","2020-11","33.014774","-96.735184","203.3","PLANO 2.3 SSE, TX US","3","1,N","2","1,N","1","1,N","0","4,N","20201130","+,4,N","20201125",",1,N","0","4,,N,30,+","27.2","1,,N,25,","39.9","1,,,N","0","4,,,N"
"US1TXCLL058","2020-12","33.014774","-96.735184","203.3","PLANO 2.3 SSE, TX US","5","2,N","4","2,N","0","2,N","","","","","20201214",",2,N","","","21.3","2,,N,14,","37.0","2,,,N","",""
"US1TXCLL058","2021-01","33.014774","-96.735184","203.3","PLANO 2.3 SSE, TX US","6",",N","5",",N","1",",N","","","","","20210101",",,N","","","53.3",",,N,01,","84.4",",,,N","",""
"US1TXCLL058","2021-03","33.014774","-96.735184","203.3","PLANO 2.3 SSE, TX US","5",",N","5",",N","2",",N","0","5,N","20210331","+,5,N","20210323",",,N","0","5,,N,31,+","38.9",",,N,23,","89.7",",,,N","0","5,,,N"
"US1TXCLL058","2021-04","33.014774","-96.735184","203.3","PLANO 2.3 SSE, TX US","7",",N","6",",N","2",",N","","","","","20210429",",,N","","","46.2",",,N,29,","135.8",",,,N","",""
"US1TXCLL058","2021-05","33.014774","-96.735184","203.3","PLANO 2.3 SSE, TX US","16",",N","8",",N","3",",N","","","","","20210517",",,N","","","79.2",",,N,17,","192.7",",,,N","",""
"US1TXCLL058","2021-06","33.014774","-96.735184","203.3","PLANO 2.3 SSE, TX US","8","1,N","8","1,N","4","1,N","","","","","20210606",",1,N","","","101.6","1,,N,06,","250.5","1,,,N","",""
"US1TXCLL058","2021-07","33.014774","-96.735184","203.3","PLANO 2.3 SSE, TX US","6",",N","3",",N","0",",N","","","","","20210702",",,N","","","23.6",",,N,02,","52.6",",,,N","",""
"US1TXCLL058","2021-09","33.014774","-96.735184","203.3","PLANO 2.3 SSE, TX US","1",",N","0",",N","0",",N","0","1,N","20210930","+,1,N","20210906",",,N","0","1,,N,30,+","2.0",",,N,06,","2.0",",,,N","0","1,,,N"
"US1TXCLL058","2021-10","33.014774","-96.735184","203.3","PLANO 2.3 SSE, TX US","5",",N","4",",N","1",",N","0","5,N","20211031","+,5,N","20211014",",,N","0","5,,N,31,+","40.6",",,N,14,","85.6",",,,N","0","5,,,N"
"US1TXCLL058","2021-11","33.014774","-96.735184","203.3","PLANO 2.3 SSE, TX US","5","3,N","4","3,N","2","3,N","","","","","20211111",",3,N","","","32.0","3,,N,11,","77.5","3,,,N","",""
"US1TXCLL058","2021-12","33.014774","-96.735184","203.3","PLANO 2.3 SSE, TX US","5","1,N","4","1,N","0","1,N","0","5,N","20211231","+,5,N","20211218",",1,N","0","5,,N,31,+","6.4","1,,N,18,","16.5","1,,,N","0","5,,,N"
"US1TXCLL058","2022-02","33.014774","-96.735184","203.3","PLANO 2.3 SSE, TX US","4",",N","3",",N","0",",N","0","4,N","20220228","+,4,N","20220217",",,N","0","4,,N,28,+","10.2",",,N,17,","24.2",",,,N","0","4,,,N"
"US1TXCLL058","2022-09","33.014774","-96.735184","203.3","PLANO 2.3 SSE, TX US","1","2,N","1","2,N","0","2,N","0","3,N","20220930","+,3,N","20220902",",2,N","0","3,,N,30,+","7.6","2,,N,02,","7.6","2,,,N","0","3,,,N"
"US1TXCLL058","2022-10","33.014774","-96.735184","203.3","PLANO 2.3 SSE, TX US","4",",N","4",",N","2",",N","0","4,N","20221031","+,4,N","20221025",",,N","0","4,,N,31,+","55.9",",,N,25,","119.8",",,,N","0","4,,,N"
"US1TXCLL058","2023-01","33.014774","-96.735184","203.3","PLANO 2.3 SSE, TX US","4","1,N","1","1,N","1","1,N","0","5,N","20230131","+,5,N","20230125",",1,N","0","5,,N,31,+","30.7","1,,N,25,","33.8","1,,,N","0","5,,,N"
"US1TXCLL058","2023-02","33.014774","-96.735184","203.3","PLANO 2.3 SSE, TX US","10",",N","8",",N","1",",N","","","","","20230208",",,N","","","55.9",",,N,08,","121.4",",,,N","",""
"US1TXCLL058","2023-03","33.014774","-96.735184","203.3","PLANO 2.3 SSE, TX US","7","5,N","4","5,N","1","5,N","","","","","20230303",",5,N","","","35.8","5,,N,03,","60.1","5,,,N","",""
