"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1TXCLR010","2013-11","29.8188003","-96.4780306","116.4","NEW ULM 5.1 S, TX US","10","3,N","6","3,N","0","3,N","20131126",",3,N","19.3","3,,N,26,","82.6","3,,,N"
"US1TXCLR010","2014-01","29.8188003","-96.4780306","116.4","NEW ULM 5.1 S, TX US","5","5,N","3","5,N","2","5,N","20140109",",5,N","36.6","5,,N,09,","71.4","3,a,,N"
"US1TXCLR010","2014-02","29.8188003","-96.4780306","116.4","NEW ULM 5.1 S, TX US","","","","","","","","","","","30.9","1,a,,N"
"US1TXCLR010","2014-04","29.8188003","-96.4780306","116.4","NEW ULM 5.1 S, TX US","","","","","","","","","","","24.4",",a,,N"
"US1TXCLR010","2014-05","29.8188003","-96.4780306","116.4","NEW ULM 5.1 S, TX US","9","4,N","6","4,N","2","4,N","20140513",",4,N","141.5","4,,N,13,","273.9","2,a,,N"
"US1TXCLR010","2014-08","29.8188003","-96.4780306","116.4","NEW ULM 5.1 S, TX US","","","","","","","","","","","29.4","4,a,,N"
"US1TXCLR010","2014-09","29.8188003","-96.4780306","116.4","NEW ULM 5.1 S, TX US","","","","","","","","","","","130.7","4,a,,N"
"US1TXCLR010","2015-06","29.8188003","-96.4780306","116.4","NEW ULM 5.1 S, TX US","","","","","","","","","","","229.8","3,a,,N"
"US1TXCLR010","2015-11","29.8188003","-96.4780306","116.4","NEW ULM 5.1 S, TX US","16","5,N","11","5,N","1","5,N","201511","5,,N","30.2","5,,N,  ,","100.4",",a,,N"
"US1TXCLR010","2016-01","29.8188003","-96.4780306","116.4","NEW ULM 5.1 S, TX US","","","","","","","","","","","31.3","1,a,,N"
"US1TXCLR010","2016-04","29.8188003","-96.4780306","116.4","NEW ULM 5.1 S, TX US","11","5,N","6","5,N","1","5,N","20160413",",5,N","35.8","5,,N,13,","349.8","1,a,,N"
"US1TXCLR010","2016-08","29.8188003","-96.4780306","116.4","NEW ULM 5.1 S, TX US","","","","","","","","","","","119.2","5,a,,N"
"US1TXCLR010","2016-09","29.8188003","-96.4780306","116.4","NEW ULM 5.1 S, TX US","","","","","","","","","","","71.4","5,a,,N"
"US1TXCLR010","2017-04","29.8188003","-96.4780306","116.4","NEW ULM 5.1 S, TX US","","","","","","","","","","","91.4","4,a,,N"
"US1TXCLR010","2017-05","29.8188003","-96.4780306","116.4","NEW ULM 5.1 S, TX US","","","","","","","","","","","24.9","4,a,,N"
"US1TXCLR010","2017-08","29.8188003","-96.4780306","116.4","NEW ULM 5.1 S, TX US","","","","","","","","","","","691.7","4,a,,N"
"US1TXCLR010","2017-11","29.8188003","-96.4780306","116.4","NEW ULM 5.1 S, TX US","","","","","","","","","","","7.4","3,a,,N"
"US1TXCLR010","2018-01","29.8188003","-96.4780306","116.4","NEW ULM 5.1 S, TX US","","","","","","","","","","","35.0","4,a,,N"
"US1TXCLR010","2018-05","29.8188003","-96.4780306","116.4","NEW ULM 5.1 S, TX US","","","","","","","","","","","13.2","3,a,,N"
"US1TXCLR010","2018-11","29.8188003","-96.4780306","116.4","NEW ULM 5.1 S, TX US","","","","","","","","","","","83.6","2,a,,N"
"US1TXCLR010","2019-09","29.8188003","-96.4780306","116.4","NEW ULM 5.1 S, TX US","","","","","","","","","","","34.6","4,a,,N"
"US1TXCLR010","2019-10","29.8188003","-96.4780306","116.4","NEW ULM 5.1 S, TX US","","","","","","","","","","","88.4","4,a,,N"
"US1TXCLR010","2020-04","29.8188003","-96.4780306","116.4","NEW ULM 5.1 S, TX US","","","","","","","","","","","97.5","4,a,,N"
"US1TXCLR010","2020-05","29.8188003","-96.4780306","116.4","NEW ULM 5.1 S, TX US","6","5,N","5","5,N","3","5,N","20200525",",5,N","31.8","5,,N,25,","140.8","3,a,,N"
"US1TXCLR010","2020-06","29.8188003","-96.4780306","116.4","NEW ULM 5.1 S, TX US","","","","","","","","","","","102.9","1,a,,N"
"US1TXCLR010","2020-07","29.8188003","-96.4780306","116.4","NEW ULM 5.1 S, TX US","5","3,N","3","3,N","0","3,N","20200727",",3,N","16.5","3,,N,27,","38.2","3,,,N"
"US1TXCLR010","2020-08","29.8188003","-96.4780306","116.4","NEW ULM 5.1 S, TX US","","","","","","","","","","","27.4","5,a,,N"
"US1TXCLR010","2020-09","29.8188003","-96.4780306","116.4","NEW ULM 5.1 S, TX US","","","","","","","","","","","211.9","5,a,,N"
"US1TXCLR010","2023-03","29.8188003","-96.4780306","116.4","NEW ULM 5.1 S, TX US","","","","","","","","","","","73.1","1,a,,N"
"US1TXCLR010","2023-04","29.8188003","-96.4780306","116.4","NEW ULM 5.1 S, TX US","16","1,N","7","1,N","2","1,N","20230406",",1,N","120.9","1,,N,06,","247.7","1,,,N"
"US1TXCLR010","2023-05","29.8188003","-96.4780306","116.4","NEW ULM 5.1 S, TX US","11","3,N","7","3,N","3","3,N","20230514",",3,N","59.7","3,,N,14,","163.3","1,a,,N"
"US1TXCLR010","2023-06","29.8188003","-96.4780306","116.4","NEW ULM 5.1 S, TX US","","","","","","","","","","","48.2","5,a,,N"
"US1TXCLR010","2023-07","29.8188003","-96.4780306","116.4","NEW ULM 5.1 S, TX US","1","5,N","0","5,N","0","5,N","20230704",",5,N","1.8","5,,N,04,","7.4","1,a,,N"
"US1TXCLR010","2023-08","29.8188003","-96.4780306","116.4","NEW ULM 5.1 S, TX US","2","4,N","2","4,N","0","4,N","20230825",",4,N","4.3","4,,N,25,","6.8","2,a,,N"
"US1TXCLR010","2023-09","29.8188003","-96.4780306","116.4","NEW ULM 5.1 S, TX US","","","","","","","","","","","76.6","4,a,,N"
"US1TXCLR010","2024-01","29.8188003","-96.4780306","116.4","NEW ULM 5.1 S, TX US","","","","","","","","","","","319.5","2,a,,N"
"US1TXCLR010","2024-02","29.8188003","-96.4780306","116.4","NEW ULM 5.1 S, TX US","","","","","","","","","","","72.9","2,a,,N"
"US1TXCLR010","2024-03","29.8188003","-96.4780306","116.4","NEW ULM 5.1 S, TX US","","","","","","","","","","","100.9","2,a,,N"
"US1TXCLR010","2024-05","29.8188003","-96.4780306","116.4","NEW ULM 5.1 S, TX US","","","","","","","","","","","91.1","3,a,,N"
"US1TXCLR010","2024-06","29.8188003","-96.4780306","116.4","NEW ULM 5.1 S, TX US","","","","","","","","","","","125.1","4,a,,N"
