"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1TXCML164","2016-05","29.870167","-98.28933","321.6","CANYON LAKE 1.7 WSW, TX US","12","3,N","5","3,N","1","3,N","","","","","20160520",",3,N","","","68.8","3,,N,20,","115.1","3,,,N","",""
"US1TXCML164","2016-10","29.870167","-98.28933","321.6","CANYON LAKE 1.7 WSW, TX US","3","2,N","1","2,N","0","2,N","","","","","20161021",",2,N","","","10.7","2,,N,21,","12.2","2,,,N","",""
"US1TXCML164","2016-11","29.870167","-98.28933","321.6","CANYON LAKE 1.7 WSW, TX US","10","3,N","3","3,N","0","3,N","","","","","20161109",",3,N","","","16.5","3,,N,09,","47.8","3,,,N","",""
"US1TXCML164","2017-07","29.870167","-98.28933","321.6","CANYON LAKE 1.7 WSW, TX US","5",",N","2",",N","0",",N","","","","","20170731",",,N","","","8.9",",,N,31,","14.0",",,,N","",""
"US1TXCML164","2017-08","29.870167","-98.28933","321.6","CANYON LAKE 1.7 WSW, TX US","6","5,N","5","5,N","1","5,N","","","","","20170827",",5,N","","","84.8","5,,N,27,","124.0","5,,,N","",""
"US1TXCML164","2017-11","29.870167","-98.28933","321.6","CANYON LAKE 1.7 WSW, TX US","4",",N","3",",N","0",",N","0","4,N","20171130","+,4,N","20171113",",,N","0","4,,N,30,+","11.4",",,N,13,","27.4",",,,N","0","4,,,N"
"US1TXCML164","2018-01","29.870167","-98.28933","321.6","CANYON LAKE 1.7 WSW, TX US","","","","","","","","","","","","","","","","","15.6","1,a,,N","",""
"US1TXCML164","2018-03","29.870167","-98.28933","321.6","CANYON LAKE 1.7 WSW, TX US","","","","","","","","","","","","","","","","","113.6",",a,,N","",""
"US1TXCML164","2018-04","29.870167","-98.28933","321.6","CANYON LAKE 1.7 WSW, TX US","4","2,N","1","2,N","0","2,N","","","","","20180426",",2,N","","","15.2","2,,N,26,","16.8",",a,,N","",""
"US1TXCML164","2018-07","29.870167","-98.28933","321.6","CANYON LAKE 1.7 WSW, TX US","","","","","","","","","","","","","","","","","84.1","4,a,,N","",""
"US1TXCML164","2018-10","29.870167","-98.28933","321.6","CANYON LAKE 1.7 WSW, TX US","18",",N","11",",N","1",",N","","","","","20181016",",,N","","","58.7",",,N,16,","151.3",",,,N","",""
"US1TXCML164","2018-11","29.870167","-98.28933","321.6","CANYON LAKE 1.7 WSW, TX US","13",",N","4",",N","1",",N","","","","","20181109",",,N","","","40.4",",,N,09,","67.7",",,,N","",""
"US1TXCML164","2018-12","29.870167","-98.28933","321.6","CANYON LAKE 1.7 WSW, TX US","10","4,N","5","4,N","1","4,N","","","","","20181208",",4,N","","","53.6","4,,N,08,","130.9",",a,,N","",""
"US1TXCML164","2019-01","29.870167","-98.28933","321.6","CANYON LAKE 1.7 WSW, TX US","","","","","","","","","","","","","","","","","75.0","1,a,,N","",""
