"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1TXFY0001","2009-09","29.948448","-97.069428","111.6","SMITHVILLE 6.6 SE, TX US","7",",N","7",",N","3",",N","","","","","20090912",",,N","","","85.1",",,N,12,","241.8",",,,N","",""
"US1TXFY0001","2009-10","29.948448","-97.069428","111.6","SMITHVILLE 6.6 SE, TX US","9","1,N","8","1,N","4","1,N","","","","","20091003",",1,N","","","100.3","1,,N,03,","304.7","1,,,N","",""
"US1TXFY0001","2009-11","29.948448","-97.069428","111.6","SMITHVILLE 6.6 SE, TX US","5","1,N","4","1,N","1","1,N","0","4,N","20091130","+,4,N","20091121",",1,N","0","4,,N,30,+","52.1","1,,N,21,","85.7","1,,,N","0","4,,,N"
"US1TXFY0001","2009-12","29.948448","-97.069428","111.6","SMITHVILLE 6.6 SE, TX US","11","4,N","7","4,N","1","4,N","","","","","20091202",",4,N","","","38.9","4,,N,02,","81.2","4,,,N","",""
"US1TXFY0001","2010-01","29.948448","-97.069428","111.6","SMITHVILLE 6.6 SE, TX US","5",",N","2",",N","1",",N","","","","","20100116",",,N","","","48.3",",,N,16,","74.1",",,,N","",""
"US1TXFY0001","2010-02","29.948448","-97.069428","111.6","SMITHVILLE 6.6 SE, TX US","10",",N","7",",N","1",",N","","","","","20100212",",,N","","","28.2",",,N,12,","97.0",",,,N","",""
"US1TXFY0001","2010-03","29.948448","-97.069428","111.6","SMITHVILLE 6.6 SE, TX US","8",",N","5",",N","0",",N","","","","","20100321",",,N","","","20.8",",,N,21,","67.6",",,,N","",""
"US1TXFY0001","2010-04","29.948448","-97.069428","111.6","SMITHVILLE 6.6 SE, TX US","8",",N","3",",N","1",",N","","","","","20100417",",,N","","","30.2",",,N,17,","39.5",",,,N","",""
"US1TXFY0001","2010-05","29.948448","-97.069428","111.6","SMITHVILLE 6.6 SE, TX US","2","1,N","1","1,N","1","1,N","0","3,N","20100531","+,3,N","20100515",",1,N","0","3,,N,31,+","76.5","1,,N,15,","77.8","1,,,N","0","3,,,N"
"US1TXFY0001","2010-06","29.948448","-97.069428","111.6","SMITHVILLE 6.6 SE, TX US","7",",N","6",",N","1",",N","","","","","20100603",",,N","","","57.9",",,N,03,","118.6",",,,N","",""
