"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1TXGA0057","2023-04","33.527479","-96.49587","248.1","TOM BEAN 0.8 NW, TX US","6",",N","4",",N","0",",N","","","","","20230427",",,N","","","22.4",",,N,27,","50.4",",,,N","",""
"US1TXGA0057","2023-05","33.527479","-96.49587","248.1","TOM BEAN 0.8 NW, TX US","11","3,N","8","3,N","0","3,N","","","","","20230520",",3,N","","","17.8","3,,N,20,","58.7","3,,,N","",""
"US1TXGA0057","2023-06","33.527479","-96.49587","248.1","TOM BEAN 0.8 NW, TX US","10",",N","6",",N","1",",N","","","","","20230616",",,N","","","86.6",",,N,16,","147.0",",,,N","",""
"US1TXGA0057","2023-07","33.527479","-96.49587","248.1","TOM BEAN 0.8 NW, TX US","8","1,N","4","1,N","2","1,N","","","","","20230704",",1,N","","","50.3","1,,N,04,","94.7","1,,,N","",""
"US1TXGA0057","2023-08","33.527479","-96.49587","248.1","TOM BEAN 0.8 NW, TX US","1",",N","1",",N","0",",N","0","1,N","20230831","+,1,N","20230810",",,N","0","1,,N,31,+","3.6",",,N,10,","3.6",",,,N","0","1,,,N"
"US1TXGA0057","2023-10","33.527479","-96.49587","248.1","TOM BEAN 0.8 NW, TX US","8",",N","6",",N","3",",N","","","","","20231026",",,N","","","112.8",",,N,26,","247.5",",,,N","",""
"US1TXGA0057","2023-11","33.527479","-96.49587","248.1","TOM BEAN 0.8 NW, TX US","5",",N","2",",N","0",",N","0","5,N","20231130","+,5,N","20231110",",,N","0","5,,N,30,+","9.4",",,N,10,","18.1",",,,N","0","5,,,N"
"US1TXGA0057","2023-12","33.527479","-96.49587","248.1","TOM BEAN 0.8 NW, TX US","6",",N","5",",N","1",",N","","","","","20231224",",,N","","","44.5",",,N,24,","82.7",",,,N","",""
"US1TXGA0057","2024-01","33.527479","-96.49587","248.1","TOM BEAN 0.8 NW, TX US","8",",N","7",",N","0",",N","","","","","20240124",",,N","","","17.5",",,N,24,","75.9",",,,N","",""
"US1TXGA0057","2024-02","33.527479","-96.49587","248.1","TOM BEAN 0.8 NW, TX US","3","3,N","2","3,N","0","3,N","","","","","20240203",",3,N","","","17.5","3,,N,03,","35.5","3,,,N","",""
"US1TXGA0057","2024-03","33.527479","-96.49587","248.1","TOM BEAN 0.8 NW, TX US","9","1,N","7","1,N","2","1,N","","","","","20240315",",1,N","","","43.2","1,,N,15,","119.4","1,,,N","",""
"US1TXGA0057","2024-04","33.527479","-96.49587","248.1","TOM BEAN 0.8 NW, TX US","12",",N","8",",N","3",",N","","","","","20240409",",,N","","","81.5",",,N,09,","216.8",",,,N","",""
"US1TXGA0057","2024-05","33.527479","-96.49587","248.1","TOM BEAN 0.8 NW, TX US","17",",N","12",",N","5",",N","","","","","20240513",",,N","","","59.9",",,N,13,","289.7",",,,N","",""
"US1TXGA0057","2024-06","33.527479","-96.49587","248.1","TOM BEAN 0.8 NW, TX US","5",",N","4",",N","1",",N","0","5,N","20240630","+,5,N","20240605",",,N","0","5,,N,30,+","41.9",",,N,05,","80.3",",,,N","0","5,,,N"
