"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1TXGP0087","2014-02","29.6225","-98.038333","173.1","SEGUIN 5.1 NW, TX US","7","1,N","2","1,N","0","1,N","","","","","20140227",",1,N","","","4.1","1,,N,27,","12.2","1,,,N","",""
"US1TXGP0087","2021-11","29.6225","-98.038333","173.1","SEGUIN 5.1 NW, TX US","5",",N","2",",N","0",",N","0","5,N","20211130","+,5,N","20211104",",,N","0","5,,N,30,+","16.5",",,N,04,","25.2",",,,N","0","5,,,N"
"US1TXGP0087","2022-01","29.6225","-98.038333","173.1","SEGUIN 5.1 NW, TX US","5","4,N","2","4,N","0","4,N","","","","","20220108",",4,N","","","3.8","4,,N,08,","9.4","4,,,N","",""
"US1TXGP0087","2022-02","29.6225","-98.038333","173.1","SEGUIN 5.1 NW, TX US","7","5,N","3","5,N","0","5,N","","","","","20220203",",5,N","","","20.3","5,,N,03,","37.3","5,,,N","",""
"US1TXGP0087","2022-03","29.6225","-98.038333","173.1","SEGUIN 5.1 NW, TX US","4","3,N","1","3,N","1","3,N","","","","","20220322",",3,N","","","48.3","3,,N,22,","51.1","3,,,N","",""
"US1TXGP0087","2022-04","29.6225","-98.038333","173.1","SEGUIN 5.1 NW, TX US","5","2,N","3","2,N","0","2,N","","","","","20220411",",2,N","","","7.6","2,,N,11,","17.9","2,,,N","",""
"US1TXGP0087","2022-08","29.6225","-98.038333","173.1","SEGUIN 5.1 NW, TX US","5","3,N","4","3,N","1","3,N","","","","","20220831",",3,N","","","35.6","3,,N,31,","78.6","3,,,N","",""
"US1TXGP0087","2022-09","29.6225","-98.038333","173.1","SEGUIN 5.1 NW, TX US","3","3,N","1","3,N","0","3,N","","","","","20220901",",3,N","","","5.3","3,,N,01,","7.4","3,,,N","",""
"US1TXGP0087","2022-10","29.6225","-98.038333","173.1","SEGUIN 5.1 NW, TX US","4","2,N","4","2,N","0","2,N","","","","","20221029",",2,N","","","10.2","2,,N,29,","25.5","2,,,N","",""
"US1TXGP0087","2022-11","29.6225","-98.038333","173.1","SEGUIN 5.1 NW, TX US","15","3,N","8","3,N","1","3,N","","","","","20221126",",3,N","","","25.4","3,,N,26,","85.3","3,,,N","",""
"US1TXGP0087","2022-12","29.6225","-98.038333","173.1","SEGUIN 5.1 NW, TX US","6","3,N","2","3,N","1","3,N","","","","","20221211",",3,N","","","34.3","3,,N,11,","47.0","3,,,N","",""
"US1TXGP0087","2023-01","29.6225","-98.038333","173.1","SEGUIN 5.1 NW, TX US","6","3,N","3","3,N","1","3,N","","","","","20230125",",3,N","","","25.4","3,,N,25,","35.0","3,,,N","",""
"US1TXGP0087","2023-02","29.6225","-98.038333","173.1","SEGUIN 5.1 NW, TX US","5","3,N","4","3,N","0","3,N","","","","","20230201",",3,N","","","15.2","3,,N,01,","32.4","3,,,N","",""
"US1TXGP0087","2023-03","29.6225","-98.038333","173.1","SEGUIN 5.1 NW, TX US","9","4,N","4","4,N","0","4,N","","","","","20230317",",4,N","","","21.6","4,,N,17,","46.3","4,,,N","",""
"US1TXGP0087","2023-04","29.6225","-98.038333","173.1","SEGUIN 5.1 NW, TX US","9","3,N","8","3,N","1","3,N","","","","","20230421",",3,N","","","29.5","3,,N,21,","93.0","3,,,N","",""
"US1TXGP0087","2023-05","29.6225","-98.038333","173.1","SEGUIN 5.1 NW, TX US","11","2,N","9","2,N","1","2,N","","","","","20230513",",2,N","","","29.7","2,,N,13,","104.5","2,,,N","",""
"US1TXGP0087","2023-07","29.6225","-98.038333","173.1","SEGUIN 5.1 NW, TX US","1","5,N","1","5,N","0","5,N","","","","","20230707",",5,N","","","2.5","5,,N,07,","2.5","5,,,N","",""
"US1TXGP0087","2023-09","29.6225","-98.038333","173.1","SEGUIN 5.1 NW, TX US","0","5,N","0","5,N","0","5,N","0","5,N","20230930","+,5,N","20230930","+,5,N","0","5,,N,30,+","0.0","5,,N,30,+","0.0","5,,,N","0","5,,,N"
"US1TXGP0087","2023-10","29.6225","-98.038333","173.1","SEGUIN 5.1 NW, TX US","14","4,N","6","4,N","2","4,N","","","","","20231027",",4,N","","","47.5","4,,N,27,","115.8","4,,,N","",""
"US1TXGP0087","2023-11","29.6225","-98.038333","173.1","SEGUIN 5.1 NW, TX US","9","4,N","4","4,N","0","4,N","","","","","20231110",",4,N","","","16.3","4,,N,10,","36.1","4,,,N","",""
"US1TXGP0087","2023-12","29.6225","-98.038333","173.1","SEGUIN 5.1 NW, TX US","8","1,N","4","1,N","0","1,N","","","","","20231225",",1,N","","","17.5","1,,N,25,","42.5","1,,,N","",""
"US1TXGP0087","2024-02","29.6225","-98.038333","173.1","SEGUIN 5.1 NW, TX US","3",",N","1",",N","0",",N","0","3,N","20240229","+,3,N","20240203",",,N","0","3,,N,29,+","21.6",",,N,03,","23.2",",,,N","0","3,,,N"
"US1TXGP0087","2024-03","29.6225","-98.038333","173.1","SEGUIN 5.1 NW, TX US","10","1,N","2","1,N","0","1,N","","","","","20240317",",1,N","","","24.9","1,,N,17,","40.4","1,,,N","",""
"US1TXGP0087","2024-04","29.6225","-98.038333","173.1","SEGUIN 5.1 NW, TX US","6",",N","4",",N","1",",N","","","","","20240410",",,N","","","25.4",",,N,10,","59.0",",,,N","",""
"US1TXGP0087","2024-06","29.6225","-98.038333","173.1","SEGUIN 5.1 NW, TX US","6",",N","6",",N","1",",N","","","","","20240620",",,N","","","25.4",",,N,20,","93.5",",,,N","",""
