"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1TXKN0028","2008-03","29.910117","-98.762533","485.5","BOERNE 8.5 NNW, TX US","9","2,N","4","2,N","0","2,N","0","2,N","20080331","+,2,N","20080311",",2,N","0","2,,N,31,+","21.6","2,,N,11,","43.6","2,,,N","0","2,,,N"
"US1TXKN0028","2008-04","29.910117","-98.762533","485.5","BOERNE 8.5 NNW, TX US","4",",N","2",",N","0",",N","0",",N","20080430","+,,N","20080418",",,N","0",",,N,30,+","16.3",",,N,18,","20.9",",,,N","0",",,,N"
"US1TXKN0028","2008-06","29.910117","-98.762533","485.5","BOERNE 8.5 NNW, TX US","5",",N","1",",N","0",",N","0",",N","20080630","+,,N","20080621",",,N","0",",,N,30,+","4.1",",,N,21,","7.2",",,,N","0",",,,N"
"US1TXKN0028","2008-07","29.910117","-98.762533","485.5","BOERNE 8.5 NNW, TX US","7",",N","5",",N","1",",N","0",",N","20080731","+,,N","20080725",",,N","0",",,N,31,+","25.9",",,N,25,","49.0",",,,N","0",",,,N"
"US1TXKN0028","2008-08","29.910117","-98.762533","485.5","BOERNE 8.5 NNW, TX US","8",",N","5",",N","2",",N","0",",N","20080831","+,,N","20080819",",,N","0",",,N,31,+","103.6",",,N,19,","157.4",",,,N","0",",,,N"
"US1TXKN0028","2008-09","29.910117","-98.762533","485.5","BOERNE 8.5 NNW, TX US","4",",N","1",",N","0",",N","0",",N","20080930","+,,N","20080910",",,N","0",",,N,30,+","3.3",",,N,10,","5.9",",,,N","0",",,,N"
"US1TXKN0028","2008-11","29.910117","-98.762533","485.5","BOERNE 8.5 NNW, TX US","4","2,N","0","2,N","0","2,N","0","2,N","20081130","+,2,N","20081110",",2,N","0","2,,N,30,+","1.3","2,,N,10,","2.9","2,,,N","0","2,,,N"
"US1TXKN0028","2008-12","29.910117","-98.762533","485.5","BOERNE 8.5 NNW, TX US","7","1,N","1","1,N","0","1,N","","","","","20081210",",1,N","","","5.8","1,,N,10,","9.0","1,,,N","",""
"US1TXKN0028","2009-01","29.910117","-98.762533","485.5","BOERNE 8.5 NNW, TX US","6",",N","2",",N","0",",N","","","","","20090106",",,N","","","8.4",",,N,06,","19.2",",,,N","",""
"US1TXKN0028","2009-02","29.910117","-98.762533","485.5","BOERNE 8.5 NNW, TX US","5",",N","1",",N","0",",N","","","","","20090209",",,N","","","4.8",",,N,09,","8.2",",,,N","",""
"US1TXKN0028","2009-03","29.910117","-98.762533","485.5","BOERNE 8.5 NNW, TX US","9",",N","4",",N","1",",N","","","","","20090312",",,N","","","82.8",",,N,12,","98.9",",,,N","",""
"US1TXKN0028","2009-04","29.910117","-98.762533","485.5","BOERNE 8.5 NNW, TX US","12",",N","4",",N","1",",N","","","","","20090428",",,N","","","25.9",",,N,28,","54.7",",,,N","",""
"US1TXKN0028","2009-05","29.910117","-98.762533","485.5","BOERNE 8.5 NNW, TX US","6",",N","4",",N","0",",N","","","","","20090517",",,N","","","20.6",",,N,17,","53.6",",,,N","",""
"US1TXKN0028","2009-06","29.910117","-98.762533","485.5","BOERNE 8.5 NNW, TX US","3",",N","3",",N","0",",N","0","3,N","20090630","+,3,N","20090603",",,N","0","3,,N,30,+","18.0",",,N,03,","28.7",",,,N","0","3,,,N"
"US1TXKN0028","2009-07","29.910117","-98.762533","485.5","BOERNE 8.5 NNW, TX US","2",",N","1",",N","0",",N","0","4,N","20090731","+,4,N","20090731",",,N","0","4,,N,31,+","20.6",",,N,31,","22.1",",,,N","0","4,,,N"
"US1TXKN0028","2009-08","29.910117","-98.762533","485.5","BOERNE 8.5 NNW, TX US","1",",N","1",",N","0",",N","0","1,N","20090831","+,1,N","20090828",",,N","0","1,,N,31,+","2.5",",,N,28,","2.5",",,,N","0","1,,,N"
"US1TXKN0028","2009-09","29.910117","-98.762533","485.5","BOERNE 8.5 NNW, TX US","12",",N","7",",N","1",",N","","","","","20090912",",,N","","","32.5",",,N,12,","92.9",",,,N","",""
"US1TXKN0028","2009-10","29.910117","-98.762533","485.5","BOERNE 8.5 NNW, TX US","17",",N","9",",N","1",",N","","","","","20091022",",,N","","","66.8",",,N,22,","174.2",",,,N","",""
"US1TXKN0028","2009-11","29.910117","-98.762533","485.5","BOERNE 8.5 NNW, TX US","7",",N","4",",N","1",",N","","","","","20091121",",,N","","","37.3",",,N,21,","60.2",",,,N","",""
