"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1TXKR0114","2022-11","30.057582","-99.158826","501.1","KERRVILLE 1.7 NW, TX US","10","3,N","4","3,N","0","3,N","","","","","20221126",",3,N","","","23.4","3,,N,26,","43.1","3,,,N","",""
"US1TXKR0114","2022-12","30.057582","-99.158826","501.1","KERRVILLE 1.7 NW, TX US","6",",N","0",",N","0",",N","","","","","20221202",",,N","","","1.8",",,N,02,","5.1",",,,N","",""
"US1TXKR0114","2023-01","30.057582","-99.158826","501.1","KERRVILLE 1.7 NW, TX US","6",",N","1",",N","0",",N","","","","","20230124",",,N","","","11.2",",,N,24,","14.1",",,,N","",""
"US1TXKR0114","2023-02","30.057582","-99.158826","501.1","KERRVILLE 1.7 NW, TX US","3","1,N","0","1,N","0","1,N","0","3,N","20230228","+,3,N","20230226","+,1,N","0","3,,N,28,+","1.0","1,,N,26,+","2.5","1,,,N","0","3,,,N"
"US1TXKR0114","2023-03","30.057582","-99.158826","501.1","KERRVILLE 1.7 NW, TX US","12","1,N","2","1,N","0","1,N","","","","","20230302",",1,N","","","5.6","1,,N,02,","17.0","1,,,N","",""
"US1TXKR0114","2023-04","30.057582","-99.158826","501.1","KERRVILLE 1.7 NW, TX US","8","3,N","3","3,N","0","3,N","","","","","20230421",",3,N","","","12.7","3,,N,21,","35.0","3,,,N","",""
"US1TXKR0114","2023-05","30.057582","-99.158826","501.1","KERRVILLE 1.7 NW, TX US","8","2,N","3","2,N","1","2,N","","","","","20230513",",2,N","","","39.4","2,,N,13,","75.0",",a,,N","",""
"US1TXKR0114","2023-06","30.057582","-99.158826","501.1","KERRVILLE 1.7 NW, TX US","8",",N","4",",N","0",",N","","","","","20230619",",,N","","","9.7",",,N,19,","31.0",",,,N","",""
"US1TXKR0114","2023-07","30.057582","-99.158826","501.1","KERRVILLE 1.7 NW, TX US","2",",N","1",",N","0",",N","0","2,N","20230731","+,2,N","20230702",",,N","0","2,,N,31,+","3.8",",,N,02,","4.6",",,,N","0","2,,,N"
"US1TXKR0114","2023-08","30.057582","-99.158826","501.1","KERRVILLE 1.7 NW, TX US","1",",N","1",",N","0",",N","0","1,N","20230831","+,1,N","20230823",",,N","0","1,,N,31,+","6.9",",,N,23,","6.9",",,,N","0","1,,,N"
