"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1TXLM0008","2019-02","33.7158","-95.50368","163.1","PARIS 4.2 NE, TX US","13","2,N","6","2,N","2","2,N","","","","","20190220",",2,N","","","30.2","2,,N,20,","106.2",",a,,N","",""
"US1TXLM0008","2019-03","33.7158","-95.50368","163.1","PARIS 4.2 NE, TX US","10",",N","8",",N","0",",N","","","","","20190309",",,N","","","21.3",",,N,09,","60.9",",,,N","",""
"US1TXLM0008","2019-04","33.7158","-95.50368","163.1","PARIS 4.2 NE, TX US","11","1,N","9","1,N","2","1,N","0","1,N","20190430","+,1,N","20190414",",1,N","0","1,,N,30,+","66.5","1,,N,14,","196.2","1,,,N","0","1,,,N"
"US1TXLM0008","2019-05","33.7158","-95.50368","163.1","PARIS 4.2 NE, TX US","8",",N","7",",N","5",",N","0",",N","20190531","+,,N","20190502",",,N","0",",,N,31,+","66.5",",,N,02,","269.4",",,,N","0",",,,N"
"US1TXLM0008","2019-06","33.7158","-95.50368","163.1","PARIS 4.2 NE, TX US","10",",N","7",",N","4",",N","0",",N","20190630","+,,N","20190620",",,N","0",",,N,30,+","64.3",",,N,20,","286.3",",,,N","0",",,,N"
"US1TXLM0008","2019-07","33.7158","-95.50368","163.1","PARIS 4.2 NE, TX US","6",",N","2",",N","1",",N","0",",N","20190731","+,,N","20190702",",,N","0",",,N,31,+","38.6",",,N,02,","49.4",",,,N","0",",,,N"
"US1TXLM0008","2019-08","33.7158","-95.50368","163.1","PARIS 4.2 NE, TX US","7",",N","5",",N","0",",N","0","1,N","20190831","+,1,N","20190831",",,N","0","1,,N,31,+","18.3",",,N,31,","42.5",",,,N","0","1,,,N"
"US1TXLM0008","2019-09","33.7158","-95.50368","163.1","PARIS 4.2 NE, TX US","6",",N","4",",N","1",",N","0",",N","20190930","+,,N","20190921",",,N","0",",,N,30,+","99.3",",,N,21,","131.8",",,,N","0",",,,N"
"US1TXLM0008","2019-10","33.7158","-95.50368","163.1","PARIS 4.2 NE, TX US","10",",N","7",",N","3",",N","0",",N","20191031","+,,N","20191021",",,N","0",",,N,31,+","37.1",",,N,21,","123.7",",,,N","0",",,,N"
"US1TXLM0008","2019-11","33.7158","-95.50368","163.1","PARIS 4.2 NE, TX US","9",",N","8",",N","1",",N","0",",N","20191130","+,,N","20191122",",,N","0",",,N,30,+","31.8",",,N,22,","113.2",",,,N","0",",,,N"
"US1TXLM0008","2019-12","33.7158","-95.50368","163.1","PARIS 4.2 NE, TX US","5",",N","2",",N","0",",N","0",",N","20191231","+,,N","20191229",",,N","0",",,N,31,+","13.0",",,N,29,","23.4",",,,N","0",",,,N"
"US1TXLM0008","2020-01","33.7158","-95.50368","163.1","PARIS 4.2 NE, TX US","10",",N","9",",N","1",",N","0",",N","20200131","+,,N","20200111",",,N","0",",,N,31,+","62.2",",,N,11,","128.0",",,,N","0",",,,N"
"US1TXLM0008","2020-02","33.7158","-95.50368","163.1","PARIS 4.2 NE, TX US","9","1,N","8","1,N","1","1,N","0","1,N","20200206",",1,N","20200212",",1,N","0","1,T,N,06,","29.0","1,,N,12,","91.6","1,,,N","0","1,T,,N"
