"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1TXLP0010","2019-04","31.204015","-98.435964","407.2","LOMETA 2.7 WSW, TX US","","","","","","","","","","","","","","","","","90.9","5,a,,N","",""
"US1TXLP0010","2019-05","31.204015","-98.435964","407.2","LOMETA 2.7 WSW, TX US","12",",N","9",",N","2",",N","","","","","20190503",",,N","","","33.5",",,N,03,","130.7",",,,N","",""
"US1TXLP0010","2019-06","31.204015","-98.435964","407.2","LOMETA 2.7 WSW, TX US","10",",N","5",",N","0",",N","","","","","20190619",",,N","","","18.3",",,N,19,","55.5",",,,N","",""
"US1TXLP0010","2019-07","31.204015","-98.435964","407.2","LOMETA 2.7 WSW, TX US","4",",N","2",",N","0",",N","0","4,N","20190731","+,4,N","20190701",",,N","0","4,,N,31,+","18.0",",,N,01,","21.3",",,,N","0","4,,,N"
"US1TXLP0010","2019-08","31.204015","-98.435964","407.2","LOMETA 2.7 WSW, TX US","3",",N","2",",N","0",",N","0","4,N","20190831","+,4,N","20190824",",,N","0","4,,N,31,+","16.0",",,N,24,","24.1",",,,N","0","4,,,N"
"US1TXLP0010","2019-09","31.204015","-98.435964","407.2","LOMETA 2.7 WSW, TX US","2","3,N","1","3,N","0","3,N","0","5,N","20190930","+,5,N","20190912",",3,N","0","5,,N,30,+","16.0","3,,N,12,","16.8",",a,,N","0","5,,,N"
"US1TXLP0010","2019-11","31.204015","-98.435964","407.2","LOMETA 2.7 WSW, TX US","10",",N","1",",N","0",",N","","","","","20191107",",,N","","","6.6",",,N,07,","14.8",",,,N","",""
"US1TXLP0010","2019-12","31.204015","-98.435964","407.2","LOMETA 2.7 WSW, TX US","4","2,N","2","2,N","0","2,N","","","","","20191210",",2,N","","","6.1","2,,N,10,","13.0","2,,,N","",""
"US1TXLP0010","2020-01","31.204015","-98.435964","407.2","LOMETA 2.7 WSW, TX US","9","1,N","6","1,N","1","1,N","","","","","20200118",",1,N","","","28.7","1,,N,18,","74.5","1,,,N","",""
"US1TXLP0010","2020-02","31.204015","-98.435964","407.2","LOMETA 2.7 WSW, TX US","7",",N","5",",N","1",",N","","","","","20200211",",,N","","","37.6",",,N,11,","86.2",",,,N","",""
"US1TXLP0010","2020-03","31.204015","-98.435964","407.2","LOMETA 2.7 WSW, TX US","14",",N","7",",N","1",",N","","","","","20200320",",,N","","","51.1",",,N,20,","141.7",",,,N","",""
"US1TXLP0010","2020-04","31.204015","-98.435964","407.2","LOMETA 2.7 WSW, TX US","8",",N","5",",N","1",",N","","","","","20200412",",,N","","","67.8",",,N,12,","115.3",",,,N","",""
"US1TXLP0010","2020-05","31.204015","-98.435964","407.2","LOMETA 2.7 WSW, TX US","8","1,N","7","1,N","2","1,N","","","","","20200516",",1,N","","","70.4","1,,N,16,","143.8","1,,,N","",""
"US1TXLP0010","2020-06","31.204015","-98.435964","407.2","LOMETA 2.7 WSW, TX US","6",",N","4",",N","0",",N","","","","","20200620",",,N","","","17.8",",,N,20,","48.1",",,,N","",""
"US1TXLP0010","2020-07","31.204015","-98.435964","407.2","LOMETA 2.7 WSW, TX US","2",",N","1",",N","0",",N","0","3,N","20200731","+,3,N","20200726",",,N","0","3,,N,31,+","4.3",",,N,26,","6.1",",,,N","0","3,,,N"
"US1TXLP0010","2020-08","31.204015","-98.435964","407.2","LOMETA 2.7 WSW, TX US","3","2,N","2","2,N","0","2,N","0","5,N","20200831","+,5,N","20200822",",2,N","0","5,,N,31,+","12.7","2,,N,22,","17.8","2,,,N","0","5,,,N"
"US1TXLP0010","2020-09","31.204015","-98.435964","407.2","LOMETA 2.7 WSW, TX US","9",",N","7",",N","4",",N","","","","","20200903",",,N","","","117.6",",,N,03,","312.2",",,,N","",""
"US1TXLP0010","2020-11","31.204015","-98.435964","407.2","LOMETA 2.7 WSW, TX US","5",",N","2",",N","0",",N","","","","","20201129",",,N","","","10.9",",,N,29,","16.3",",,,N","",""
"US1TXLP0010","2020-12","31.204015","-98.435964","407.2","LOMETA 2.7 WSW, TX US","7",",N","3",",N","0",",N","","","","","20201231",",,N","","","9.1",",,N,31,","21.5",",,,N","",""
"US1TXLP0010","2021-01","31.204015","-98.435964","407.2","LOMETA 2.7 WSW, TX US","10",",N","5",",N","1",",N","","","","","20210101",",,N","","","28.7",",,N,01,","58.8",",,,N","",""
"US1TXLP0010","2021-02","31.204015","-98.435964","407.2","LOMETA 2.7 WSW, TX US","7",",N","2",",N","0",",N","","","","","20210215",",,N","","","6.4",",,N,15,","16.7",",,,N","",""
"US1TXLP0010","2021-04","31.204015","-98.435964","407.2","LOMETA 2.7 WSW, TX US","6",",N","4",",N","0",",N","","","","","20210416",",,N","","","17.5",",,N,16,","48.7",",,,N","",""
"US1TXLP0010","2021-05","31.204015","-98.435964","407.2","LOMETA 2.7 WSW, TX US","18",",N","11",",N","3",",N","","","","","20210502",",,N","","","52.6",",,N,02,","191.3",",,,N","",""
"US1TXLP0010","2021-06","31.204015","-98.435964","407.2","LOMETA 2.7 WSW, TX US","7",",N","6",",N","1",",N","","","","","20210601",",,N","","","33.8",",,N,01,","60.1",",,,N","",""
"US1TXLP0010","2021-07","31.204015","-98.435964","407.2","LOMETA 2.7 WSW, TX US","12",",N","5",",N","1",",N","","","","","20210713",",,N","","","47.5",",,N,13,","77.7",",,,N","",""
"US1TXLP0010","2021-08","31.204015","-98.435964","407.2","LOMETA 2.7 WSW, TX US","5",",N","2",",N","0",",N","","","","","20210816",",,N","","","3.6",",,N,16,","8.9",",,,N","",""
"US1TXLP0010","2021-10","31.204015","-98.435964","407.2","LOMETA 2.7 WSW, TX US","5",",N","4",",N","0",",N","","","","","20211001",",,N","","","20.1",",,N,01,","56.2",",,,N","",""
"US1TXLP0010","2021-11","31.204015","-98.435964","407.2","LOMETA 2.7 WSW, TX US","4",",N","2",",N","0",",N","0","4,N","20211130","+,4,N","20211104",",,N","0","4,,N,30,+","21.6",",,N,04,","27.0",",,,N","0","4,,,N"
"US1TXLP0010","2021-12","31.204015","-98.435964","407.2","LOMETA 2.7 WSW, TX US","2","1,N","0","1,N","0","1,N","0","5,N","20211231","+,5,N","20211204",",1,N","0","5,,N,31,+","1.5","1,,N,04,","2.0","1,,,N","0","5,,,N"
"US1TXLP0010","2022-01","31.204015","-98.435964","407.2","LOMETA 2.7 WSW, TX US","6",",N","3",",N","0",",N","","","","","20220124",",,N","","","6.9",",,N,24,","18.1",",,,N","",""
"US1TXLP0010","2022-02","31.204015","-98.435964","407.2","LOMETA 2.7 WSW, TX US","6",",N","3",",N","0",",N","","","","","20220203",",,N","","","11.4",",,N,03,","21.6",",,,N","",""
"US1TXLP0010","2022-03","31.204015","-98.435964","407.2","LOMETA 2.7 WSW, TX US","4",",N","1",",N","0",",N","","","","","20220330",",,N","","","9.1",",,N,30,","11.9",",,,N","",""
"US1TXLP0010","2022-04","31.204015","-98.435964","407.2","LOMETA 2.7 WSW, TX US","4","1,N","1","1,N","0","1,N","","","","","20220413",",1,N","","","2.8","1,,N,13,","5.1","1,,,N","",""
"US1TXLP0010","2022-05","31.204015","-98.435964","407.2","LOMETA 2.7 WSW, TX US","3",",N","2",",N","1",",N","","","","","20220525",",,N","","","30.7",",,N,25,","54.0",",,,N","",""
"US1TXLP0010","2022-08","31.204015","-98.435964","407.2","LOMETA 2.7 WSW, TX US","8",",N","7",",N","2",",N","","","","","20220830",",,N","","","45.5",",,N,30,","129.1",",,,N","",""
"US1TXLP0010","2022-09","31.204015","-98.435964","407.2","LOMETA 2.7 WSW, TX US","4",",N","2",",N","0",",N","0","3,N","20220930","+,3,N","20220907",",,N","0","3,,N,30,+","16.3",",,N,07,","29.1",",,,N","0","3,,,N"
"US1TXLP0010","2022-10","31.204015","-98.435964","407.2","LOMETA 2.7 WSW, TX US","6",",N","4",",N","1",",N","","","","","20221017",",,N","","","28.7",",,N,17,","58.3",",,,N","",""
"US1TXLP0010","2022-11","31.204015","-98.435964","407.2","LOMETA 2.7 WSW, TX US","11","1,N","7","1,N","3","1,N","","","","","20221112",",1,N","","","37.6","1,,N,12,","132.0","1,,,N","",""
"US1TXLP0010","2023-01","31.204015","-98.435964","407.2","LOMETA 2.7 WSW, TX US","6","2,N","2","2,N","0","2,N","","","","","20230125",",2,N","","","14.7","2,,N,25,","23.4","2,,,N","",""
"US1TXLP0010","2023-02","31.204015","-98.435964","407.2","LOMETA 2.7 WSW, TX US","","","","","","","","","","","","","","","","","36.5","1,a,,N","",""
"US1TXLP0010","2023-03","31.204015","-98.435964","407.2","LOMETA 2.7 WSW, TX US","10",",N","4",",N","1",",N","","","","","20230317",",,N","","","25.4",",,N,17,","54.2",",,,N","",""
