"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1TXLV0002","2007-03","29.255","-96.76005","50.0","HALLETTSVILLE 17.1 SE, TX US","7",",N","4",",N","3",",N","0",",N","20070331","+,,N","20070331",",,N","0",",,N,31,+","89.4",",,N,31,","242.2",",,,N","0",",,,N"
"US1TXLV0002","2007-04","29.255","-96.76005","50.0","HALLETTSVILLE 17.1 SE, TX US","10",",N","3",",N","1",",N","0",",N","20070430","+,,N","20070425",",,N","0",",,N,30,+","54.6",",,N,25,","82.7",",,,N","0",",,,N"
"US1TXLV0002","2007-05","29.255","-96.76005","50.0","HALLETTSVILLE 17.1 SE, TX US","10",",N","7",",N","1",",N","0",",N","20070531","+,,N","20070528",",,N","0",",,N,31,+","112.3",",,N,28,","194.6",",,,N","0",",,,N"
"US1TXLV0002","2007-06","29.255","-96.76005","50.0","HALLETTSVILLE 17.1 SE, TX US","12",",N","9",",N","1",",N","0",",N","20070630","+,,N","20070630",",,N","0",",,N,30,+","35.3",",,N,30,","157.0",",,,N","0",",,,N"
"US1TXLV0002","2007-07","29.255","-96.76005","50.0","HALLETTSVILLE 17.1 SE, TX US","23",",N","14",",N","4",",N","0",",N","20070731","+,,N","20070702",",,N","0",",,N,31,+","160.5",",,N,02,","376.5",",,,N","0",",,,N"
"US1TXLV0002","2007-08","29.255","-96.76005","50.0","HALLETTSVILLE 17.1 SE, TX US","11",",N","7",",N","3",",N","0",",N","20070831","+,,N","20070830",",,N","0",",,N,31,+","61.0",",,N,30,","176.6",",,,N","0",",,,N"
"US1TXLV0002","2007-09","29.255","-96.76005","50.0","HALLETTSVILLE 17.1 SE, TX US","5",",N","2",",N","0",",N","0",",N","20070930","+,,N","20070904",",,N","0",",,N,30,+","10.4",",,N,04,","16.0",",,,N","0",",,,N"
"US1TXLV0002","2007-10","29.255","-96.76005","50.0","HALLETTSVILLE 17.1 SE, TX US","6",",N","4",",N","1",",N","0",",N","20071031","+,,N","20071016",",,N","0",",,N,31,+","41.7",",,N,16,","88.0",",,,N","0",",,,N"
"US1TXLV0002","2007-11","29.255","-96.76005","50.0","HALLETTSVILLE 17.1 SE, TX US","6",",N","4",",N","0",",N","0",",N","20071130","+,,N","20071124",",,N","0",",,N,30,+","13.2",",,N,24,","39.8",",,,N","0",",,,N"
"US1TXLV0002","2007-12","29.255","-96.76005","50.0","HALLETTSVILLE 17.1 SE, TX US","5",",N","3",",N","0",",N","0",",N","20071231","+,,N","20071213",",,N","0",",,N,31,+","5.3",",,N,13,","12.9",",,,N","0",",,,N"
"US1TXLV0002","2008-01","29.255","-96.76005","50.0","HALLETTSVILLE 17.1 SE, TX US","12",",N","5",",N","2",",N","0",",N","20080131","+,,N","20080119",",,N","0",",,N,31,+","33.8",",,N,19,","98.5",",,,N","0",",,,N"
"US1TXLV0002","2008-02","29.255","-96.76005","50.0","HALLETTSVILLE 17.1 SE, TX US","6",",N","4",",N","1",",N","0",",N","20080229","+,,N","20080212",",,N","0",",,N,29,+","30.7",",,N,12,","90.9",",,,N","0",",,,N"
"US1TXLV0002","2008-03","29.255","-96.76005","50.0","HALLETTSVILLE 17.1 SE, TX US","7",",N","3",",N","1",",N","0",",N","20080331","+,,N","20080307",",,N","0",",,N,31,+","39.1",",,N,07,","63.2",",,,N","0",",,,N"
"US1TXLV0002","2008-04","29.255","-96.76005","50.0","HALLETTSVILLE 17.1 SE, TX US","6",",N","2",",N","0",",N","0",",N","20080430","+,,N","20080418",",,N","0",",,N,30,+","18.5",",,N,18,","40.3",",,,N","0",",,,N"
"US1TXLV0002","2008-05","29.255","-96.76005","50.0","HALLETTSVILLE 17.1 SE, TX US","5",",N","1",",N","0",",N","0",",N","20080531","+,,N","20080526",",,N","0",",,N,31,+","4.8",",,N,26,","6.8",",,,N","0",",,,N"
"US1TXLV0002","2008-06","29.255","-96.76005","50.0","HALLETTSVILLE 17.1 SE, TX US","6",",N","4",",N","0",",N","0",",N","20080630","+,,N","20080611",",,N","0",",,N,30,+","24.1",",,N,11,","36.0",",,,N","0",",,,N"
"US1TXLV0002","2008-07","29.255","-96.76005","50.0","HALLETTSVILLE 17.1 SE, TX US","10",",N","8",",N","2",",N","0",",N","20080731","+,,N","20080724",",,N","0",",,N,31,+","39.6",",,N,24,","107.6",",,,N","0",",,,N"
"US1TXLV0002","2008-08","29.255","-96.76005","50.0","HALLETTSVILLE 17.1 SE, TX US","7",",N","5",",N","1",",N","0",",N","20080831","+,,N","20080825",",,N","0",",,N,31,+","31.5",",,N,25,","73.4",",,,N","0",",,,N"
"US1TXLV0002","2008-09","29.255","-96.76005","50.0","HALLETTSVILLE 17.1 SE, TX US","1",",N","1",",N","1",",N","0",",N","20080930","+,,N","20080915",",,N","0",",,N,30,+","36.3",",,N,15,","36.3",",,,N","0",",,,N"
"US1TXLV0002","2008-10","29.255","-96.76005","50.0","HALLETTSVILLE 17.1 SE, TX US","3",",N","2",",N","2",",N","0",",N","20081031","+,,N","20081016",",,N","0",",,N,31,+","38.4",",,N,16,","66.8",",,,N","0",",,,N"
"US1TXLV0002","2008-11","29.255","-96.76005","50.0","HALLETTSVILLE 17.1 SE, TX US","7",",N","3",",N","0",",N","0",",N","20081130","+,,N","20081112",",,N","0",",,N,30,+","18.8",",,N,12,","40.2",",,,N","0",",,,N"
"US1TXLV0002","2008-12","29.255","-96.76005","50.0","HALLETTSVILLE 17.1 SE, TX US","8",",N","2",",N","0",",N","","","","","20081210",",,N","","","5.6",",,N,10,","14.3",",,,N","",""
"US1TXLV0002","2009-01","29.255","-96.76005","50.0","HALLETTSVILLE 17.1 SE, TX US","4",",N","1",",N","0",",N","0","4,N","20090131","+,4,N","20090128",",,N","0","4,,N,31,+","3.0",",,N,28,","6.3",",,,N","0","4,,,N"
"US1TXLV0002","2009-02","29.255","-96.76005","50.0","HALLETTSVILLE 17.1 SE, TX US","3",",N","2",",N","0",",N","0","3,N","20090228","+,3,N","20090211",",,N","0","3,,N,28,+","4.8",",,N,11,","8.3",",,,N","0","3,,,N"
"US1TXLV0002","2009-03","29.255","-96.76005","50.0","HALLETTSVILLE 17.1 SE, TX US","8",",N","6",",N","0",",N","","","","","20090313",",,N","","","16.3",",,N,13,","52.8",",,,N","",""
"US1TXLV0002","2009-04","29.255","-96.76005","50.0","HALLETTSVILLE 17.1 SE, TX US","7",",N","4",",N","2",",N","","","","","20090419",",,N","","","142.2",",,N,19,","188.5",",,,N","",""
"US1TXLV0002","2009-05","29.255","-96.76005","50.0","HALLETTSVILLE 17.1 SE, TX US","3",",N","1",",N","0",",N","0","3,N","20090531","+,3,N","20090517",",,N","0","3,,N,31,+","5.6",",,N,17,","8.4",",,,N","0","3,,,N"
"US1TXLV0002","2009-06","29.255","-96.76005","50.0","HALLETTSVILLE 17.1 SE, TX US","2",",N","2",",N","0",",N","0","2,N","20090630","+,2,N","20090626",",,N","0","2,,N,30,+","11.9",",,N,26,","14.4",",,,N","0","2,,,N"
"US1TXLV0002","2009-07","29.255","-96.76005","50.0","HALLETTSVILLE 17.1 SE, TX US","1",",N","1",",N","0",",N","0","3,N","20090731","+,3,N","20090708",",,N","0","3,,N,31,+","5.3",",,N,08,","5.3",",,,N","0","3,,,N"
"US1TXLV0002","2009-08","29.255","-96.76005","50.0","HALLETTSVILLE 17.1 SE, TX US","5",",N","3",",N","1",",N","0","5,N","20090831","+,5,N","20090813",",,N","0","5,,N,31,+","67.6",",,N,13,","80.6",",,,N","0","5,,,N"
"US1TXLV0002","2009-09","29.255","-96.76005","50.0","HALLETTSVILLE 17.1 SE, TX US","10",",N","7",",N","1",",N","","","","","20090913",",,N","","","57.4",",,N,13,","145.1",",,,N","",""
"US1TXLV0002","2009-10","29.255","-96.76005","50.0","HALLETTSVILLE 17.1 SE, TX US","13",",N","9",",N","4",",N","","","","","20091004",",,N","","","79.5",",,N,04,","241.8",",,,N","",""
"US1TXLV0002","2009-11","29.255","-96.76005","50.0","HALLETTSVILLE 17.1 SE, TX US","6",",N","4",",N","2",",N","","","","","20091120",",,N","","","32.3",",,N,20,","88.1",",,,N","",""
"US1TXLV0002","2009-12","29.255","-96.76005","50.0","HALLETTSVILLE 17.1 SE, TX US","13",",N","7",",N","3",",N","","","","","20091212",",,N","","","59.2",",,N,12,","176.6",",,,N","",""
"US1TXLV0002","2010-01","29.255","-96.76005","50.0","HALLETTSVILLE 17.1 SE, TX US","5",",N","3",",N","2",",N","0","5,N","20100131","+,5,N","20100116",",,N","0","5,,N,31,+","52.3",",,N,16,","113.7",",,,N","0","5,,,N"
"US1TXLV0002","2010-02","29.255","-96.76005","50.0","HALLETTSVILLE 17.1 SE, TX US","7",",N","7",",N","1",",N","","","","","20100212",",,N","","","29.5",",,N,12,","70.8",",,,N","",""
"US1TXLV0002","2010-03","29.255","-96.76005","50.0","HALLETTSVILLE 17.1 SE, TX US","6",",N","5",",N","0",",N","","","","","20100321",",,N","","","21.8",",,N,21,","59.7",",,,N","",""
"US1TXLV0002","2010-04","29.255","-96.76005","50.0","HALLETTSVILLE 17.1 SE, TX US","7",",N","2",",N","0",",N","","","","","20100417",",,N","","","6.6",",,N,17,","15.5",",,,N","",""
"US1TXLV0002","2010-05","29.255","-96.76005","50.0","HALLETTSVILLE 17.1 SE, TX US","4",",N","4",",N","1",",N","0","5,N","20100531","+,5,N","20100515",",,N","0","5,,N,31,+","99.8",",,N,15,","130.0",",,,N","0","5,,,N"
"US1TXLV0002","2010-06","29.255","-96.76005","50.0","HALLETTSVILLE 17.1 SE, TX US","6",",N","6",",N","1",",N","","","","","20100603",",,N","","","31.0",",,N,03,","54.3",",,,N","",""
"US1TXLV0002","2010-07","29.255","-96.76005","50.0","HALLETTSVILLE 17.1 SE, TX US","12",",N","8",",N","3",",N","","","","","20100709",",,N","","","75.2",",,N,09,","198.2",",,,N","",""
"US1TXLV0002","2010-08","29.255","-96.76005","50.0","HALLETTSVILLE 17.1 SE, TX US","4",",N","1",",N","0",",N","0","4,N","20100831","+,4,N","20100830",",,N","0","4,,N,31,+","5.3",",,N,30,","9.9",",,,N","0","4,,,N"
