"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1TXMCL065","2020-12","31.33054","-97.228899","167.0","BRUCEVILLE EDDY 2.1 NE, TX US","8",",N","5",",N","1",",N","","","","","20201231",",,N","","","35.6",",,N,31,","62.0",",,,N","",""
"US1TXMCL065","2021-01","31.33054","-97.228899","167.0","BRUCEVILLE EDDY 2.1 NE, TX US","6","1,N","3","1,N","1","1,N","1","5,N","20210111",",5,N","20210101",",1,N","102","5,,N,11,","48.8","1,,N,01,","74.2","1,,,N","102","5,,,N"
"US1TXMCL065","2021-02","31.33054","-97.228899","167.0","BRUCEVILLE EDDY 2.1 NE, TX US","5",",N","2",",N","1",",N","1","4,N","20210215",",4,N","20210212",",,N","152","4,,N,15,","29.0",",,N,12,","53.7",",,,N","152","4,,,N"
"US1TXMCL065","2021-03","31.33054","-97.228899","167.0","BRUCEVILLE EDDY 2.1 NE, TX US","4",",N","4",",N","0",",N","0","4,N","20210331","+,4,N","20210323",",,N","0","4,,N,31,+","15.2",",,N,23,","30.4",",,,N","0","4,,,N"
"US1TXMCL065","2021-04","31.33054","-97.228899","167.0","BRUCEVILLE EDDY 2.1 NE, TX US","7",",N","7",",N","1",",N","","","","","20210424",",,N","","","33.0",",,N,24,","102.6",",,,N","",""
"US1TXMCL065","2021-05","31.33054","-97.228899","167.0","BRUCEVILLE EDDY 2.1 NE, TX US","12","1,N","11","1,N","2","1,N","","","","","20210529",",1,N","","","51.3","1,,N,29,","180.8","1,,,N","",""
"US1TXMCL065","2021-06","31.33054","-97.228899","167.0","BRUCEVILLE EDDY 2.1 NE, TX US","6",",N","5",",N","2",",N","","","","","20210608",",,N","","","66.0",",,N,08,","150.4",",,,N","",""
"US1TXMCL065","2021-07","31.33054","-97.228899","167.0","BRUCEVILLE EDDY 2.1 NE, TX US","8",",N","7",",N","1",",N","","","","","20210713",",,N","","","136.7",",,N,13,","210.0",",,,N","",""
"US1TXMCL065","2021-08","31.33054","-97.228899","167.0","BRUCEVILLE EDDY 2.1 NE, TX US","4",",N","4",",N","1",",N","0","4,N","20210831","+,4,N","20210818",",,N","0","4,,N,31,+","74.9",",,N,18,","130.7",",,,N","0","4,,,N"
"US1TXMCL065","2021-09","31.33054","-97.228899","167.0","BRUCEVILLE EDDY 2.1 NE, TX US","1",",N","1",",N","1",",N","0","1,N","20210930","+,1,N","20210929",",,N","0","1,,N,30,+","33.3",",,N,29,","33.3",",,,N","0","1,,,N"
"US1TXMCL065","2021-10","31.33054","-97.228899","167.0","BRUCEVILLE EDDY 2.1 NE, TX US","6",",N","5",",N","3",",N","","","","","20211014",",,N","","","96.5",",,N,14,","192.5",",,,N","",""
"US1TXMCL065","2021-11","31.33054","-97.228899","167.0","BRUCEVILLE EDDY 2.1 NE, TX US","3","2,N","3","2,N","1","2,N","0","5,N","20211130","+,5,N","20211104",",2,N","0","5,,N,30,+","25.4","2,,N,04,","42.4","2,,,N","0","5,,,N"
"US1TXMCL065","2021-12","31.33054","-97.228899","167.0","BRUCEVILLE EDDY 2.1 NE, TX US","2",",N","2",",N","0",",N","0","2,N","20211231","+,2,N","20211206",",,N","0","2,,N,31,+","5.1",",,N,06,","9.7",",,,N","0","2,,,N"
"US1TXMCL065","2022-01","31.33054","-97.228899","167.0","BRUCEVILLE EDDY 2.1 NE, TX US","3",",N","2",",N","0",",N","0","3,N","20220131","+,3,N","20220125",",,N","0","3,,N,31,+","10.9",",,N,25,","15.9",",,,N","0","3,,,N"
"US1TXMCL065","2022-02","31.33054","-97.228899","167.0","BRUCEVILLE EDDY 2.1 NE, TX US","6",",N","3",",N","1",",N","","","","","20220203",",,N","","","42.7",",,N,03,","70.1",",,,N","",""
"US1TXMCL065","2022-03","31.33054","-97.228899","167.0","BRUCEVILLE EDDY 2.1 NE, TX US","4",",N","2",",N","1",",N","0","4,N","20220331","+,4,N","20220322",",,N","0","4,,N,31,+","33.0",",,N,22,","48.4",",,,N","0","4,,,N"
"US1TXMCL065","2022-04","31.33054","-97.228899","167.0","BRUCEVILLE EDDY 2.1 NE, TX US","3",",N","3",",N","1",",N","0","3,N","20220430","+,3,N","20220426",",,N","0","3,,N,30,+","55.9",",,N,26,","66.0",",,,N","0","3,,,N"
"US1TXMCL065","2022-05","31.33054","-97.228899","167.0","BRUCEVILLE EDDY 2.1 NE, TX US","6",",N","5",",N","1",",N","","","","","20220525",",,N","","","36.6",",,N,25,","78.1",",,,N","",""
"US1TXMCL065","2022-06","31.33054","-97.228899","167.0","BRUCEVILLE EDDY 2.1 NE, TX US","2",",N","2",",N","1",",N","0","2,N","20220630","+,2,N","20220628",",,N","0","2,,N,30,+","27.9",",,N,28,","39.1",",,,N","0","2,,,N"
"US1TXMCL065","2022-07","31.33054","-97.228899","167.0","BRUCEVILLE EDDY 2.1 NE, TX US","1",",N","0",",N","0",",N","0","1,N","20220731","+,1,N","20220715",",,N","0","1,,N,31,+","0.5",",,N,15,","0.5",",,,N","0","1,,,N"
"US1TXMCL065","2022-08","31.33054","-97.228899","167.0","BRUCEVILLE EDDY 2.1 NE, TX US","5",",N","5",",N","0",",N","0","5,N","20220831","+,5,N","20220823",",,N","0","5,,N,31,+","16.5",",,N,23,","57.1",",,,N","0","5,,,N"
"US1TXMCL065","2022-10","31.33054","-97.228899","167.0","BRUCEVILLE EDDY 2.1 NE, TX US","3",",N","3",",N","1",",N","0","3,N","20221031","+,3,N","20221029",",,N","0","3,,N,31,+","29.5",",,N,29,","51.3",",,,N","0","3,,,N"
"US1TXMCL065","2022-11","31.33054","-97.228899","167.0","BRUCEVILLE EDDY 2.1 NE, TX US","10",",N","9",",N","4",",N","","","","","20221112",",,N","","","54.9",",,N,12,","180.9",",,,N","",""
"US1TXMCL065","2022-12","31.33054","-97.228899","167.0","BRUCEVILLE EDDY 2.1 NE, TX US","3",",N","3",",N","0",",N","0","3,N","20221231","+,3,N","20221211",",,N","0","3,,N,31,+","5.1",",,N,11,","12.2",",,,N","0","3,,,N"
"US1TXMCL065","2023-01","31.33054","-97.228899","167.0","BRUCEVILLE EDDY 2.1 NE, TX US","3",",N","3",",N","0",",N","0","3,N","20230131","+,3,N","20230125",",,N","0","3,,N,31,+","22.9",",,N,25,","29.2",",,,N","0","3,,,N"
"US1TXMCL065","2023-02","31.33054","-97.228899","167.0","BRUCEVILLE EDDY 2.1 NE, TX US","5",",N","5",",N","0",",N","0","5,N","20230228","+,5,N","20230202",",,N","0","5,,N,28,+","21.3",",,N,02,","56.9",",,,N","0","5,,,N"
"US1TXMCL065","2023-03","31.33054","-97.228899","167.0","BRUCEVILLE EDDY 2.1 NE, TX US","5",",N","5",",N","0",",N","0","5,N","20230331","+,5,N","20230303",",,N","0","5,,N,31,+","23.4",",,N,03,","44.5",",,,N","0","5,,,N"
"US1TXMCL065","2023-04","31.33054","-97.228899","167.0","BRUCEVILLE EDDY 2.1 NE, TX US","5",",N","5",",N","2",",N","0","5,N","20230430","+,5,N","20230421",",,N","0","5,,N,30,+","90.2",",,N,21,","154.6",",,,N","0","5,,,N"
"US1TXMCL065","2023-05","31.33054","-97.228899","167.0","BRUCEVILLE EDDY 2.1 NE, TX US","9",",N","9",",N","2",",N","","","","","20230520",",,N","","","38.1",",,N,20,","160.3",",,,N","",""
"US1TXMCL065","2023-09","31.33054","-97.228899","167.0","BRUCEVILLE EDDY 2.1 NE, TX US","4",",N","4",",N","1",",N","0","4,N","20230930","+,4,N","20230914",",,N","0","4,,N,30,+","25.4",",,N,14,","51.6",",,,N","0","4,,,N"
"US1TXMCL065","2023-10","31.33054","-97.228899","167.0","BRUCEVILLE EDDY 2.1 NE, TX US","7",",N","6",",N","2",",N","","","","","20231026",",,N","","","47.5",",,N,26,","146.1",",,,N","",""
"US1TXMCL065","2023-11","31.33054","-97.228899","167.0","BRUCEVILLE EDDY 2.1 NE, TX US","2",",N","2",",N","1",",N","0","2,N","20231130","+,2,N","20231110",",,N","0","2,,N,30,+","26.7",",,N,10,","32.5",",,,N","0","2,,,N"
"US1TXMCL065","2023-12","31.33054","-97.228899","167.0","BRUCEVILLE EDDY 2.1 NE, TX US","4",",N","4",",N","1",",N","0","4,N","20231231","+,4,N","20231224",",,N","0","4,,N,31,+","50.8",",,N,24,","87.6",",,,N","0","4,,,N"
"US1TXMCL065","2024-01","31.33054","-97.228899","167.0","BRUCEVILLE EDDY 2.1 NE, TX US","8",",N","8",",N","2",",N","","","","","20240122",",,N","","","41.1",",,N,22,","124.1",",,,N","",""
"US1TXMCL065","2024-02","31.33054","-97.228899","167.0","BRUCEVILLE EDDY 2.1 NE, TX US","3",",N","3",",N","1",",N","0","3,N","20240229","+,3,N","20240211",",,N","0","3,,N,29,+","28.7",",,N,11,","42.9",",,,N","0","3,,,N"
"US1TXMCL065","2024-03","31.33054","-97.228899","167.0","BRUCEVILLE EDDY 2.1 NE, TX US","7","5,N","6","5,N","1","5,N","","","","","20240322",",5,N","","","25.4","5,,N,22,","83.1","5,,,N","",""
