"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1TXMNG074","2021-01","30.1358532","-95.7671191","67.7","MAGNOLIA 5.3 SSW, TX US","7",",N","5",",N","2",",N","","","","","20210101",",,N","","","41.4",",,N,01,","101.9",",,,N","",""
"US1TXMNG074","2021-02","30.1358532","-95.7671191","67.7","MAGNOLIA 5.3 SSW, TX US","8","3,N","3","3,N","0","3,N","","","","","20210206",",3,N","","","4.1","3,,N,06,","18.1","3,,,N","",""
"US1TXMNG074","2021-03","30.1358532","-95.7671191","67.7","MAGNOLIA 5.3 SSW, TX US","8","2,N","3","2,N","0","2,N","","","","","20210302",",2,N","","","13.7","2,,N,02,","35.4","2,,,N","",""
"US1TXMNG074","2021-04","30.1358532","-95.7671191","67.7","MAGNOLIA 5.3 SSW, TX US","10",",N","4",",N","1",",N","","","","","20210430",",,N","","","40.6",",,N,30,","82.1",",,,N","",""
"US1TXMNG074","2021-05","30.1358532","-95.7671191","67.7","MAGNOLIA 5.3 SSW, TX US","18",",N","13",",N","5",",N","","","","","20210519",",,N","","","71.1",",,N,19,","305.1",",,,N","",""
"US1TXMNG074","2021-06","30.1358532","-95.7671191","67.7","MAGNOLIA 5.3 SSW, TX US","12",",N","7",",N","0",",N","","","","","20210604",",,N","","","15.5",",,N,04,","77.8",",,,N","",""
"US1TXMNG074","2021-07","30.1358532","-95.7671191","67.7","MAGNOLIA 5.3 SSW, TX US","13",",N","10",",N","4",",N","","","","","20210709",",,N","","","43.2",",,N,09,","181.9",",,,N","",""
"US1TXMNG074","2021-08","30.1358532","-95.7671191","67.7","MAGNOLIA 5.3 SSW, TX US","13",",N","9",",N","1",",N","","","","","20210803",",,N","","","51.3",",,N,03,","113.3",",,,N","",""
"US1TXMNG074","2021-09","30.1358532","-95.7671191","67.7","MAGNOLIA 5.3 SSW, TX US","9",",N","6",",N","2",",N","","","","","20210929",",,N","","","37.8",",,N,29,","99.1",",,,N","",""
"US1TXMNG074","2021-10","30.1358532","-95.7671191","67.7","MAGNOLIA 5.3 SSW, TX US","9",",N","8",",N","2",",N","","","","","20211002",",,N","","","43.2",",,N,02,","144.5",",,,N","",""
"US1TXMNG074","2021-11","30.1358532","-95.7671191","67.7","MAGNOLIA 5.3 SSW, TX US","5",",N","4",",N","0",",N","","","","","20211104",",,N","","","22.4",",,N,04,","58.2",",,,N","",""
"US1TXMNG074","2021-12","30.1358532","-95.7671191","67.7","MAGNOLIA 5.3 SSW, TX US","4",",N","3",",N","1",",N","0","5,N","20211231","+,5,N","20211219",",,N","0","5,,N,31,+","44.5",",,N,19,","52.7",",,,N","0","5,,,N"
"US1TXMNG074","2022-01","30.1358532","-95.7671191","67.7","MAGNOLIA 5.3 SSW, TX US","5","1,N","4","1,N","0","1,N","0","5,N","20220131","+,5,N","20220125",",1,N","0","5,,N,31,+","13.0","1,,N,25,","39.0","1,,,N","0","5,,,N"
"US1TXMNG074","2022-02","30.1358532","-95.7671191","67.7","MAGNOLIA 5.3 SSW, TX US","11",",N","6",",N","1",",N","","","","","20220201",",,N","","","35.6",",,N,01,","67.7",",,,N","",""
"US1TXMNG074","2022-03","30.1358532","-95.7671191","67.7","MAGNOLIA 5.3 SSW, TX US","8",",N","7",",N","1",",N","","","","","20220322",",,N","","","39.4",",,N,22,","92.0",",,,N","",""
