"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1TXRD0053","2022-08","35.00472","-101.86111","1103.4","CANYON 3.8 ENE, TX US","5",",N","4",",N","0",",N","0","4,N","20220831","+,4,N","20220821",",,N","0","4,,N,31,+","12.2",",,N,21,","36.3",",,,N","0","4,,,N"
"US1TXRD0053","2022-09","35.00472","-101.86111","1103.4","CANYON 3.8 ENE, TX US","1",",N","1",",N","0",",N","0","1,N","20220930","+,1,N","20220915",",,N","0","1,,N,30,+","4.6",",,N,15,","4.6",",,,N","0","1,,,N"
"US1TXRD0053","2022-10","35.00472","-101.86111","1103.4","CANYON 3.8 ENE, TX US","9",",N","5",",N","1",",N","","","","","20221025",",,N","","","29.2",",,N,25,","57.0",",,,N","",""
"US1TXRD0053","2022-11","35.00472","-101.86111","1103.4","CANYON 3.8 ENE, TX US","4",",N","2",",N","0",",N","0","3,N","20221126",",3,N","20221126",",,N","0","3,T,N,26,","3.0",",,N,26,","7.3",",,,N","0","3,T,,N"
"US1TXRD0053","2022-12","35.00472","-101.86111","1103.4","CANYON 3.8 ENE, TX US","1",",N","1",",N","0",",N","0","1,N","20221231","+,1,N","20221204",",,N","0","1,,N,31,+","7.4",",,N,04,","7.4",",,,N","0","1,,,N"
"US1TXRD0053","2023-01","35.00472","-101.86111","1103.4","CANYON 3.8 ENE, TX US","3",",N","1",",N","0",",N","1","1,N","20230124",",1,N","20230124",",,N","56","1,,N,24,","5.3",",,N,24,","8.1",",,,N","69","1,,,N"
"US1TXRD0053","2023-04","35.00472","-101.86111","1103.4","CANYON 3.8 ENE, TX US","5",",N","4",",N","0",",N","","","","","20230426",",,N","","","5.1",",,N,26,","16.7",",,,N","",""
"US1TXRD0053","2023-05","35.00472","-101.86111","1103.4","CANYON 3.8 ENE, TX US","13",",N","11",",N","2",",N","","","","","20230519",",,N","","","56.1",",,N,19,","197.0",",,,N","",""
"US1TXRD0053","2023-06","35.00472","-101.86111","1103.4","CANYON 3.8 ENE, TX US","8",",N","5",",N","2",",N","","","","","20230601",",,N","","","87.9",",,N,01,","220.0",",,,N","",""
"US1TXRD0053","2023-09","35.00472","-101.86111","1103.4","CANYON 3.8 ENE, TX US","5",",N","3",",N","0",",N","","","","","20230916","+,,N","","","12.2",",,N,16,+","30.5",",,,N","",""
"US1TXRD0053","2023-10","35.00472","-101.86111","1103.4","CANYON 3.8 ENE, TX US","2","1,N","2","1,N","0","1,N","0","5,N","20231031","+,5,N","20231025",",1,N","0","5,,N,31,+","10.9","1,,N,25,","17.8","1,,,N","0","5,,,N"
"US1TXRD0053","2023-11","35.00472","-101.86111","1103.4","CANYON 3.8 ENE, TX US","2",",N","0",",N","0",",N","0","3,N","20231130","+,3,N","20231119",",,N","0","3,,N,30,+","2.3",",,N,19,","2.8",",,,N","0","3,,,N"
"US1TXRD0053","2023-12","35.00472","-101.86111","1103.4","CANYON 3.8 ENE, TX US","6",",N","4",",N","0",",N","","","","","20231214",",,N","","","17.8",",,N,14,","46.0",",,,N","",""
"US1TXRD0053","2024-02","35.00472","-101.86111","1103.4","CANYON 3.8 ENE, TX US","","","","","","","","","","","","","","","","","4.8",",a,,N","",""
"US1TXRD0053","2024-04","35.00472","-101.86111","1103.4","CANYON 3.8 ENE, TX US","","","","","","","","","","","","","","","","","89.7","1,a,,N","",""
"US1TXRD0053","2024-05","35.00472","-101.86111","1103.4","CANYON 3.8 ENE, TX US","7",",N","6",",N","0",",N","","","","","20240513",",,N","","","7.1",",,N,13,","30.2",",,,N","",""
"US1TXRD0053","2024-06","35.00472","-101.86111","1103.4","CANYON 3.8 ENE, TX US","9",",N","8",",N","2",",N","","","","","20240610",",,N","","","68.3",",,N,10,","160.6",",,,N","",""
