"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1TXWM0339","2023-02","30.687146","-97.909036","312.4","LIBERTY HILL 1.7 NNE, TX US","","","","","","","","","","","","","","","","","56.1","1,a,,N","",""
"US1TXWM0339","2023-03","30.687146","-97.909036","312.4","LIBERTY HILL 1.7 NNE, TX US","","","","","","","","","","","","","","","","","7.7","4,a,,N","",""
"US1TXWM0339","2023-04","30.687146","-97.909036","312.4","LIBERTY HILL 1.7 NNE, TX US","9","2,N","8","2,N","2","2,N","","","","","20230421",",2,N","","","36.6","2,,N,21,","129.5","2,,,N","",""
"US1TXWM0339","2023-06","30.687146","-97.909036","312.4","LIBERTY HILL 1.7 NNE, TX US","6",",N","0",",N","0",",N","","","","","20230622",",,N","","","1.3",",,N,22,","4.9",",,,N","",""
"US1TXWM0339","2023-07","30.687146","-97.909036","312.4","LIBERTY HILL 1.7 NNE, TX US","1",",N","1",",N","0",",N","0","2,N","20230731","+,2,N","20230702",",,N","0","2,,N,31,+","2.8",",,N,02,","2.8",",,,N","0","2,,,N"
"US1TXWM0339","2023-08","30.687146","-97.909036","312.4","LIBERTY HILL 1.7 NNE, TX US","1",",N","1",",N","0",",N","0","1,N","20230831","+,1,N","20230828",",,N","0","1,,N,31,+","4.6",",,N,28,","4.6",",,,N","0","1,,,N"
"US1TXWM0339","2023-09","30.687146","-97.909036","312.4","LIBERTY HILL 1.7 NNE, TX US","5","2,N","4","2,N","0","2,N","","","","","20230914",",2,N","","","23.6","2,,N,14,","66.7",",a,,N","",""
"US1TXWM0339","2023-10","30.687146","-97.909036","312.4","LIBERTY HILL 1.7 NNE, TX US","7","2,N","6","2,N","2","2,N","","","","","20231024",",2,N","","","34.5","2,,N,24,","110.2",",a,,N","",""
"US1TXWM0339","2023-11","30.687146","-97.909036","312.4","LIBERTY HILL 1.7 NNE, TX US","7",",N","2",",N","0",",N","","","","","20231110",",,N","","","20.1",",,N,10,","27.1",",,,N","",""
"US1TXWM0339","2024-01","30.687146","-97.909036","312.4","LIBERTY HILL 1.7 NNE, TX US","","","","","","","","","","","","","","","","","106.5","2,a,,N","",""
"US1TXWM0339","2024-02","30.687146","-97.909036","312.4","LIBERTY HILL 1.7 NNE, TX US","3",",N","2",",N","0",",N","0","4,N","20240229","+,4,N","20240211",",,N","0","4,,N,29,+","19.1",",,N,11,","28.0",",,,N","0","4,,,N"
"US1TXWM0339","2024-03","30.687146","-97.909036","312.4","LIBERTY HILL 1.7 NNE, TX US","8",",N","4",",N","0",",N","","","","","20240325",",,N","","","10.9",",,N,25,","34.6",",,,N","",""
"US1TXWM0339","2024-04","30.687146","-97.909036","312.4","LIBERTY HILL 1.7 NNE, TX US","8",",N","3",",N","1",",N","","","","","20240410",",,N","","","36.8",",,N,10,","70.2",",,,N","",""
"US1TXWM0339","2024-05","30.687146","-97.909036","312.4","LIBERTY HILL 1.7 NNE, TX US","10","4,N","6","4,N","1","4,N","","","","","20240517",",4,N","","","55.4","4,,N,17,","141.6",",a,,N","",""
