"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1UTSL0121","2019-11","40.68815","-111.8479","1330.5","MILLCREEK 1.4 E, UT US","7","2,N","5","2,N","0","2,N","1","5,N","20191126",",5,N","20191130",",2,N","25","5,,N,26,","8.4","2,,N,30,","29.0","2,,,N","56","5,,,N"
"US1UTSL0121","2019-12","40.68815","-111.8479","1330.5","MILLCREEK 1.4 E, UT US","10","3,N","7","3,N","0","3,N","","","","","20191225",",3,N","","","10.7","3,,N,25,","44.1","3,,,N","",""
"US1UTSL0121","2020-01","40.68815","-111.8479","1330.5","MILLCREEK 1.4 E, UT US","19","1,N","8","1,N","0","1,N","","","","","20200101",",1,N","","","17.8","1,,N,01,","62.8","1,,,N","",""
"US1UTSL0121","2020-02","40.68815","-111.8479","1330.5","MILLCREEK 1.4 E, UT US","5","4,N","4","4,N","0","4,N","","","","","20200203",",4,N","","","11.7","4,,N,03,","36.3","4,,,N","",""
"US1UTSL0121","2020-03","40.68815","-111.8479","1330.5","MILLCREEK 1.4 E, UT US","11","2,N","5","2,N","0","2,N","","","","","20200302",",2,N","","","11.9","2,,N,02,","45.3","2,,,N","",""
"US1UTSL0121","2020-04","40.68815","-111.8479","1330.5","MILLCREEK 1.4 E, UT US","7","3,N","1","3,N","0","3,N","","","","","20200416",",3,N","","","3.3","3,,N,16,","6.0","3,,,N","",""
"US1UTSL0121","2020-05","40.68815","-111.8479","1330.5","MILLCREEK 1.4 E, UT US","4","5,N","1","5,N","0","5,N","","","","","20200523",",5,N","","","13.2","5,,N,23,","14.8","5,,,N","",""
"US1UTSL0121","2020-06","40.68815","-111.8479","1330.5","MILLCREEK 1.4 E, UT US","7","1,N","5","1,N","0","1,N","","","","","20200617",",1,N","","","17.5","1,,N,17,","47.6","1,,,N","",""
"US1UTSL0121","2020-07","40.68815","-111.8479","1330.5","MILLCREEK 1.4 E, UT US","4","2,N","0","2,N","0","2,N","","","","","20200727",",2,N","","","1.3","2,,N,27,","3.1","2,,,N","",""
"US1UTSL0121","2020-08","40.68815","-111.8479","1330.5","MILLCREEK 1.4 E, UT US","1",",N","0",",N","0",",N","0","1,N","20200831","+,1,N","20200821",",,N","0","1,,N,31,+","0.3",",,N,21,","0.3",",,,N","0","1,,,N"
"US1UTSL0121","2020-09","40.68815","-111.8479","1330.5","MILLCREEK 1.4 E, UT US","3",",N","0",",N","0",",N","0","3,N","20200930","+,3,N","20200908",",,N","0","3,,N,30,+","1.3",",,N,08,","1.9",",,,N","0","3,,,N"
"US1UTSL0121","2020-10","40.68815","-111.8479","1330.5","MILLCREEK 1.4 E, UT US","3","1,N","2","1,N","0","1,N","0","2,N","20201026",",2,N","20201026",",1,N","23","2,,N,26,","3.3","1,,N,26,","6.9","1,,,N","23","2,,,N"
"US1UTSL0121","2020-11","40.68815","-111.8479","1330.5","MILLCREEK 1.4 E, UT US","7",",N","4",",N","0",",N","1","2,N","20201109",",2,N","20201110",",,N","25","2,,N,09,","6.6",",,N,10,","22.9",",,,N","79","2,,,N"
"US1UTSL0121","2020-12","40.68815","-111.8479","1330.5","MILLCREEK 1.4 E, UT US","6",",N","1",",N","0",",N","0","1,N","20201212",",1,N","20201218",",,N","18","1,,N,12,","5.8",",,N,18,","9.5",",,,N","31","1,,,N"
"US1UTSL0121","2021-01","40.68815","-111.8479","1330.5","MILLCREEK 1.4 E, UT US","5",",N","2",",N","0",",N","0","2,N","20210124",",2,N","20210130",",,N","23","2,,N,24,","5.1",",,N,30,","11.8",",,,N","36","2,,,N"
"US1UTSL0121","2021-02","40.68815","-111.8479","1330.5","MILLCREEK 1.4 E, UT US","10",",N","5",",N","0",",N","3","4,N","20210216",",4,N","20210217",",,N","48","4,,N,16,","19.3",",,N,17,","63.3",",,,N","152","4,,,N"
"US1UTSL0121","2021-03","40.68815","-111.8479","1330.5","MILLCREEK 1.4 E, UT US","8",",N","1",",N","0",",N","","","","","20210321",",,N","","","23.1",",,N,21,","30.3",",,,N","",""
"US1UTSL0121","2021-04","40.68815","-111.8479","1330.5","MILLCREEK 1.4 E, UT US","7",",N","3",",N","0",",N","","","","","20210427",",,N","","","25.1",",,N,27,","38.9",",,,N","",""
"US1UTSL0121","2021-05","40.68815","-111.8479","1330.5","MILLCREEK 1.4 E, UT US","5",",N","2",",N","0",",N","0","4,N","20210531","+,4,N","20210523",",,N","0","4,,N,31,+","3.3",",,N,23,","10.7",",,,N","0","4,,,N"
"US1UTSL0121","2021-06","40.68815","-111.8479","1330.5","MILLCREEK 1.4 E, UT US","2",",N","1",",N","0",",N","0","3,N","20210630","+,3,N","20210625",",,N","0","3,,N,30,+","2.8",",,N,25,","4.3",",,,N","0","3,,,N"
"US1UTSL0121","2021-07","40.68815","-111.8479","1330.5","MILLCREEK 1.4 E, UT US","6",",N","2",",N","0",",N","","","","","20210730",",,N","","","8.9",",,N,30,","14.1",",,,N","",""
"US1UTSL0121","2021-08","40.68815","-111.8479","1330.5","MILLCREEK 1.4 E, UT US","6",",N","6",",N","1",",N","","","","","20210819",",,N","","","46.0",",,N,19,","85.9",",,,N","",""
"US1UTSL0121","2021-09","40.68815","-111.8479","1330.5","MILLCREEK 1.4 E, UT US","6",",N","1",",N","0",",N","","","","","20210912",",,N","","","2.5",",,N,12,","7.4",",,,N","",""
"US1UTSL0121","2021-10","40.68815","-111.8479","1330.5","MILLCREEK 1.4 E, UT US","13","1,N","9","1,N","1","1,N","","","","","20211026",",1,N","","","31.8","1,,N,26,","128.2","1,,,N","",""
"US1UTSL0121","2021-11","40.68815","-111.8479","1330.5","MILLCREEK 1.4 E, UT US","4",",N","2",",N","0",",N","0","3,N","20211130","+,3,N","20211110",",,N","0","3,,N,30,+","5.6",",,N,10,","10.9",",,,N","0","3,,,N"
"US1UTSL0121","2022-02","40.68815","-111.8479","1330.5","MILLCREEK 1.4 E, UT US","6",",N","1",",N","0",",N","0",",N","20220224","+,,N","20220202",",,N","10",",,N,24,+","3.8",",,N,02,","8.4",",,,N","20",",,,N"
"US1UTSL0121","2022-03","40.68815","-111.8479","1330.5","MILLCREEK 1.4 E, UT US","6",",N","4",",N","0",",N","0","4,N","20220306",",4,N","20220321",",,N","13","4,,N,06,","5.8",",,N,21,","18.8",",,,N","16","4,,,N"
"US1UTSL0121","2022-07","40.68815","-111.8479","1330.5","MILLCREEK 1.4 E, UT US","5",",N","1",",N","0",",N","0","4,N","20220731","+,4,N","20220714",",,N","0","4,,N,31,+","11.9",",,N,14,","17.0",",,,N","0","4,,,N"
"US1UTSL0121","2022-08","40.68815","-111.8479","1330.5","MILLCREEK 1.4 E, UT US","11","3,N","2","3,N","0","3,N","","","","","20220807",",3,N","","","8.6","3,,N,07,","19.0","3,,,N","",""
"US1UTSL0121","2022-09","40.68815","-111.8479","1330.5","MILLCREEK 1.4 E, UT US","6",",N","2",",N","0",",N","","","","","20220916",",,N","","","4.6",",,N,16,","9.2",",,,N","",""
