"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1VAAC0006","2008-05","37.673","-75.7975","0.0","ONANCOCK 3.9 SW, VA US","12","1,N","7","1,N","3","1,N","0","1,N","20080531","+,1,N","20080512",",1,N","0","1,,N,31,+","36.1","1,,N,12,","147.7","1,,,N","0","1,,,N"
"US1VAAC0006","2008-06","37.673","-75.7975","0.0","ONANCOCK 3.9 SW, VA US","10","1,N","8","1,N","2","1,N","0","1,N","20080630","+,1,N","20080601",",1,N","0","1,,N,30,+","46.2","1,,N,01,","149.0","1,,,N","0","1,,,N"
"US1VAAC0006","2008-09","37.673","-75.7975","0.0","ONANCOCK 3.9 SW, VA US","7","1,N","5","1,N","2","1,N","0","1,N","20080930","+,1,N","20080926",",1,N","0","1,,N,30,+","52.3","1,,N,26,","125.5","1,,,N","0","1,,,N"
"US1VAAC0006","2008-12","37.673","-75.7975","0.0","ONANCOCK 3.9 SW, VA US","11",",N","5",",N","2",",N","","","","","20081211",",,N","","","45.2",",,N,11,","125.5",",,,N","",""
"US1VAAC0006","2009-01","37.673","-75.7975","0.0","ONANCOCK 3.9 SW, VA US","10",",N","8",",N","0",",N","","","","","20090129",",,N","","","9.1",",,N,29,","47.6",",,,N","",""
"US1VAAC0006","2009-04","37.673","-75.7975","0.0","ONANCOCK 3.9 SW, VA US","10",",N","9",",N","0",",N","","","","","20090407",",,N","","","20.3",",,N,07,","82.7",",,,N","",""
"US1VAAC0006","2009-05","37.673","-75.7975","0.0","ONANCOCK 3.9 SW, VA US","12","3,N","8","3,N","0","3,N","","","","","20090518",",3,N","","","17.5","3,,N,18,","67.9","3,,,N","",""
"US1VAAC0006","2009-07","37.673","-75.7975","0.0","ONANCOCK 3.9 SW, VA US","7","5,N","7","5,N","2","5,N","","","","","20090727",",5,N","","","72.4","5,,N,27,","133.1",",a,,N","",""
"US1VAAC0006","2009-08","37.673","-75.7975","0.0","ONANCOCK 3.9 SW, VA US","10",",N","7",",N","2",",N","","","","","20090823",",,N","","","35.3",",,N,23,","106.5",",,,N","",""
"US1VAAC0006","2009-09","37.673","-75.7975","0.0","ONANCOCK 3.9 SW, VA US","9","2,N","6","2,N","2","2,N","","","","","20090908",",2,N","","","54.6","2,,N,08,","108.3","2,,,N","",""
"US1VAAC0006","2009-10","37.673","-75.7975","0.0","ONANCOCK 3.9 SW, VA US","9",",N","8",",N","1",",N","","","","","20091016",",,N","","","25.9",",,N,16,","96.1",",,,N","",""
"US1VAAC0006","2010-01","37.673","-75.7975","0.0","ONANCOCK 3.9 SW, VA US","9",",N","7",",N","2",",N","","","","","20100131",",,N","","","27.2",",,N,31,","94.1",",,,N","",""
