"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1VAMX0007","2021-04","37.5426","-76.4971","3.7","HARTFIELD 2.9 W, VA US","11",",N","8",",N","0",",N","","","","","20210401",",,N","","","17.8",",,N,01,","57.2",",,,N","",""
"US1VAMX0007","2021-05","37.5426","-76.4971","3.7","HARTFIELD 2.9 W, VA US","6",",N","4",",N","1",",N","","","","","20210530",",,N","","","32.3",",,N,30,","67.3",",,,N","",""
"US1VAMX0007","2021-06","37.5426","-76.4971","3.7","HARTFIELD 2.9 W, VA US","10",",N","10",",N","3",",N","","","","","20210627",",,N","","","44.2",",,N,27,","171.8",",,,N","",""
"US1VAMX0007","2021-07","37.5426","-76.4971","3.7","HARTFIELD 2.9 W, VA US","7","1,N","6","1,N","2","1,N","","","","","20210709",",1,N","","","75.9","1,,N,09,","201.7","1,,,N","",""
"US1VAMX0007","2021-08","37.5426","-76.4971","3.7","HARTFIELD 2.9 W, VA US","13",",N","12",",N","3",",N","","","","","20210808",",,N","","","56.1",",,N,08,","197.7",",,,N","",""
"US1VAMX0007","2021-09","37.5426","-76.4971","3.7","HARTFIELD 2.9 W, VA US","6",",N","5",",N","1",",N","","","","","20210924",",,N","","","26.2",",,N,24,","69.6",",,,N","",""
"US1VAMX0007","2021-10","37.5426","-76.4971","3.7","HARTFIELD 2.9 W, VA US","11",",N","8",",N","1",",N","","","","","20211030",",,N","","","41.4",",,N,30,","91.7",",,,N","",""
"US1VAMX0007","2021-11","37.5426","-76.4971","3.7","HARTFIELD 2.9 W, VA US","7",",N","5",",N","0",",N","","","","","20211112",",,N","","","8.1",",,N,12,","27.2",",,,N","",""
"US1VAMX0007","2021-12","37.5426","-76.4971","3.7","HARTFIELD 2.9 W, VA US","7","1,N","4","1,N","0","1,N","","","","","20211230",",1,N","","","15.0","1,,N,30,","30.8","1,,,N","",""
"US1VAMX0007","2022-01","37.5426","-76.4971","3.7","HARTFIELD 2.9 W, VA US","11","1,N","8","1,N","2","1,N","","","","","20220117",",1,N","","","44.5","1,,N,17,","120.2","1,,,N","",""
