"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1VANK0006","2022-12","37.51623","-77.07594","44.5","NEW KENT 5.0 W, VA US","9",",N","6",",N","1",",N","","","","","","","","","20221216",",,N","","","","","31.5",",,N,16,","96.9",",,,N","",""
"US1VANK0006","2023-01","37.51623","-77.07594","44.5","NEW KENT 5.0 W, VA US","10","4,N","6","4,N","0","4,N","","","0","4,N","","","20230131","+,4,N","20230109",",4,N","","","0","4,,N,31,+","17.5","4,,N,09,","74.0",",a,,N","0","4,,,N"
"US1VANK0006","2023-02","37.51623","-77.07594","44.5","NEW KENT 5.0 W, VA US","8",",N","5",",N","0",",N","","","0",",N","","","20230228","+,,N","20230213",",,N","","","0",",,N,28,+","23.4",",,N,13,","58.9",",,,N","0",",,,N"
"US1VANK0006","2023-03","37.51623","-77.07594","44.5","NEW KENT 5.0 W, VA US","9","2,N","5","2,N","0","2,N","","","","","","","","","20230329",",2,N","","","","","11.9","2,,N,29,","38.0",",a,,N","",""
"US1VANK0006","2023-04","37.51623","-77.07594","44.5","NEW KENT 5.0 W, VA US","8","4,N","8","4,N","0","4,N","","","","","","","","","20230429",",4,N","","","","","23.9","4,,N,29,","91.8","1,a,,N","",""
"US1VANK0006","2023-05","37.51623","-77.07594","44.5","NEW KENT 5.0 W, VA US","10","3,N","6","3,N","1","3,N","","","","","","","","","20230517",",3,N","","","","","72.4","3,,N,17,","142.6",",a,,N","",""
"US1VANK0006","2023-06","37.51623","-77.07594","44.5","NEW KENT 5.0 W, VA US","11",",N","5",",N","1",",N","","","","","","","","","20230622",",,N","","","","","63.0",",,N,22,","116.8",",,,N","",""
"US1VANK0006","2023-07","37.51623","-77.07594","44.5","NEW KENT 5.0 W, VA US","","","","","","","","","","","","","","","","","","","","","","","138.1","1,a,,N","",""
"US1VANK0006","2023-08","37.51623","-77.07594","44.5","NEW KENT 5.0 W, VA US","10",",N","6",",N","1",",N","","","","","","","","","20230829",",,N","","","","","40.6",",,N,29,","74.7",",,,N","",""
"US1VANK0006","2023-09","37.51623","-77.07594","44.5","NEW KENT 5.0 W, VA US","9","4,N","4","4,N","2","4,N","","","","","","","","","20230924",",4,N","","","","","50.3","4,,N,24,","157.7",",a,,N","",""
"US1VANK0006","2023-10","37.51623","-77.07594","44.5","NEW KENT 5.0 W, VA US","6","3,N","2","3,N","0","3,N","","","","","","","","","20231015",",3,N","","","","","16.5","3,,N,15,","33.0",",a,,N","",""
"US1VANK0006","2023-12","37.51623","-77.07594","44.5","NEW KENT 5.0 W, VA US","11","3,N","7","3,N","3","3,N","","","","","","","","","20231211",",3,N","","","","","103.6","3,,N,11,","229.9",",a,,N","",""
"US1VANK0006","2024-01","37.51623","-77.07594","44.5","NEW KENT 5.0 W, VA US","12","1,N","6","1,N","2","1,N","0","5,N","0","3,N","20240118",",5,N","20240116",",3,N","20240110",",1,N","0","5,T,N,18,","9","3,,N,16,","76.2","1,,N,10,","153.3","1,,,N","9","3,,,N"
"US1VANK0006","2024-03","37.51623","-77.07594","44.5","NEW KENT 5.0 W, VA US","14","1,N","9","1,N","2","1,N","","","","","","","","","20240328",",1,N","","","","","35.8","1,,N,28,","181.2","1,,,N","",""
"US1VANK0006","2024-04","37.51623","-77.07594","44.5","NEW KENT 5.0 W, VA US","","","","","","","","","","","","","","","","","","","","","","","48.8","2,a,,N","",""
"US1VANK0006","2024-05","37.51623","-77.07594","44.5","NEW KENT 5.0 W, VA US","15","2,N","9","2,N","1","2,N","","","","","","","","","20240515",",2,N","","","","","57.2","2,,N,15,","149.8","2,,,N","",""
"US1VANK0006","2024-06","37.51623","-77.07594","44.5","NEW KENT 5.0 W, VA US","","","","","","","","","","","","","","","","","","","","","","","44.5","4,a,,N","",""
