"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1VARH0023","2022-01","38.522429","-78.744254","373.1","HARRISONBURG 9.2 NE, VA US","7","2,N","6","2,N","1","2,N","","","","","20220117",",2,N","","","27.9","2,,N,17,","68.5","2,,,N","",""
"US1VARH0023","2022-02","38.522429","-78.744254","373.1","HARRISONBURG 9.2 NE, VA US","9",",N","6",",N","0",",N","","","","","20220225",",,N","","","14.0",",,N,25,","52.5",",,,N","",""
"US1VARH0023","2022-03","38.522429","-78.744254","373.1","HARRISONBURG 9.2 NE, VA US","10",",N","7",",N","0",",N","","","","","20220324",",,N","","","11.4",",,N,24,","45.7",",,,N","",""
"US1VARH0023","2022-04","38.522429","-78.744254","373.1","HARRISONBURG 9.2 NE, VA US","8",",N","6",",N","2",",N","","","","","20220406",",,N","","","27.4",",,N,06,","95.2",",,,N","",""
"US1VARH0023","2022-05","38.522429","-78.744254","373.1","HARRISONBURG 9.2 NE, VA US","16",",N","10",",N","2",",N","","","","","20220507",",,N","","","38.6",",,N,07,","138.2",",,,N","",""
"US1VARH0023","2022-06","38.522429","-78.744254","373.1","HARRISONBURG 9.2 NE, VA US","13",",N","11",",N","2",",N","","","","","20220609",",,N","","","36.3",",,N,09,","125.8",",,,N","",""
"US1VARH0023","2022-07","38.522429","-78.744254","373.1","HARRISONBURG 9.2 NE, VA US","15",",N","9",",N","1",",N","","","","","20220709",",,N","","","61.0",",,N,09,","131.8",",,,N","",""
"US1VARH0023","2022-08","38.522429","-78.744254","373.1","HARRISONBURG 9.2 NE, VA US","13",",N","6",",N","0",",N","","","","","20220806",",,N","","","23.1",",,N,06,","60.8",",,,N","",""
"US1VARH0023","2022-09","38.522429","-78.744254","373.1","HARRISONBURG 9.2 NE, VA US","9",",N","5",",N","0",",N","","","","","20220906",",,N","","","12.2",",,N,06,","42.6",",,,N","",""
"US1VARH0023","2022-10","38.522429","-78.744254","373.1","HARRISONBURG 9.2 NE, VA US","8","1,N","6","1,N","1","1,N","","","","","20221002",",1,N","","","32.0","1,,N,02,","67.6","1,,,N","",""
"US1VARH0023","2022-11","38.522429","-78.744254","373.1","HARRISONBURG 9.2 NE, VA US","8",",N","5",",N","2",",N","","","","","20221112",",,N","","","40.4",",,N,12,","89.9",",,,N","",""
"US1VARH0023","2022-12","38.522429","-78.744254","373.1","HARRISONBURG 9.2 NE, VA US","9",",N","4",",N","1",",N","","","","","20221223",",,N","","","41.1",",,N,23,","84.8",",,,N","",""
"US1VARH0023","2023-01","38.522429","-78.744254","373.1","HARRISONBURG 9.2 NE, VA US","10",",N","4",",N","0",",N","","","","","20230126",",,N","","","10.2",",,N,26,","31.0",",,,N","",""
"US1VARH0023","2023-02","38.522429","-78.744254","373.1","HARRISONBURG 9.2 NE, VA US","9",",N","6",",N","1",",N","","","","","20230213",",,N","","","33.5",",,N,13,","78.1",",,,N","",""
"US1VARH0023","2023-03","38.522429","-78.744254","373.1","HARRISONBURG 9.2 NE, VA US","8",",N","5",",N","0",",N","","","","","20230325",",,N","","","16.5",",,N,25,","40.1",",,,N","",""
