"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1WACM0019","2012-01","48.105026","-123.431224","65.5","PORT ANGELES 6.1 SSE, WA US","20",",N","15",",N","0",",N","","","","","20120105",",,N","","","24.6",",,N,05,","123.4",",,,N","",""
"US1WACM0019","2012-02","48.105026","-123.431224","65.5","PORT ANGELES 6.1 SSE, WA US","16","3,N","9","3,N","0","3,N","","","","","20120218",",3,N","","","24.1","3,,N,18,","81.2","3,,,N","",""
"US1WACM0019","2012-03","48.105026","-123.431224","65.5","PORT ANGELES 6.1 SSE, WA US","","","","","","","","","","","","","","","","","90.2","5,a,,N","",""
"US1WACM0019","2012-06","48.105026","-123.431224","65.5","PORT ANGELES 6.1 SSE, WA US","16","5,N","6","5,N","0","5,N","","","","","20120623",",5,N","","","12.2","5,,N,23,","37.6","2,a,,N","",""
"US1WACM0019","2012-07","48.105026","-123.431224","65.5","PORT ANGELES 6.1 SSE, WA US","8","3,N","5","3,N","0","3,N","","","","","20120703",",3,N","","","9.4","3,,N,03,","27.0",",a,,N","",""
"US1WACM0019","2012-08","48.105026","-123.431224","65.5","PORT ANGELES 6.1 SSE, WA US","2","4,N","0","4,N","0","4,N","","","","","20120808",",4,N","","","1.3","4,,N,08,","2.3",",a,,N","",""
"US1WACM0019","2012-09","48.105026","-123.431224","65.5","PORT ANGELES 6.1 SSE, WA US","3",",N","0",",N","0",",N","0","3,N","20120930","+,3,N","20120910",",,N","0","3,,N,30,+","2.0",",,N,10,","3.3",",,,N","0","3,,,N"
"US1WACM0019","2012-11","48.105026","-123.431224","65.5","PORT ANGELES 6.1 SSE, WA US","22",",N","13",",N","0",",N","","","","","20121120",",,N","","","24.4",",,N,20,","108.1",",,,N","",""
"US1WACM0019","2012-12","48.105026","-123.431224","65.5","PORT ANGELES 6.1 SSE, WA US","27","3,N","16","3,N","0","3,N","","","","","20121201",",3,N","","","23.4","3,,N,01,","154.7",",a,,N","",""
"US1WACM0019","2013-01","48.105026","-123.431224","65.5","PORT ANGELES 6.1 SSE, WA US","18",",N","6",",N","1",",N","","","","","20130109",",,N","","","39.6",",,N,09,","68.7",",,,N","",""
