"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1WIAD0006","2017-05","43.885849","-89.725901","307.8","GRAND MARSH 1.0 W, WI US","9","3,N","6","3,N","3","3,N","","","","","20170521",",3,N","","","82.8","3,,N,21,","216.7","3,,,N","",""
"US1WIAD0006","2017-06","43.885849","-89.725901","307.8","GRAND MARSH 1.0 W, WI US","8","4,N","8","4,N","4","4,N","","","","","20170623",",4,N","","","66.5","4,,N,23,","248.8","4,,,N","",""
"US1WIAD0006","2017-07","43.885849","-89.725901","307.8","GRAND MARSH 1.0 W, WI US","9","2,N","8","2,N","5","2,N","","","","","20170722",",2,N","","","110.0","2,,N,22,","383.8","2,,,N","",""
"US1WIAD0006","2018-05","43.885849","-89.725901","307.8","GRAND MARSH 1.0 W, WI US","9","3,N","8","3,N","4","3,N","","","","","20180502",",3,N","","","113.3","3,,N,02,","325.1","3,,,N","",""
"US1WIAD0006","2018-06","43.885849","-89.725901","307.8","GRAND MARSH 1.0 W, WI US","12","2,N","8","2,N","2","2,N","","","","","20180620",",2,N","","","36.6","2,,N,20,","139.4","2,,,N","",""
"US1WIAD0006","2018-07","43.885849","-89.725901","307.8","GRAND MARSH 1.0 W, WI US","9","2,N","7","2,N","3","2,N","","","","","20180715",",2,N","","","36.1","2,,N,15,","128.6","2,,,N","",""
"US1WIAD0006","2018-08","43.885849","-89.725901","307.8","GRAND MARSH 1.0 W, WI US","10","3,N","10","3,N","4","3,N","","","","","20180828",",3,N","","","197.6","3,,N,28,","449.6","3,,,N","",""
"US1WIAD0006","2018-09","43.885849","-89.725901","307.8","GRAND MARSH 1.0 W, WI US","6","5,N","6","5,N","4","5,N","","","","","20180905",",5,N","","","96.5","5,,N,05,","296.1","5,,,N","",""
"US1WIAD0006","2018-10","43.885849","-89.725901","307.8","GRAND MARSH 1.0 W, WI US","13","2,N","10","2,N","3","2,N","","","","","20181009",",2,N","","","36.3","2,,N,09,","179.1","2,,,N","",""
"US1WIAD0006","2019-06","43.885849","-89.725901","307.8","GRAND MARSH 1.0 W, WI US","8","5,N","5","5,N","1","5,N","","","","","20190628",",5,N","","","29.2","5,,N,28,","63.5","5,,,N","",""
"US1WIAD0006","2019-07","43.885849","-89.725901","307.8","GRAND MARSH 1.0 W, WI US","13","2,N","11","2,N","5","2,N","","","","","20190721",",2,N","","","41.4","2,,N,21,","240.8","2,,,N","",""
"US1WIAD0006","2019-09","43.885849","-89.725901","307.8","GRAND MARSH 1.0 W, WI US","12","1,N","8","1,N","0","1,N","","","","","20190913",",1,N","","","19.8","1,,N,13,","104.3","1,,,N","",""
"US1WIAD0006","2019-10","43.885849","-89.725901","307.8","GRAND MARSH 1.0 W, WI US","9","4,N","8","4,N","1","4,N","","","","","20191002",",4,N","","","44.2","4,,N,02,","116.2","4,,,N","",""
"US1WIAD0006","2020-05","43.885849","-89.725901","307.8","GRAND MARSH 1.0 W, WI US","9","4,N","5","4,N","3","4,N","","","","","20200529",",4,N","","","40.1","4,,N,29,","131.7","4,,,N","",""
"US1WIAD0006","2020-06","43.885849","-89.725901","307.8","GRAND MARSH 1.0 W, WI US","8","1,N","7","1,N","3","1,N","","","","","20200623",",1,N","","","48.8","1,,N,23,","161.6","1,,,N","",""
"US1WIAD0006","2020-08","43.885849","-89.725901","307.8","GRAND MARSH 1.0 W, WI US","9","2,N","5","2,N","3","2,N","","","","","20200829",",2,N","","","92.7","2,,N,29,","204.4","2,,,N","",""
"US1WIAD0006","2020-09","43.885849","-89.725901","307.8","GRAND MARSH 1.0 W, WI US","5","4,N","5","4,N","2","4,N","","","","","20200913",",4,N","","","48.8","4,,N,13,","150.6","4,,,N","",""
"US1WIAD0006","2020-10","43.885849","-89.725901","307.8","GRAND MARSH 1.0 W, WI US","5","4,N","2","4,N","1","4,N","","","","","20201023",",4,N","","","77.2","4,,N,23,","90.4","4,,,N","",""
