"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1WIDA0088","2020-04","43.0929","-89.72889","265.8","BLACK EARTH 3.1 SSE, WI US","11","1,N","6","1,N","0","1,N","","","","","","","","","20200413",",1,N","","","","","12.7","1,,N,13,","47.3","1,,,N","",""
"US1WIDA0088","2020-05","43.0929","-89.72889","265.8","BLACK EARTH 3.1 SSE, WI US","13",",N","9",",N","2",",N","","","","","","","","","20200518",",,N","","","","","45.7",",,N,18,","141.2",",,,N","",""
"US1WIDA0088","2020-06","43.0929","-89.72889","265.8","BLACK EARTH 3.1 SSE, WI US","13",",N","11",",N","1",",N","","","","","","","","","20200627",",,N","","","","","28.2",",,N,27,","134.9",",,,N","",""
"US1WIDA0088","2020-07","43.0929","-89.72889","265.8","BLACK EARTH 3.1 SSE, WI US","9",",N","8",",N","1",",N","","","","","","","","","20200710",",,N","","","","","43.4",",,N,10,","97.3",",,,N","",""
"US1WIDA0088","2020-08","43.0929","-89.72889","265.8","BLACK EARTH 3.1 SSE, WI US","5",",N","4",",N","0",",N","","","0","4,N","","","20200831","+,4,N","20200816",",,N","","","0","4,,N,31,+","17.3",",,N,16,","39.4",",,,N","0","4,,,N"
"US1WIDA0088","2020-09","43.0929","-89.72889","265.8","BLACK EARTH 3.1 SSE, WI US","13",",N","10",",N","1",",N","","","","","","","","","20200912",",,N","","","","","25.9",",,N,12,","113.2",",,,N","",""
"US1WIDA0088","2020-10","43.0929","-89.72889","265.8","BLACK EARTH 3.1 SSE, WI US","11",",N","4",",N","1",",N","","","","","","","","","20201023",",,N","","","","","77.0",",,N,23,","102.4",",,,N","",""
"US1WIDA0088","2020-11","43.0929","-89.72889","265.8","BLACK EARTH 3.1 SSE, WI US","4","1,N","4","1,N","1","1,N","","","0","3,N","","","20201124",",3,N","20201111",",1,N","","","13","3,,N,24,","53.3","1,,N,11,","77.1","1,,,N","13","3,,,N"
"US1WIDA0088","2020-12","43.0929","-89.72889","265.8","BLACK EARTH 3.1 SSE, WI US","5",",N","3",",N","0",",N","","","3","3,N","","","20201230",",3,N","20201230",",,N","","","152","3,,N,30,","11.4",",,N,30,","21.5",",,,N","305","3,,,N"
"US1WIDA0088","2021-01","43.0929","-89.72889","265.8","BLACK EARTH 3.1 SSE, WI US","6","1,N","4","1,N","0","1,N","29","2,N","4","2,N","20210131",",2,N","20210131",",2,N","20210131",",1,N","305","2,,N,31,","127","2,,N,31,","19.6","1,,N,31,","36.3","1,,,N","228","2,,,N"
"US1WIDA0088","2021-02","43.0929","-89.72889","265.8","BLACK EARTH 3.1 SSE, WI US","6",",N","4",",N","0",",N","27","1,N","4","3,N","20210223","+,1,N","20210205",",3,N","20210205",",,N","381","1,,N,23,+","127","3,,N,05,","5.1",",,N,05,","18.4",",,,N","241","3,,,N"
"US1WIDA0088","2021-03","43.0929","-89.72889","265.8","BLACK EARTH 3.1 SSE, WI US","8",",N","5",",N","0",",N","","","","","","","","","20210324",",,N","","","","","16.0",",,N,24,","41.2",",,,N","",""
"US1WIDA0088","2021-04","43.0929","-89.72889","265.8","BLACK EARTH 3.1 SSE, WI US","5",",N","3",",N","0",",N","","","","","","","","","20210411",",,N","","","","","23.6",",,N,11,","36.7",",,,N","",""
"US1WIDA0088","2021-05","43.0929","-89.72889","265.8","BLACK EARTH 3.1 SSE, WI US","11",",N","6",",N","1",",N","","","","","","","","","20210504",",,N","","","","","32.3",",,N,04,","89.4",",,,N","",""
"US1WIDA0088","2021-06","43.0929","-89.72889","265.8","BLACK EARTH 3.1 SSE, WI US","10",",N","5",",N","1",",N","","","","","","","","","20210618",",,N","","","","","46.7",",,N,18,","88.1",",,,N","",""
"US1WIDA0088","2021-07","43.0929","-89.72889","265.8","BLACK EARTH 3.1 SSE, WI US","6",",N","4",",N","0",",N","","","0","5,N","","","20210731","+,5,N","20210715",",,N","","","0","5,,N,31,+","19.3",",,N,15,","52.7",",,,N","0","5,,,N"
"US1WIDA0088","2021-08","43.0929","-89.72889","265.8","BLACK EARTH 3.1 SSE, WI US","10",",N","8",",N","1",",N","","","","","","","","","20210808",",,N","","","","","27.9",",,N,08,","103.4",",,,N","",""
"US1WIDA0088","2021-09","43.0929","-89.72889","265.8","BLACK EARTH 3.1 SSE, WI US","7",",N","5",",N","1",",N","","","","","","","","","20210921",",,N","","","","","33.0",",,N,21,","64.1",",,,N","",""
"US1WIDA0088","2021-10","43.0929","-89.72889","265.8","BLACK EARTH 3.1 SSE, WI US","13",",N","7",",N","1",",N","","","","","","","","","20211008",",,N","","","","","40.6",",,N,08,","103.2",",,,N","",""
"US1WIDA0088","2021-11","43.0929","-89.72889","265.8","BLACK EARTH 3.1 SSE, WI US","1",",N","1",",N","0",",N","","","0","1,N","","","20211130","+,1,N","20211111",",,N","","","0","1,,N,30,+","8.9",",,N,11,","8.9",",,,N","0","1,,,N"
"US1WIDA0088","2021-12","43.0929","-89.72889","265.8","BLACK EARTH 3.1 SSE, WI US","8",",N","5",",N","0",",N","","","","","","","","","20211211",",,N","","","","","19.1",",,N,11,","42.5",",,,N","",""
"US1WIDA0088","2022-01","43.0929","-89.72889","265.8","BLACK EARTH 3.1 SSE, WI US","7",",N","2",",N","0",",N","","","2","5,N","","","20220123",",5,N","20220123",",,N","","","102","5,,N,23,","9.9",",,N,23,","16.1",",,,N","156","5,,,N"
"US1WIDA0088","2022-02","43.0929","-89.72889","265.8","BLACK EARTH 3.1 SSE, WI US","7",",N","0",",N","0",",N","24","3,N","","","20220225","+,3,N","","","20220225","+,,N","76","3,,N,25,+","","","2.0",",,N,25,+","7.7",",,,N","",""
"US1WIDA0088","2022-03","43.0929","-89.72889","265.8","BLACK EARTH 3.1 SSE, WI US","13",",N","8",",N","1",",N","","","","","","","","","20220323",",,N","","","","","27.7",",,N,23,","100.1",",,,N","",""
"US1WIDA0088","2022-04","43.0929","-89.72889","265.8","BLACK EARTH 3.1 SSE, WI US","15",",N","10",",N","0",",N","","","","","","","","","20220423",",,N","","","","","24.1",",,N,23,","87.0",",,,N","",""
"US1WIDA0088","2022-05","43.0929","-89.72889","265.8","BLACK EARTH 3.1 SSE, WI US","15",",N","9",",N","0",",N","","","","","","","","","20220526",",,N","","","","","24.1",",,N,26,","62.8",",,,N","",""
"US1WIDA0088","2022-06","43.0929","-89.72889","265.8","BLACK EARTH 3.1 SSE, WI US","9",",N","6",",N","0",",N","","","","","","","","","20220609",",,N","","","","","23.6",",,N,09,","78.8",",,,N","",""
"US1WIDA0088","2022-07","43.0929","-89.72889","265.8","BLACK EARTH 3.1 SSE, WI US","10",",N","7",",N","1",",N","","","","","","","","","20220716",",,N","","","","","28.7",",,N,16,","96.8",",,,N","",""
"US1WIDA0088","2022-08","43.0929","-89.72889","265.8","BLACK EARTH 3.1 SSE, WI US","11","2,N","7","2,N","3","2,N","","","","","","","","","20220807",",2,N","","","","","38.1","2,,N,07,","184.1",",a,,N","",""
"US1WIDA0088","2022-09","43.0929","-89.72889","265.8","BLACK EARTH 3.1 SSE, WI US","9",",N","4",",N","2",",N","","","","","","","","","20220912",",,N","","","","","40.4",",,N,12,","108.8",",,,N","",""
"US1WIDA0088","2022-10","43.0929","-89.72889","265.8","BLACK EARTH 3.1 SSE, WI US","8",",N","5",",N","0",",N","","","","","","","","","20221012",",,N","","","","","7.6",",,N,12,","24.5",",,,N","",""
"US1WIDA0088","2022-11","43.0929","-89.72889","265.8","BLACK EARTH 3.1 SSE, WI US","6",",N","4",",N","1",",N","","","","","","","","","20221105",",,N","","","","","42.9",",,N,05,","86.5",",,,N","",""
"US1WIDA0088","2022-12","43.0929","-89.72889","265.8","BLACK EARTH 3.1 SSE, WI US","11",",N","4",",N","1",",N","","","","","","","","","20221215",",,N","","","","","33.5",",,N,15,","74.7",",,,N","",""
"US1WIDA0088","2023-01","43.0929","-89.72889","265.8","BLACK EARTH 3.1 SSE, WI US","15",",N","7",",N","0",",N","","","","","","","","","20230117",",,N","","","","","14.0",",,N,17,","63.5",",,,N","",""
"US1WIDA0088","2023-02","43.0929","-89.72889","265.8","BLACK EARTH 3.1 SSE, WI US","11",",N","6",",N","1",",N","27","1,N","","","20230201",",1,N","","","20230227",",,N","203","1,,N,01,","","","29.0",",,N,27,","81.4",",,,N","",""
"US1WIDA0088","2023-03","43.0929","-89.72889","265.8","BLACK EARTH 3.1 SSE, WI US","11",",N","7",",N","0",",N","","","6","5,N","","","20230310",",5,N","20230310",",,N","","","152","5,,N,10,","16.5",",,N,10,","77.5",",,,N","482","5,,,N"
"US1WIDA0088","2023-04","43.0929","-89.72889","265.8","BLACK EARTH 3.1 SSE, WI US","13",",N","9",",N","1",",N","","","","","","","","","20230401",",,N","","","","","27.4",",,N,01,","93.7",",,,N","",""
"US1WIDA0088","2023-05","43.0929","-89.72889","265.8","BLACK EARTH 3.1 SSE, WI US","7",",N","4",",N","0",",N","","","","","","","","","20230509",",,N","","","","","9.7",",,N,09,","26.0",",,,N","",""
"US1WIDA0088","2023-06","43.0929","-89.72889","265.8","BLACK EARTH 3.1 SSE, WI US","8",",N","3",",N","0",",N","","","","","","","","","20230602",",,N","","","","","8.9",",,N,02,","25.9",",,,N","",""
"US1WIDA0088","2023-07","43.0929","-89.72889","265.8","BLACK EARTH 3.1 SSE, WI US","11",",N","10",",N","2",",N","","","","","","","","","20230729",",,N","","","","","67.3",",,N,29,","183.2",",,,N","",""
"US1WIDA0088","2023-08","43.0929","-89.72889","265.8","BLACK EARTH 3.1 SSE, WI US","7",",N","4",",N","2",",N","","","","","","","","","20230815",",,N","","","","","35.6",",,N,15,","89.5",",,,N","",""
"US1WIDA0088","2023-09","43.0929","-89.72889","265.8","BLACK EARTH 3.1 SSE, WI US","14",",N","8",",N","1",",N","","","","","","","","","20230926",",,N","","","","","35.8",",,N,26,","87.7",",,,N","",""
"US1WIDA0088","2023-10","43.0929","-89.72889","265.8","BLACK EARTH 3.1 SSE, WI US","12",",N","8",",N","1",",N","","","","","","","","","20231014",",,N","","","","","43.9",",,N,14,","88.7",",,,N","",""
"US1WIDA0088","2023-11","43.0929","-89.72889","265.8","BLACK EARTH 3.1 SSE, WI US","8","1,N","3","1,N","0","1,N","","","","","","","","","20231108",",1,N","","","","","7.9","1,,N,08,","23.2","1,,,N","",""
"US1WIDA0088","2023-12","43.0929","-89.72889","265.8","BLACK EARTH 3.1 SSE, WI US","10",",N","6",",N","0",",N","","","","","","","","","20231226",",,N","","","","","12.7",",,N,26,","47.8",",,,N","",""
"US1WIDA0088","2024-01","43.0929","-89.72889","265.8","BLACK EARTH 3.1 SSE, WI US","13","3,N","5","3,N","0","3,N","","","","","","","","","20240127",",3,N","","","","","5.8","3,,N,27,","32.9","3,,,N","",""
