"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1WIDA0134","2022-09","43.077071","-89.445849","269.1","SHOREWOOD HILLS 0.1 SE, WI US","7","5,N","4","5,N","2","5,N","","","","","20220912",",5,N","","","55.6","5,,N,12,","107.8",",a,,N","",""
"US1WIDA0134","2022-10","43.077071","-89.445849","269.1","SHOREWOOD HILLS 0.1 SE, WI US","","","","","","","","","","","","","","","","","23.2","1,a,,N","",""
"US1WIDA0134","2022-11","43.077071","-89.445849","269.1","SHOREWOOD HILLS 0.1 SE, WI US","9",",N","5",",N","1",",N","1","5,N","20221116",",5,N","20221105",",,N","51","5,,N,16,","53.1",",,N,05,","92.1",",,,N","64","5,,,N"
"US1WIDA0134","2022-12","43.077071","-89.445849","269.1","SHOREWOOD HILLS 0.1 SE, WI US","10","3,N","4","3,N","1","3,N","","","","","20221215",",3,N","","","34.0","3,,N,15,","54.4","3,,,N","",""
"US1WIDA0134","2023-02","43.077071","-89.445849","269.1","SHOREWOOD HILLS 0.1 SE, WI US","9",",N","6",",N","1",",N","","","","","20230227",",,N","","","33.5",",,N,27,","91.5",",,,N","",""
"US1WIDA0134","2023-04","43.077071","-89.445849","269.1","SHOREWOOD HILLS 0.1 SE, WI US","14",",N","7",",N","0",",N","","","","","20230416",",,N","","","14.7",",,N,16,","70.7",",,,N","",""
"US1WIDA0134","2023-05","43.077071","-89.445849","269.1","SHOREWOOD HILLS 0.1 SE, WI US","8",",N","4",",N","0",",N","","","","","20230509",",,N","","","12.2",",,N,09,","27.9",",,,N","",""
"US1WIDA0134","2023-06","43.077071","-89.445849","269.1","SHOREWOOD HILLS 0.1 SE, WI US","","","","","","","","","","","","","","","","","14.5","5,a,,N","",""
"US1WIDA0134","2023-08","43.077071","-89.445849","269.1","SHOREWOOD HILLS 0.1 SE, WI US","3","4,N","3","4,N","1","4,N","","","","","202308","4,,N","","","39.4","4,,N,  ,","73.9",",a,,N","",""
"US1WIDA0134","2023-09","43.077071","-89.445849","269.1","SHOREWOOD HILLS 0.1 SE, WI US","12","4,N","6","4,N","1","4,N","","","","","20230926",",4,N","","","36.3","4,,N,26,","87.6",",a,,N","",""
"US1WIDA0134","2023-10","43.077071","-89.445849","269.1","SHOREWOOD HILLS 0.1 SE, WI US","8","5,N","6","5,N","1","5,N","","","","","20231014",",5,N","","","42.9","5,,N,14,","82.3",",a,,N","",""
"US1WIDA0134","2023-11","43.077071","-89.445849","269.1","SHOREWOOD HILLS 0.1 SE, WI US","6",",N","3",",N","0",",N","","","","","20231121",",,N","","","12.2",",,N,21,","27.5",",,,N","",""
"US1WIDA0134","2023-12","43.077071","-89.445849","269.1","SHOREWOOD HILLS 0.1 SE, WI US","","","","","","","","","","","","","","","","","42.4",",a,,N","",""
"US1WIDA0134","2024-01","43.077071","-89.445849","269.1","SHOREWOOD HILLS 0.1 SE, WI US","12",",N","6",",N","0",",N","6","1,N","20240113",",1,N","20240113",",,N","168","1,,N,13,","17.8",",,N,13,","53.6",",,,N","522","1,,,N"
"US1WIDA0134","2024-02","43.077071","-89.445849","269.1","SHOREWOOD HILLS 0.1 SE, WI US","","","","","","","","","","","","","","","","","15.0","1,a,,N","",""
"US1WIDA0134","2024-03","43.077071","-89.445849","269.1","SHOREWOOD HILLS 0.1 SE, WI US","","","","","","","","","","","","","","","","","110.4",",a,,N","",""
"US1WIDA0134","2024-04","43.077071","-89.445849","269.1","SHOREWOOD HILLS 0.1 SE, WI US","7","5,N","4","5,N","2","5,N","","","","","20240403",",5,N","","","49.3","5,,N,03,","122.5",",a,,N","",""
