"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1WIGT0015","2022-04","42.6244729","-90.5935293","287.1","DICKEYVILLE 0.1 SW, WI US","","","","","","","","","","","","","","","","","81.0","4,a,,N","",""
"US1WIGT0015","2022-06","42.6244729","-90.5935293","287.1","DICKEYVILLE 0.1 SW, WI US","12","4,N","6","4,N","0","4,N","","","","","20220606",",4,N","","","18.0","4,,N,06,","60.7","4,,,N","",""
"US1WIGT0015","2022-09","42.6244729","-90.5935293","287.1","DICKEYVILLE 0.1 SW, WI US","7",",N","3",",N","0",",N","","","","","20220911",",,N","","","19.3",",,N,11,","29.2",",,,N","",""
"US1WIGT0015","2022-10","42.6244729","-90.5935293","287.1","DICKEYVILLE 0.1 SW, WI US","","","","","","","","","","","","","","","","","29.2",",a,,N","",""
"US1WIGT0015","2023-05","42.6244729","-90.5935293","287.1","DICKEYVILLE 0.1 SW, WI US","5","5,N","3","5,N","0","5,N","","","","","20230508",",5,N","","","18.3","5,,N,08,","79.1",",a,,N","",""
"US1WIGT0015","2023-06","42.6244729","-90.5935293","287.1","DICKEYVILLE 0.1 SW, WI US","8",",N","4",",N","1",",N","","","","","20230625",",,N","","","47.8",",,N,25,","71.2",",,,N","",""
"US1WIGT0015","2023-07","42.6244729","-90.5935293","287.1","DICKEYVILLE 0.1 SW, WI US","11","5,N","6","5,N","1","5,N","","","","","20230712",",5,N","","","31.0","5,,N,12,","85.0",",a,,N","",""
"US1WIGT0015","2023-08","42.6244729","-90.5935293","287.1","DICKEYVILLE 0.1 SW, WI US","5",",N","3",",N","1",",N","0","5,N","20230831","+,5,N","20230815",",,N","0","5,,N,31,+","46.2",",,N,15,","65.8",",,,N","0","5,,,N"
"US1WIGT0015","2023-09","42.6244729","-90.5935293","287.1","DICKEYVILLE 0.1 SW, WI US","11","5,N","6","5,N","1","5,N","","","","","20230926",",5,N","","","64.8","5,,N,26,","126.8",",a,,N","",""
"US1WIGT0015","2023-10","42.6244729","-90.5935293","287.1","DICKEYVILLE 0.1 SW, WI US","10","3,N","7","3,N","1","3,N","","","","","20231014",",3,N","","","43.2","3,,N,14,","99.3",",a,,N","",""
"US1WIGT0015","2023-11","42.6244729","-90.5935293","287.1","DICKEYVILLE 0.1 SW, WI US","","","","","","","","","","","","","","","","","12.0",",a,,N","",""
"US1WIGT0015","2023-12","42.6244729","-90.5935293","287.1","DICKEYVILLE 0.1 SW, WI US","8","2,N","6","2,N","0","2,N","","","","","20231229",",2,N","","","7.9","2,,N,29,","35.2","2,,,N","",""
"US1WIGT0015","2024-01","42.6244729","-90.5935293","287.1","DICKEYVILLE 0.1 SW, WI US","","","","","","","","","","","","","","","","","82.7","2,a,,N","",""
"US1WIGT0015","2024-02","42.6244729","-90.5935293","287.1","DICKEYVILLE 0.1 SW, WI US","3",",N","2",",N","0",",N","0","3,N","20240224",",3,N","20240215",",,N","0","3,T,N,24,","17.3",",,N,15,","20.8",",,,N","0","3,T,,N"
"US1WIGT0015","2024-04","42.6244729","-90.5935293","287.1","DICKEYVILLE 0.1 SW, WI US","","","","","","","","","","","","","","","","","183.8",",a,,N","",""
"US1WIGT0015","2024-05","42.6244729","-90.5935293","287.1","DICKEYVILLE 0.1 SW, WI US","21","1,N","13","1,N","1","1,N","","","","","20240525",",1,N","","","31.8","1,,N,25,","156.7","1,,,N","",""
"US1WIGT0015","2024-06","42.6244729","-90.5935293","287.1","DICKEYVILLE 0.1 SW, WI US","19","1,N","10","1,N","3","1,N","","","","","20240623",",1,N","","","44.5","1,,N,23,","180.7","1,,,N","",""
