"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1WILN0006","2020-07","45.539177","-89.708704","452.6","TOMAHAWK 4.6 N, WI US","10",",N","8",",N","3",",N","","","","","20200715",",,N","","","110.5",",,N,15,","259.9",",,,N","",""
"US1WILN0006","2020-08","45.539177","-89.708704","452.6","TOMAHAWK 4.6 N, WI US","8",",N","7",",N","1",",N","","","","","20200808",",,N","","","26.2",",,N,08,","69.7",",,,N","",""
"US1WILN0006","2020-09","45.539177","-89.708704","452.6","TOMAHAWK 4.6 N, WI US","11","1,N","8","1,N","0","1,N","","","","","20200924",",1,N","","","20.8","1,,N,24,","94.3","1,,,N","",""
"US1WILN0006","2020-10","45.539177","-89.708704","452.6","TOMAHAWK 4.6 N, WI US","10",",N","6",",N","0",",N","","","","","20201013",",,N","","","18.0",",,N,13,","52.1",",,,N","",""
"US1WILN0006","2020-11","45.539177","-89.708704","452.6","TOMAHAWK 4.6 N, WI US","3","1,N","3","1,N","1","1,N","","","","","20201110",",1,N","","","25.4","1,,N,10,","45.7","1,,,N","",""
"US1WILN0006","2020-12","45.539177","-89.708704","452.6","TOMAHAWK 4.6 N, WI US","1","5,N","1","5,N","1","5,N","3","3,N","20201230",",3,N","20201224",",5,N","38","3,,N,30,","25.4","5,,N,24,","25.4","5,,,N","91","3,,,N"
"US1WILN0006","2021-01","45.539177","-89.708704","452.6","TOMAHAWK 4.6 N, WI US","1","4,N","1","4,N","0","4,N","0","5,N","20210118","+,5,N","20210124",",4,N","0","5,T,N,18,+","5.1","4,,N,24,","5.1","4,,,N","0","5,T,,N"
"US1WILN0006","2021-02","45.539177","-89.708704","452.6","TOMAHAWK 4.6 N, WI US","0","3,N","0","3,N","0","3,N","3","1,N","20210205",",1,N","20210204",",3,N","206","1,,N,05,","0.0","3,T,N,04,","0.0","3,T,,N","346","1,,,N"
"US1WILN0006","2021-03","45.539177","-89.708704","452.6","TOMAHAWK 4.6 N, WI US","3","4,N","3","4,N","0","4,N","","","","","20210311",",4,N","","","11.9","4,,N,11,","26.4","4,,,N","",""
"US1WILN0006","2021-04","45.539177","-89.708704","452.6","TOMAHAWK 4.6 N, WI US","18","1,N","10","1,N","0","1,N","","","","","20210407",",1,N","","","19.8","1,,N,07,","83.3","1,,,N","",""
"US1WILN0006","2021-05","45.539177","-89.708704","452.6","TOMAHAWK 4.6 N, WI US","13","2,N","7","2,N","0","2,N","","","","","20210521",",2,N","","","21.1","2,,N,21,","58.2","2,,,N","",""
"US1WILN0006","2021-06","45.539177","-89.708704","452.6","TOMAHAWK 4.6 N, WI US","14",",N","9",",N","1",",N","","","","","20210611",",,N","","","47.0",",,N,11,","97.3",",,,N","",""
"US1WILN0006","2021-07","45.539177","-89.708704","452.6","TOMAHAWK 4.6 N, WI US","9","1,N","7","1,N","1","1,N","","","","","20210727",",1,N","","","36.3","1,,N,27,","127.1","1,,,N","",""
"US1WILN0006","2021-08","45.539177","-89.708704","452.6","TOMAHAWK 4.6 N, WI US","13",",N","8",",N","2",",N","","","","","20210809",",,N","","","63.5",",,N,09,","143.0",",,,N","",""
"US1WILN0006","2021-09","45.539177","-89.708704","452.6","TOMAHAWK 4.6 N, WI US","7","1,N","5","1,N","1","1,N","","","","","20210914",",1,N","","","25.4","1,,N,14,","48.5","1,,,N","",""
"US1WILN0006","2021-10","45.539177","-89.708704","452.6","TOMAHAWK 4.6 N, WI US","10",",N","4",",N","0",",N","","","","","20211021","+,,N","","","8.4",",,N,21,+","33.0",",,,N","",""
"US1WILN0006","2021-11","45.539177","-89.708704","452.6","TOMAHAWK 4.6 N, WI US","4",",N","4",",N","0",",N","2","2,N","20211114",",2,N","20211112",",,N","89","2,,N,14,","17.8",",,N,12,","39.9",",,,N","140","2,,,N"
"US1WILN0006","2021-12","45.539177","-89.708704","452.6","TOMAHAWK 4.6 N, WI US","6","1,N","6","1,N","0","1,N","6","3,N","20211211",",3,N","20211206",",1,N","279","3,,N,11,","13.7","1,,N,06,","41.3","1,,,N","698","3,,,N"
"US1WILN0006","2022-01","45.539177","-89.708704","452.6","TOMAHAWK 4.6 N, WI US","","","","","","","6","1,N","20220105",",1,N","","","127","1,,N,05,","","","","","342","1,,,N"
"US1WILN0006","2022-02","45.539177","-89.708704","452.6","TOMAHAWK 4.6 N, WI US","1","5,N","0","5,N","0","5,N","4",",N","20220223",",,N","20220207",",5,N","140",",,N,23,","1.3","5,,N,07,","1.3","5,,,N","368",",,,N"
"US1WILN0006","2022-05","45.539177","-89.708704","452.6","TOMAHAWK 4.6 N, WI US","15",",N","11",",N","1",",N","","","","","20220512",",,N","","","38.1",",,N,12,","113.2",",,,N","",""
"US1WILN0006","2022-06","45.539177","-89.708704","452.6","TOMAHAWK 4.6 N, WI US","8",",N","4",",N","0",",N","","","","","20220616",",,N","","","19.1",",,N,16,","40.1",",,,N","",""
"US1WILN0006","2022-07","45.539177","-89.708704","452.6","TOMAHAWK 4.6 N, WI US","13",",N","6",",N","0",",N","","","","","20220719",",,N","","","22.6",",,N,19,","61.2",",,,N","",""
"US1WILN0006","2022-08","45.539177","-89.708704","452.6","TOMAHAWK 4.6 N, WI US","12",",N","8",",N","0",",N","","","","","20220808",",,N","","","21.6",",,N,08,","112.4",",,,N","",""
"US1WILN0006","2022-09","45.539177","-89.708704","452.6","TOMAHAWK 4.6 N, WI US","9",",N","4",",N","0",",N","","","","","20220911",",,N","","","7.9",",,N,11,","23.6",",,,N","",""
"US1WILN0006","2022-10","45.539177","-89.708704","452.6","TOMAHAWK 4.6 N, WI US","11",",N","4",",N","0",",N","","","","","20221025",",,N","","","19.1",",,N,25,","42.9",",,,N","",""
"US1WILN0006","2022-11","45.539177","-89.708704","452.6","TOMAHAWK 4.6 N, WI US","6",",N","5",",N","1",",N","","","","","20221106",",,N","","","25.4",",,N,06,","68.3",",,,N","",""
"US1WILN0006","2022-12","45.539177","-89.708704","452.6","TOMAHAWK 4.6 N, WI US","","","","","","","5","1,N","20221222",",1,N","","","102","1,,N,22,","","","","","279","1,,,N"
"US1WILN0006","2023-02","45.539177","-89.708704","452.6","TOMAHAWK 4.6 N, WI US","","","","","","","6","2,N","20230223",",2,N","","","152","2,,N,23,","","","","","495","2,,,N"
"US1WILN0006","2023-03","45.539177","-89.708704","452.6","TOMAHAWK 4.6 N, WI US","","","","","","","9","1,N","20230313",",1,N","","","152","1,,N,13,","","","","","532","1,,,N"
"US1WILN0006","2023-05","45.539177","-89.708704","452.6","TOMAHAWK 4.6 N, WI US","6","1,N","3","1,N","0","1,N","","","","","20230507",",1,N","","","16.8","1,,N,07,","35.1","1,,,N","",""
"US1WILN0006","2023-06","45.539177","-89.708704","452.6","TOMAHAWK 4.6 N, WI US","10",",N","5",",N","0",",N","","","","","20230625",",,N","","","21.6",",,N,25,","54.1",",,,N","",""
"US1WILN0006","2023-07","45.539177","-89.708704","452.6","TOMAHAWK 4.6 N, WI US","12","2,N","5","2,N","1","2,N","","","","","20230728",",2,N","","","25.4","2,,N,28,","79.1","2,,,N","",""
"US1WILN0006","2023-08","45.539177","-89.708704","452.6","TOMAHAWK 4.6 N, WI US","5","2,N","3","2,N","0","2,N","","","","","20230817",",2,N","","","22.4","2,,N,17,","34.1","2,,,N","",""
"US1WILN0006","2023-09","45.539177","-89.708704","452.6","TOMAHAWK 4.6 N, WI US","13",",N","7",",N","0",",N","","","","","20230924",",,N","","","20.8",",,N,24,","83.6",",,,N","",""
"US1WILN0006","2024-01","45.539177","-89.708704","452.6","TOMAHAWK 4.6 N, WI US","","","","","","","3","2,N","20240113",",2,N","","","76","2,,N,13,","","","","","165","2,,,N"
"US1WILN0006","2024-02","45.539177","-89.708704","452.6","TOMAHAWK 4.6 N, WI US","0","5,N","0","5,N","0","5,N","2",",N","20240215",",,N","20240229","+,5,N","140",",,N,15,","0.0","5,,N,29,+","0.0","5,,,N","165",",,,N"
"US1WILN0006","2024-04","45.539177","-89.708704","452.6","TOMAHAWK 4.6 N, WI US","12","2,N","7","2,N","0","2,N","","","","","20240417",",2,N","","","14.7","2,,N,17,","65.4","2,,,N","",""
"US1WILN0006","2024-06","45.539177","-89.708704","452.6","TOMAHAWK 4.6 N, WI US","17","1,N","14","1,N","3","1,N","","","","","20240616",",1,N","","","30.0","1,,N,16,","179.3","1,,,N","",""
