"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1WISK0027","2021-09","43.404","-90.124","342.9","HILLPOINT 1.5 SSW, WI US","7",",N","5",",N","1",",N","0",",N","0",",N","20210930","+,,N","20210930","+,,N","20210921",",,N","0",",,N,30,+","0",",,N,30,+","26.4",",,N,21,","50.6",",,,N","0",",,,N"
"US1WISK0027","2021-10","43.404","-90.124","342.9","HILLPOINT 1.5 SSW, WI US","13",",N","7",",N","0",",N","0","1,N","0",",N","20211031","+,1,N","20211031","+,,N","20211008",",,N","0","1,,N,31,+","0",",,N,31,+","14.7",",,N,08,","47.8",",,,N","0",",,,N"
"US1WISK0027","2021-11","43.404","-90.124","342.9","HILLPOINT 1.5 SSW, WI US","4",",N","3",",N","0",",N","0",",N","0",",N","20211114",",,N","20211114",",,N","20211111",",,N","13",",,N,14,","23",",,N,14,","11.7",",,N,11,","25.6",",,,N","23",",,,N"
"US1WISK0027","2021-12","43.404","-90.124","342.9","HILLPOINT 1.5 SSW, WI US","7",",N","3",",N","0",",N","6",",N","2",",N","20211229",",,N","20211229",",,N","20211227",",,N","127",",,N,29,","86",",,N,29,","6.4",",,N,27,","21.2",",,,N","176",",,,N"
"US1WISK0027","2022-01","43.404","-90.124","342.9","HILLPOINT 1.5 SSW, WI US","4",",N","2",",N","0",",N","31",",N","3",",N","20220129","+,,N","20220123",",,N","20220123",",,N","165",",,N,29,+","76",",,N,23,","3.6",",,N,23,","7.4",",,,N","155",",,,N"
"US1WISK0027","2022-02","43.404","-90.124","342.9","HILLPOINT 1.5 SSW, WI US","7",",N","1",",N","0",",N","24",",N","1",",N","20220201",",,N","20220225",",,N","20220223",",,N","127",",,N,01,","76",",,N,25,","5.6",",,N,23,","10.0",",,,N","126",",,,N"
"US1WISK0027","2022-03","43.404","-90.124","342.9","HILLPOINT 1.5 SSW, WI US","11",",N","9",",N","0",",N","8","1,N","2",",N","20220308","+,1,N","20220307",",,N","20220306",",,N","102","1,,N,08,+","102",",,N,07,","24.1",",,N,06,","95.5",",,,N","148",",,,N"
"US1WISK0027","2022-04","43.404","-90.124","342.9","HILLPOINT 1.5 SSW, WI US","14","1,N","8","1,N","0","1,N","","","4","4,N","","","20220419","+,4,N","20220423",",1,N","","","25","4,,N,19,+","17.0","1,,N,23,","58.3","1,,,N","100","4,,,N"
"US1WISK0027","2022-05","43.404","-90.124","342.9","HILLPOINT 1.5 SSW, WI US","12","1,N","4","1,N","0","1,N","","","","","","","","","20220526",",1,N","","","","","18.3","1,,N,26,","52.7","1,,,N","",""
"US1WISK0027","2022-06","43.404","-90.124","342.9","HILLPOINT 1.5 SSW, WI US","12",",N","9",",N","0",",N","","","","","","","","","20220616",",,N","","","","","25.1",",,N,16,","105.4",",,,N","",""
"US1WISK0027","2022-07","43.404","-90.124","342.9","HILLPOINT 1.5 SSW, WI US","11",",N","8",",N","2",",N","","","","","","","","","20220724",",,N","","","","","79.8",",,N,24,","157.1",",,,N","",""
"US1WISK0027","2022-08","43.404","-90.124","342.9","HILLPOINT 1.5 SSW, WI US","12",",N","9",",N","3",",N","","","","","","","","","20220807",",,N","","","","","50.0",",,N,07,","188.7",",,,N","",""
"US1WISK0027","2022-09","43.404","-90.124","342.9","HILLPOINT 1.5 SSW, WI US","9",",N","6",",N","0",",N","","","","","","","","","20220911",",,N","","","","","22.1",",,N,11,","59.6",",,,N","",""
"US1WISK0027","2022-10","43.404","-90.124","342.9","HILLPOINT 1.5 SSW, WI US","10",",N","3",",N","0",",N","","","0",",N","","","20221031","+,,N","20221025",",,N","","","0",",,N,31,+","9.9",",,N,25,","24.1",",,,N","0",",,,N"
"US1WISK0027","2022-11","43.404","-90.124","342.9","HILLPOINT 1.5 SSW, WI US","8",",N","4",",N","2",",N","","","2",",N","","","20221116",",,N","20221105",",,N","","","76",",,N,16,","38.9",",,N,05,","83.5",",,,N","117",",,,N"
"US1WISK0027","2022-12","43.404","-90.124","342.9","HILLPOINT 1.5 SSW, WI US","12","2,N","5","2,N","1","2,N","","","5","2,N","","","20221210",",2,N","20221215",",2,N","","","132","2,,N,10,","31.2","2,,N,15,","78.9",",a,,N","398","2,,,N"
"US1WISK0027","2023-01","43.404","-90.124","342.9","HILLPOINT 1.5 SSW, WI US","13",",N","6",",N","0",",N","28",",N","5",",N","20230131","+,,N","20230129",",,N","20230117",",,N","178",",,N,31,+","89",",,N,29,","13.2",",,N,17,","39.1",",,,N","259",",,,N"
"US1WISK0027","2023-02","43.404","-90.124","342.9","HILLPOINT 1.5 SSW, WI US","8",",N","4",",N","0",",N","18",",N","3",",N","20230202","+,,N","20230223",",,N","20230228",",,N","178",",,N,02,+","76",",,N,23,","19.1",",,N,28,","60.5",",,,N","203",",,,N"
"US1WISK0027","2023-03","43.404","-90.124","342.9","HILLPOINT 1.5 SSW, WI US","8",",N","6",",N","0",",N","10",",N","5",",N","20230312","+,,N","20230310",",,N","20230317",",,N","178",",,N,12,+","178",",,N,10,","12.2",",,N,17,","53.4",",,,N","411",",,,N"
"US1WISK0027","2023-04","43.404","-90.124","342.9","HILLPOINT 1.5 SSW, WI US","13",",N","7",",N","0",",N","2",",N","1",",N","20230417",",,N","20230417",",,N","20230417",",,N","165",",,N,17,","165",",,N,17,","24.4",",,N,17,","107.0",",,,N","173",",,,N"
"US1WISK0027","2023-05","43.404","-90.124","342.9","HILLPOINT 1.5 SSW, WI US","6","2,N","3","2,N","0","2,N","","","0","2,N","","","20230531","+,2,N","20230515",",2,N","","","0","2,,N,31,+","9.7","2,,N,15,","23.4",",a,,N","0","2,,,N"
"US1WISK0027","2023-07","43.404","-90.124","342.9","HILLPOINT 1.5 SSW, WI US","13",",N","6",",N","2",",N","0",",N","0",",N","20230731","+,,N","20230731","+,,N","20230713",",,N","0",",,N,31,+","0",",,N,31,+","51.8",",,N,13,","126.0",",,,N","0",",,,N"
"US1WISK0027","2023-08","43.404","-90.124","342.9","HILLPOINT 1.5 SSW, WI US","7",",N","4",",N","1",",N","0",",N","0",",N","20230831","+,,N","20230831","+,,N","20230815",",,N","0",",,N,31,+","0",",,N,31,+","35.1",",,N,15,","60.0",",,,N","0",",,,N"
"US1WISK0027","2023-09","43.404","-90.124","342.9","HILLPOINT 1.5 SSW, WI US","15",",N","6",",N","1",",N","0",",N","0",",N","20230930","+,,N","20230930","+,,N","20230926",",,N","0",",,N,30,+","0",",,N,30,+","45.5",",,N,26,","74.8",",,,N","0",",,,N"
"US1WISK0027","2023-10","43.404","-90.124","342.9","HILLPOINT 1.5 SSW, WI US","9",",N","4",",N","1",",N","0",",N","0",",N","20231031",",,N","20231031","+,,N","20231014",",,N","0",",T,N,31,","0",",T,N,31,+","29.5",",,N,14,","73.8",",,,N","0",",T,,N"
"US1WISK0027","2023-11","43.404","-90.124","342.9","HILLPOINT 1.5 SSW, WI US","6",",N","2",",N","0",",N","4",",N","1",",N","20231127",",,N","20231126",",,N","20231108",",,N","38",",,N,27,","25",",,N,26,","5.3",",,N,08,","11.0",",,,N","43",",,,N"
"US1WISK0027","2023-12","43.404","-90.124","342.9","HILLPOINT 1.5 SSW, WI US","11",",N","5",",N","0",",N","1",",N","2",",N","20231203",",,N","20231203",",,N","20231226",",,N","51",",,N,03,","46",",,N,03,","16.0",",,N,26,","35.3",",,,N","87",",,,N"
"US1WISK0027","2024-01","43.404","-90.124","342.9","HILLPOINT 1.5 SSW, WI US","11",",N","6",",N","0",",N","24",",N","5",",N","20240113",",,N","20240113",",,N","20240113",",,N","508",",,N,13,","267",",,N,13,","7.9",",,N,13,","32.2",",,,N","613",",,,N"
"US1WISK0027","2024-02","43.404","-90.124","342.9","HILLPOINT 1.5 SSW, WI US","3",",N","1",",N","0",",N","6",",N","1",",N","20240201",",,N","20240215",",,N","20240215",",,N","89",",,N,01,","25",",,N,15,","9.7",",,N,15,","10.5",",,,N","30",",,,N"
"US1WISK0027","2024-03","43.404","-90.124","342.9","HILLPOINT 1.5 SSW, WI US","8",",N","7",",N","0",",N","3",",N","2",",N","20240322",",,N","20240322",",,N","20240326",",,N","51",",,N,22,","56",",,N,22,","9.9",",,N,26,","45.3",",,,N","81",",,,N"
