"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1WIWK0054","2017-10","43.0286893","-88.260926","295.0","WAUKESHA 1.6 NW, WI US","9","4,N","6","4,N","1","4,N","","","","","","","","","20171011",",4,N","","","","","35.3","4,,N,11,","117.3",",a,,N","",""
"US1WIWK0054","2017-11","43.0286893","-88.260926","295.0","WAUKESHA 1.6 NW, WI US","8",",N","5",",N","0",",N","0",",N","0",",N","20171130","+,,N","20171119",",,N","20171115","+,,N","0",",,N,30,+","5",",,N,19,","5.8",",,N,15,+","28.4",",,,N","5",",,,N"
"US1WIWK0054","2017-12","43.0286893","-88.260926","295.0","WAUKESHA 1.6 NW, WI US","","","","","","","","","2",",N","","","20171225",",,N","","","","","33",",,N,25,","","","","","88",",,,N"
"US1WIWK0054","2018-01","43.0286893","-88.260926","295.0","WAUKESHA 1.6 NW, WI US","","","","","","","","","3",",N","","","20180116",",,N","","","","","71",",,N,16,","","","","","150",",,,N"
"US1WIWK0054","2018-02","43.0286893","-88.260926","295.0","WAUKESHA 1.6 NW, WI US","","","","","","","","","3",",N","","","20180204",",,N","","","","","117",",,N,04,","","","","","362",",,,N"
"US1WIWK0054","2018-03","43.0286893","-88.260926","295.0","WAUKESHA 1.6 NW, WI US","","","","","","","","","1",",N","","","20180306",",,N","","","","","53",",,N,06,","","","","","56",",,,N"
"US1WIWK0054","2018-04","43.0286893","-88.260926","295.0","WAUKESHA 1.6 NW, WI US","10","1,N","6","1,N","0","1,N","","","4",",N","","","20180416",",,N","20180415",",1,N","","","109",",,N,16,","25.1","1,,N,15,","84.1","1,,,N","338",",,,N"
"US1WIWK0054","2018-05","43.0286893","-88.260926","295.0","WAUKESHA 1.6 NW, WI US","17",",N","10",",N","0",",N","","","","","","","","","20180512",",,N","","","","","23.4",",,N,12,","136.3",",,,N","",""
"US1WIWK0054","2018-06","43.0286893","-88.260926","295.0","WAUKESHA 1.6 NW, WI US","13",",N","7",",N","2",",N","","","","","","","","","20180619",",,N","","","","","43.2",",,N,19,","142.5",",,,N","",""
"US1WIWK0054","2018-07","43.0286893","-88.260926","295.0","WAUKESHA 1.6 NW, WI US","7",",N","5",",N","0",",N","","","","","","","","","20180720",",,N","","","","","18.5",",,N,20,","58.1",",,,N","",""
"US1WIWK0054","2018-08","43.0286893","-88.260926","295.0","WAUKESHA 1.6 NW, WI US","10",",N","8",",N","2",",N","","","","","","","","","20180827",",,N","","","","","57.7",",,N,27,","176.7",",,,N","",""
"US1WIWK0054","2018-09","43.0286893","-88.260926","295.0","WAUKESHA 1.6 NW, WI US","12",",N","9",",N","2",",N","","","","","","","","","20180906",",,N","","","","","45.0",",,N,06,","144.8",",,,N","",""
"US1WIWK0054","2018-10","43.0286893","-88.260926","295.0","WAUKESHA 1.6 NW, WI US","16",",N","9",",N","1",",N","0",",N","0",",N","20181031","+,,N","20181031","+,,N","20181001",",,N","0",",,N,31,+","0",",,N,31,+","41.1",",,N,01,","121.7",",,,N","0",",,,N"
