"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1WIWW0031","2021-05","42.7475","-88.5514","283.2","ELKHORN 5.3 N, WI US","11",",N","6",",N","0",",N","","","","","20210504",",,N","","","20.1",",,N,04,","60.2",",,,N","",""
"US1WIWW0031","2021-06","42.7475","-88.5514","283.2","ELKHORN 5.3 N, WI US","6","4,N","5","4,N","1","4,N","","","","","20210618",",4,N","","","30.2","4,,N,18,","54.9",",a,,N","",""
"US1WIWW0031","2021-09","42.7475","-88.5514","283.2","ELKHORN 5.3 N, WI US","5",",N","3",",N","0",",N","0","5,N","20210930","+,5,N","20210908",",,N","0","5,,N,30,+","6.6",",,N,08,","19.3",",,,N","0","5,,,N"
"US1WIWW0031","2021-10","42.7475","-88.5514","283.2","ELKHORN 5.3 N, WI US","15","1,N","9","1,N","2","1,N","","","","","20211025","+,1,N","","","33.5","1,,N,25,+","127.3","1,,,N","",""
"US1WIWW0031","2021-11","42.7475","-88.5514","283.2","ELKHORN 5.3 N, WI US","5","1,N","1","1,N","0","1,N","","","","","20211112",",1,N","","","10.7","1,,N,12,","14.0","1,,,N","",""
"US1WIWW0031","2021-12","42.7475","-88.5514","283.2","ELKHORN 5.3 N, WI US","6",",N","5",",N","0",",N","","","","","20211211",",,N","","","21.8",",,N,11,","48.7",",,,N","",""
"US1WIWW0031","2022-01","42.7475","-88.5514","283.2","ELKHORN 5.3 N, WI US","7",",N","2",",N","0",",N","","","","","20220124","+,,N","","","4.3",",,N,24,+","14.0",",,,N","",""
"US1WIWW0031","2022-02","42.7475","-88.5514","283.2","ELKHORN 5.3 N, WI US","8",",N","3",",N","0",",N","","","","","20220217",",,N","","","6.1",",,N,17,","17.1",",,,N","",""
"US1WIWW0031","2022-03","42.7475","-88.5514","283.2","ELKHORN 5.3 N, WI US","13",",N","6",",N","0",",N","","","","","20220331",",,N","","","21.6",",,N,31,","91.0",",,,N","",""
"US1WIWW0031","2022-04","42.7475","-88.5514","283.2","ELKHORN 5.3 N, WI US","16","1,N","11","1,N","1","1,N","","","","","20220423",",1,N","","","37.8","1,,N,23,","114.3","1,,,N","",""
"US1WIWW0031","2022-05","42.7475","-88.5514","283.2","ELKHORN 5.3 N, WI US","9",",N","7",",N","0",",N","","","","","20220526",",,N","","","22.4",",,N,26,","80.4",",,,N","",""
"US1WIWW0031","2022-06","42.7475","-88.5514","283.2","ELKHORN 5.3 N, WI US","10","5,N","5","5,N","0","5,N","","","","","20220609",",5,N","","","7.6","5,,N,09,","31.0",",a,,N","",""
"US1WIWW0031","2022-08","42.7475","-88.5514","283.2","ELKHORN 5.3 N, WI US","11",",N","8",",N","1",",N","","","","","20220807",",,N","","","39.6",",,N,07,","107.4",",,,N","",""
"US1WIWW0031","2022-09","42.7475","-88.5514","283.2","ELKHORN 5.3 N, WI US","7",",N","5",",N","2",",N","","","","","20220912",",,N","","","95.5",",,N,12,","150.3",",,,N","",""
"US1WIWW0031","2022-10","42.7475","-88.5514","283.2","ELKHORN 5.3 N, WI US","8",",N","3",",N","0",",N","","","","","20221026",",,N","","","14.0",",,N,26,","31.2",",,,N","",""
"US1WIWW0031","2022-11","42.7475","-88.5514","283.2","ELKHORN 5.3 N, WI US","7",",N","4",",N","1",",N","","","","","20221105",",,N","","","42.7",",,N,05,","60.3",",,,N","",""
"US1WIWW0031","2022-12","42.7475","-88.5514","283.2","ELKHORN 5.3 N, WI US","9",",N","3",",N","0",",N","","","","","20221215",",,N","","","24.1",",,N,15,","46.2",",,,N","",""
"US1WIWW0031","2023-01","42.7475","-88.5514","283.2","ELKHORN 5.3 N, WI US","15",",N","5",",N","0",",N","","","","","20230129",",,N","","","10.7",",,N,29,","40.1",",,,N","",""
"US1WIWW0031","2023-02","42.7475","-88.5514","283.2","ELKHORN 5.3 N, WI US","9",",N","5",",N","0",",N","","","","","20230223",",,N","","","24.1",",,N,23,","95.4",",,,N","",""
"US1WIWW0031","2023-03","42.7475","-88.5514","283.2","ELKHORN 5.3 N, WI US","13",",N","8",",N","0",",N","","","","","20230310",",,N","","","16.3",",,N,10,","65.8",",,,N","",""
"US1WIWW0031","2023-04","42.7475","-88.5514","283.2","ELKHORN 5.3 N, WI US","11","1,N","7","1,N","0","1,N","","","","","20230417",",1,N","","","17.8","1,,N,17,","66.9","1,,,N","",""
"US1WIWW0031","2023-05","42.7475","-88.5514","283.2","ELKHORN 5.3 N, WI US","8",",N","5",",N","0",",N","","","","","20230509",",,N","","","14.2",",,N,09,","41.2",",,,N","",""
"US1WIWW0031","2023-08","42.7475","-88.5514","283.2","ELKHORN 5.3 N, WI US","6",",N","4",",N","1",",N","","","","","20230815",",,N","","","26.4",",,N,15,","47.3",",,,N","",""
