"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1WYLM0019","2005-02","41.1258","-104.2541","1612.1","BURNS 7.1 SE, WY US","2",",N","1",",N","0",",N","","","","","20050215",",,N","","","4.3",",,N,15,","4.6",",,,N","",""
"US1WYLM0019","2005-03","41.1258","-104.2541","1612.1","BURNS 7.1 SE, WY US","4",",N","0",",N","0",",N","","","","","20050324",",,N","","","2.0",",,N,24,","5.5",",,,N","",""
"US1WYLM0019","2005-04","41.1258","-104.2541","1612.1","BURNS 7.1 SE, WY US","10","1,N","6","1,N","0","1,N","","","","","20050421",",1,N","","","16.5","1,,N,21,","46.0","1,,,N","",""
"US1WYLM0019","2005-05","41.1258","-104.2541","1612.1","BURNS 7.1 SE, WY US","8",",N","4",",N","1",",N","0",",N","20050531","+,,N","20050531",",,N","0",",,N,31,+","26.2",",,N,31,","41.6",",,,N","0",",,,N"
"US1WYLM0019","2005-06","41.1258","-104.2541","1612.1","BURNS 7.1 SE, WY US","12",",N","8",",N","1",",N","0",",N","20050630","+,,N","20050604",",,N","0",",,N,30,+","34.3",",,N,04,","85.9",",,,N","0",",,,N"
"US1WYLM0019","2005-07","41.1258","-104.2541","1612.1","BURNS 7.1 SE, WY US","6",",N","4",",N","0",",N","0",",N","20050731","+,,N","20050726",",,N","0",",,N,31,+","11.7",",,N,26,","33.6",",,,N","0",",,,N"
"US1WYLM0019","2005-08","41.1258","-104.2541","1612.1","BURNS 7.1 SE, WY US","10",",N","2",",N","0",",N","0",",N","20050831","+,,N","20050817",",,N","0",",,N,31,+","5.3",",,N,17,","20.7",",,,N","0",",,,N"
"US1WYLM0019","2005-09","41.1258","-104.2541","1612.1","BURNS 7.1 SE, WY US","3","1,N","3","1,N","0","1,N","0","1,N","20050930","+,1,N","20050908",",1,N","0","1,,N,30,+","8.6","1,,N,08,","14.7","1,,,N","0","1,,,N"
"US1WYLM0019","2005-10","41.1258","-104.2541","1612.1","BURNS 7.1 SE, WY US","4",",N","3",",N","0",",N","1",",N","20051010",",,N","20051011",",,N","38",",,N,10,","20.6",",,N,11,","42.7",",,,N","38",",,,N"
"US1WYLM0019","2005-11","41.1258","-104.2541","1612.1","BURNS 7.1 SE, WY US","2","2,N","0","2,N","0","2,N","0","2,N","20051128","+,2,N","20051112",",2,N","0","2,T,N,28,+","1.0","2,,N,12,","1.3","2,,,N","0","2,T,,N"
"US1WYLM0019","2005-12","41.1258","-104.2541","1612.1","BURNS 7.1 SE, WY US","4",",N","1",",N","0",",N","3",",N","20051217",",,N","20051218",",,N","79",",,N,17,","3.8",",,N,18,","5.7",",,,N","160",",,,N"
"US1WYLM0019","2006-01","41.1258","-104.2541","1612.1","BURNS 7.1 SE, WY US","1",",N","0",",N","0",",N","0",",N","20060109",",,N","20060109",",,N","13",",,N,09,","1.0",",,N,09,","1.0",",,,N","13",",,,N"
"US1WYLM0019","2006-02","41.1258","-104.2541","1612.1","BURNS 7.1 SE, WY US","3",",N","2",",N","0",",N","1",",N","20060216",",,N","20060216",",,N","130",",,N,16,","6.6",",,N,16,","10.9",",,,N","140",",,,N"
