"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1WYNT0092","2022-04","42.829991","-106.343413","1592.3","CASPER 0.7 WSW, WY US","13",",N","8",",N","1",",N","6","1,N","5",",N","20220424","+,1,N","20220423",",,N","20220423",",,N","127","1,,N,24,+","127",",,N,23,","27.9",",,N,23,","76.2",",,,N","369",",,,N"
"US1WYNT0092","2022-05","42.829991","-106.343413","1592.3","CASPER 0.7 WSW, WY US","6","3,N","2","3,N","1","3,N","","","0","3,N","","","20220521",",3,N","20220531",",3,N","","","13","3,,N,21,","33.3","3,,N,31,","47.1",",a,,N","23","3,,,N"
"US1WYNT0092","2022-06","42.829991","-106.343413","1592.3","CASPER 0.7 WSW, WY US","5","2,N","0","2,N","0","2,N","","","0","2,N","","","20220630","+,2,N","20220625","+,2,N","","","0","2,,N,30,+","1.5","2,,N,25,+","4.8","2,,,N","0","2,,,N"
"US1WYNT0092","2022-07","42.829991","-106.343413","1592.3","CASPER 0.7 WSW, WY US","5",",N","1",",N","0",",N","0",",N","0",",N","20220731","+,,N","20220731","+,,N","20220702",",,N","0",",,N,31,+","0",",,N,31,+","3.6",",,N,02,","5.7",",,,N","0",",,,N"
"US1WYNT0092","2022-08","42.829991","-106.343413","1592.3","CASPER 0.7 WSW, WY US","10",",N","4",",N","1",",N","0",",N","0",",N","20220831","+,,N","20220831","+,,N","20220812",",,N","0",",,N,31,+","0",",,N,31,+","36.1",",,N,12,","76.8",",,,N","0",",,,N"
"US1WYNT0092","2022-09","42.829991","-106.343413","1592.3","CASPER 0.7 WSW, WY US","9",",N","2",",N","0",",N","0","1,N","0","1,N","20220930","+,1,N","20220930","+,1,N","20220910",",,N","0","1,,N,30,+","0","1,,N,30,+","12.4",",,N,10,","26.9",",,,N","0","1,,,N"
"US1WYNT0092","2022-10","42.829991","-106.343413","1592.3","CASPER 0.7 WSW, WY US","6",",N","2",",N","0",",N","","","0","1,N","","","20221025","+,1,N","20221002",",,N","","","0","1,T,N,25,+","7.9",",,N,02,","14.8",",,,N","0","1,T,,N"
"US1WYNT0092","2022-11","42.829991","-106.343413","1592.3","CASPER 0.7 WSW, WY US","11",",N","6",",N","0",",N","15","1,N","6","1,N","20221129","+,1,N","20221117",",1,N","20221127",",,N","140","1,,N,29,+","140","1,,N,17,","8.6",",,N,27,","33.5",",,,N","532","1,,,N"
"US1WYNT0092","2022-12","42.829991","-106.343413","1592.3","CASPER 0.7 WSW, WY US","5",",N","4",",N","0",",N","16","2,N","4",",N","20221214",",2,N","20221214",",,N","20221222",",,N","241","2,,N,14,","127",",,N,14,","6.1",",,N,22,","21.3",",,,N","424",",,,N"
"US1WYNT0092","2023-01","42.829991","-106.343413","1592.3","CASPER 0.7 WSW, WY US","12",",N","7",",N","0",",N","","","8","1,N","","","20230102",",1,N","20230102",",,N","","","305","1,,N,02,","13.2",",,N,02,","56.2",",,,N","923","1,,,N"
