"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1WYSH0048","2017-10","44.68027778","-106.9869444","1238.1","BIG HORN 0.3 ESE, WY US","8",",N","1",",N","0",",N","","","","","","","","","20171008",",,N","","","","","3.6",",,N,08,","11.2",",,,N","",""
"US1WYSH0048","2017-11","44.68027778","-106.9869444","1238.1","BIG HORN 0.3 ESE, WY US","10",",N","5",",N","0",",N","","","","","","","","","20171102",",,N","","","","","8.4",",,N,02,","30.0",",,,N","",""
"US1WYSH0048","2017-12","44.68027778","-106.9869444","1238.1","BIG HORN 0.3 ESE, WY US","10",",N","5",",N","0",",N","","","6",",N","","","20171217",",,N","20171217",",,N","","","89",",,N,17,","15.2",",,N,17,","33.2",",,,N","400",",,,N"
"US1WYSH0048","2018-01","44.68027778","-106.9869444","1238.1","BIG HORN 0.3 ESE, WY US","8",",N","3",",N","0",",N","30","1,N","5","3,N","20180116","+,1,N","20180115",",3,N","20180115",",,N","203","1,,N,16,+","79","3,,N,15,","7.1",",,N,15,","22.1",",,,N","238","3,,,N"
"US1WYSH0048","2018-02","44.68027778","-106.9869444","1238.1","BIG HORN 0.3 ESE, WY US","14",",N","6",",N","0",",N","27","1,N","7","2,N","20180219",",1,N","20180209",",2,N","20180209",",,N","432","1,,N,19,","157","2,,N,09,","9.7",",,N,09,","42.9",",,,N","636","2,,,N"
"US1WYSH0048","2018-03","44.68027778","-106.9869444","1238.1","BIG HORN 0.3 ESE, WY US","10",",N","6",",N","0",",N","21","5,N","3",",N","20180306","+,5,N","20180331",",,N","20180331",",,N","305","5,,N,06,+","107",",,N,31,","12.2",",,N,31,","41.7",",,,N","183",",,,N"
"US1WYSH0048","2018-04","44.68027778","-106.9869444","1238.1","BIG HORN 0.3 ESE, WY US","12",",N","6",",N","0",",N","","","3","2,N","","","20180406",",2,N","20180403",",,N","","","208","2,,N,06,","18.8",",,N,03,","56.2",",,,N","429","2,,,N"
"US1WYSH0048","2018-05","44.68027778","-106.9869444","1238.1","BIG HORN 0.3 ESE, WY US","16",",N","8",",N","0",",N","","","","","","","","","20180528",",,N","","","","","19.1",",,N,28,","109.4",",,,N","",""
"US1WYSH0048","2018-06","44.68027778","-106.9869444","1238.1","BIG HORN 0.3 ESE, WY US","14","5,N","4","5,N","0","5,N","","","","","","","","","20180602",",5,N","","","","","15.7","5,,N,02,","48.2",",a,,N","",""
"US1WYSH0048","2018-07","44.68027778","-106.9869444","1238.1","BIG HORN 0.3 ESE, WY US","10",",N","4",",N","0",",N","","","","","","","","","20180728",",,N","","","","","11.7",",,N,28,","34.3",",,,N","",""
"US1WYSH0048","2018-08","44.68027778","-106.9869444","1238.1","BIG HORN 0.3 ESE, WY US","10","4,N","4","4,N","0","4,N","","","","","","","","","20180815",",4,N","","","","","16.3","4,,N,15,","47.4",",a,,N","",""
"US1WYSH0048","2018-09","44.68027778","-106.9869444","1238.1","BIG HORN 0.3 ESE, WY US","5","3,N","3","3,N","0","3,N","","","","","","","","","20180928",",3,N","","","","","23.1","3,,N,28,","44.8",",a,,N","",""
"US1WYSH0048","2018-10","44.68027778","-106.9869444","1238.1","BIG HORN 0.3 ESE, WY US","13","2,N","5","2,N","0","2,N","","","","","","","","","20181014",",2,N","","","","","22.4","2,,N,14,","65.9",",a,,N","",""
"US1WYSH0048","2018-11","44.68027778","-106.9869444","1238.1","BIG HORN 0.3 ESE, WY US","12","3,N","3","3,N","0","3,N","","","","","","","","","20181106",",3,N","","","","","5.8","3,,N,06,","45.4","1,a,,N","",""
"US1WYSH0048","2018-12","44.68027778","-106.9869444","1238.1","BIG HORN 0.3 ESE, WY US","4","4,N","0","4,N","0","4,N","","","","","","","","","20181228",",4,N","","","","","1.0","4,,N,28,","2.8","2,a,,N","",""
"US1WYSH0048","2019-01","44.68027778","-106.9869444","1238.1","BIG HORN 0.3 ESE, WY US","5","5,N","3","5,N","0","5,N","","","","","","","","","20190122",",5,N","","","","","9.9","5,,N,22,","34.7","1,a,,N","",""
