"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00012209","1998-12","34.57556","-86.93389","167.6","DECATUR 4 SE, AL US","","","","","12",",0","10",",0","2",",0","0","1,0","0",",0","","","","","","","","","","","","","","","19981231","+,1,0","19981231","+,,0","19981212",",,0","","","","","0","1,,0,31,+","0",",,0,31,+","41.1",",,0,12,","","","","","","","169.6",",,,0","0",",,,0","","","","","",""
"USC00012209","1999-01","34.57556","-86.93389","167.6","DECATUR 4 SE, AL US","1.4","0","1.4",",0","14",",0","13",",0","4",",0","0",",0","0",",0","0",",0","11",",0","3",",0","5",",0","0",",0","","","19990105",",,0","19990131","+,,0","19990131","+,,0","19990123",",,0","19990121",",,0","-11.1",",0,05,","0",",,0,31,+","0",",,0,31,+","54.9",",,0,23,","23.3",",0,21,","","","300.5",",0","272.0",",,,0","0",",,,0","8.69",",0","14.02",",,,0","3.35",",,,0"
"USC00012209","1999-02","34.57556","-86.93389","167.6","DECATUR 4 SE, AL US","","","","","12","4,0","6","4,0","1","4,0","","","0","2,0","","","","","","","","","","","","","","","","","19990228","+,2,0","19990227",",4,0","","","","","","","0","2,,0,28,+","27.4","4,,0,27,","","","","","","","72.0","4,,,0","0","2,,,0","","","","","",""
"USC00012209","1999-03","34.57556","-86.93389","167.6","DECATUR 4 SE, AL US","","","","","","","","","","","0",",0","0",",0","","","","","","","","","","","","","","","19990331","+,,0","19990331","+,,0","","","","","","","0",",,0,31,+","0",",,0,31,+","","","","","","","","","","","0",",,,0","","","","","",""
"USC00012209","1999-04","34.57556","-86.93389","167.6","DECATUR 4 SE, AL US","","","","","6","5,0","5","5,0","0","5,0","0",",0","0",",0","","","","","","","","","","","","","","","19990430","+,,0","19990430","+,,0","19990426",",5,0","","","","","0",",,0,30,+","0",",,0,30,+","14.2","5,,0,26,","","","","","","","69.3",",a,,0","0",",,,0","","","","","",""
"USC00012209","1999-05","34.57556","-86.93389","167.6","DECATUR 4 SE, AL US","","","","","11",",0","10",",0","1",",0","","","0","1,0","","","","","","","","","","","","","","","","","19990531","+,1,0","19990506",",,0","","","","","","","0","1,,0,31,+","77.0",",,0,06,","","","","","","","162.6",",,,0","0","1,,,0","","","","","",""
"USC00012209","1999-06","34.57556","-86.93389","167.6","DECATUR 4 SE, AL US","","","","","10","3,0","7","3,0","1","3,0","0",",0","0",",0","","","","","","","","","","","","","","","19990630","+,,0","19990630","+,,0","19990602",",3,0","","","","","0",",,0,30,+","0",",,0,30,+","27.4","3,,0,02,","","","","","","","169.8",",a,,0","0",",,,0","","","","","",""
"USC00012209","1999-07","34.57556","-86.93389","167.6","DECATUR 4 SE, AL US","","","224.1","5,0","8",",0","5",",0","1",",0","0",",0","0",",0","0","4,0","0","4,0","0","4,0","27","4,0","12","4,0","","","19990708",",4,0","19990731","+,,0","19990731","+,,0","19990721",",,0","19990731","+,4,0","15.6","4,0,08,","0",",,0,31,+","0",",,0,31,+","49.8",",,0,21,","35.0","4,0,31,+","0.0","0","0.0","4,0","104.2",",,,0","0",",,,0","26.92","5,0","31.60","4,,,0","22.24","4,,,0"
"USC00012209","1999-08","34.57556","-86.93389","167.6","DECATUR 4 SE, AL US","","","","","4",",0","3",",0","0",",0","","","0","1,0","0","5,0","0","5,0","","","","","","","","","19990815",",5,0","","","19990831","+,1,0","19990819",",,0","","","17.2","5,0,15,","","","0","1,,0,31,+","13.7",",,0,19,","","","","","","","39.8",",,,0","0","1,,,0","","","","","21.47","5,,,0"
"USC00012209","1999-09","34.57556","-86.93389","167.6","DECATUR 4 SE, AL US","","","","","","","","","","","0",",0","0",",0","","","","","","","","","","","","","","","19990930","+,,0","19990930","+,,0","","","","","","","0",",,0,30,+","0",",,0,30,+","","","","","","","","","","","0",",,,0","","","","","",""
