"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00044602","1959-11","40.86667","-123.95","46.0","KORBEL, CA US","","","3",",0","2",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","19591130","+,,0","19591130","+,,0","","","19591121",",,0","","","","","0",",,0,30,+","0",",,0,30,+","14.0",",,0,21,","","","","","","","21.9",",,,0","0",",,,0","","","","","",""
"USC00044602","1959-12","40.86667","-123.95","46.0","KORBEL, CA US","","","9",",0","9",",0","2",",0","0",",0","0",",0","","","","","","","","","","","2","","","","19591231","+,,0","19591231",",,0","","","19591224",",,0","","","","","0",",,0,31,+","13",",,0,31,","35.6",",,0,24,","","","","","","","116.4",",,,0","13",",,,0","","","","","",""
"USC00044602","1960-01","40.86667","-123.95","46.0","KORBEL, CA US","","","21",",0","11",",0","2",",0","0",",0","0",",0","","","","","","","","","","","","","","","19600131","+,,0","19600102",",,0","","","19600111",",,0","","","","","0",",,0,31,+","0",",T,0,02,","35.3",",,0,11,","","","","","","","144.3",",,,0","0",",T,,0","","","","","",""
"USC00044602","1960-02","40.86667","-123.95","46.0","KORBEL, CA US","","","15",",0","12",",0","3",",0","0",",0","0",",0","","","","","","","","","","","","","","","19600229","+,,0","19600229","+,,0","2","","19600207",",,0","","","","","0",",,0,29,+","0",",,0,29,+","63.5",",,0,07,","","","","","","","278.1",",,,0","0",",,,0","","","","","",""
"USC00044602","1960-03","40.86667","-123.95","46.0","KORBEL, CA US","","","19",",0","14",",0","3",",0","0",",0","0",",0","","","","","","","","","","","7","","","","19600331","+,,0","19600331","+,,0","","","19600330",",,0","","","","","0",",,0,31,+","0",",,0,31,+","48.0",",,0,30,","","","","","","","222.7",",,,0","0",",,,0","","","","","",""
"USC00044602","1960-04","40.86667","-123.95","46.0","KORBEL, CA US","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00044602","1960-05","40.86667","-123.95","46.0","KORBEL, CA US","","","12","3,0","12","3,0","1","3,0","0","2,0","0","2,0","","","","","","","","","","","2","","","","19600531","+,2,0","19600531","+,2,0","","","19600526",",3,0","","","","","0","2,,0,31,+","0","2,,0,31,+","30.5","3,,0,26,","","","","","","","134.6","3,,,0","0","2,,,0","","","","","",""
"USC00044602","1960-06","40.86667","-123.95","46.0","KORBEL, CA US","","","0",",0","0",",0","0",",0","0",",0","0",",0","","","","","","","","","","","7","","","","19600630","+,,0","19600630","+,,0","","","19600630","+,,0","","","","","0",",,0,30,+","0",",,0,30,+","0.0",",,0,30,+","","","","","","","0.0",",,,0","0",",,,0","","","","","",""
"USC00044602","1960-07","40.86667","-123.95","46.0","KORBEL, CA US","","","0",",0","0",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","19600731","+,,0","19600731","+,,0","","","19600731","+,,0","","","","","0",",,0,31,+","0",",,0,31,+","0.0",",,0,31,+","","","","","","","0.0",",,,0","0",",,,0","","","","","",""
"USC00044602","1960-08","40.86667","-123.95","46.0","KORBEL, CA US","","","2",",0","0",",0","0",",0","0",",0","0",",0","","","","","","","","","","","2","","","","19600831","+,,0","19600831","+,,0","","","19600822",",,0","","","","","0",",,0,31,+","0",",,0,31,+","0.5",",,0,22,","","","","","","","0.8",",,,0","0",",,,0","","","","","",""
