"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00051441","2018-05","38.90098","-107.90208","2038.8","CEDAREDGE 1 E, CO US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.9",",a,,N","","","","","","","",""
"USC00051441","2018-06","38.90098","-107.90208","2038.8","CEDAREDGE 1 E, CO US","","","","","2","2,N","1","2,N","0","2,N","","","","","","","","","","","","","","","","","","","","","20180617",",2,N","","","","","","","","","9.1","2,,N,17,","","","","","","","9.4","2,,,N","","","","","","","",""
"USC00051441","2018-08","38.90098","-107.90208","2038.8","CEDAREDGE 1 E, CO US","","","","","7","1,N","2","1,N","0","1,N","","","","","","","","","","","","","","","","","","","","","20180822",",1,N","","","","","","","","","16.0","1,,N,22,","","","","","","","26.7","1,,,N","","","","","","","",""
"USC00051441","2018-09","38.90098","-107.90208","2038.8","CEDAREDGE 1 E, CO US","","","","","4","2,N","0","2,N","0","2,N","","","","","","","","","","","","","","","","","","","","","20180907",",2,N","","","","","","","","","2.0","2,,N,07,","","","","","","","4.6","2,,,N","","","","","","","",""
"USC00051441","2018-10","38.90098","-107.90208","2038.8","CEDAREDGE 1 E, CO US","","","","","15",",N","9",",N","0",",N","","","","","","","","","","","","","","","","","","","","","20181003",",,N","","","","","","","","","9.7",",,N,03,","","","","","","","59.7",",,,N","","","","","","","",""
"USC00051441","2018-11","38.90098","-107.90208","2038.8","CEDAREDGE 1 E, CO US","","","","","5","1,N","1","1,N","0","1,N","","","","","","","","","","","","","","","","","","","","","20181130",",1,N","","","","","","","","","5.3","1,,N,30,","","","","","","","7.5","1,,,N","","","","","","","",""
"USC00051441","2018-12","38.90098","-107.90208","2038.8","CEDAREDGE 1 E, CO US","","","","","10",",N","5",",N","0",",N","31",",N","6",",N","","","","","","","","","","","","","20181231",",,N","20181226",",,N","20181226",",,N","","","","","254",",,N,31,","104",",,N,26,","11.7",",,N,26,","","","","","","","32.8",",,,N","407",",,,N","","","","","",""
"USC00051441","2019-01","38.90098","-107.90208","2038.8","CEDAREDGE 1 E, CO US","","","","","12",",N","5",",N","0",",N","31",",N","5",",N","","","","","","","","","","","","","20190122",",,N","20190122",",,N","20190122",",,N","","","","","381",",,N,22,","107",",,N,22,","7.9",",,N,22,","","","","","","","29.8",",,,N","296",",,,N","","","","","",""
"USC00051441","2019-02","38.90098","-107.90208","2038.8","CEDAREDGE 1 E, CO US","","","","","10","5,N","6","5,N","0","5,N","","","4","5,N","","","","","","","","","","","","","","","20190206",",5,N","20190215",",5,N","","","","","","","91","5,,N,06,","19.8","5,,N,15,","","","","","","","49.3","3,a,,N","315","5,,,N","","","","","",""
"USC00051441","2019-03","38.90098","-107.90208","2038.8","CEDAREDGE 1 E, CO US","","","","","10","4,N","4","4,N","1","4,N","","","1","4,N","","","","","","","","","","","","","","","20190313",",4,N","20190313",",4,N","","","","","","","28","4,,N,13,","26.9","4,,N,13,","","","","","","","81.9",",a,,N","46","4,,,N","","","","","",""
