"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00107357","2011-06","47.6428","-115.9173","776.3","PRICHARD 3 ESE, ID US","","","","","1.1",",7","16",",Z","11",",Z","0",",Z","0",",7","0",",7","0",",7","0",",7","0",",7","12",",7","0",",7","","","20110626","+,,7","20110630","+,,7","20110630","+,,7","","","20110603",",,Z","20110629","+,,7","0.6",",7,26,+","0",",,7,30,+","0",",,7,30,+","11.9",",,Z,03,","30.0",",7,29,+","","","172.6",",7","71.6",",,,Z","0",",,,7","12.62",",7","20.39",",,,7","4.85",",,,7","",""
"USC00107357","2011-07","47.6428","-115.9173","776.3","PRICHARD 3 ESE, ID US","","","","","9.0","2,7","9","4,Z","4","4,Z","0","4,Z","0","3,7","0","2,7","0","2,7","0","2,7","0","2,7","23","2,7","4","2,7","","","20110709",",2,7","20110731","+,3,7","20110731","+,2,7","","","20110720",",4,Z","20110731","+,2,7","0.6","2,7,09,","0","3,,7,31,+","0","2,,7,31,+","3.8","4,,Z,20,","32.8","2,7,31,+","90.4","7","90.4","2,7","21.3",",a,,Z","0","2,,,7","15.53","2,7","26.26","2,,,7","4.80","2,,,7","",""
"USC00107357","2011-08","47.6428","-115.9173","776.3","PRICHARD 3 ESE, ID US","","","","","13.8","1,7","1",",Z","0",",Z","0",",Z","0",",7","0",",7","0","1,7","0","1,7","0",",7","31",",7","9",",7","","","20110820","+,1,7","20110831","+,,7","20110831","+,,7","","","20110829",",,Z","20110829",",,7","1.7","1,7,20,+","0",",,7,31,+","0",",,7,31,+","0.3",",,Z,29,","35.0",",7,29,","127.0","7","36.6",",7","0.3",",,,Z","0",",,,7","17.58","1,7","30.05",",,,7","5.12","1,,,7","",""
"USC00107357","2011-09","47.6428","-115.9173","776.3","PRICHARD 3 ESE, ID US","","","","","0.1","5,7","","","","","","","0","4,7","0","4,7","0","5,7","8","5,7","0","4,7","18","4,7","8","4,7","","","20110929",",5,7","20110930","+,4,7","20110930","+,4,7","","","","","20110912",",4,7","-2.2","5,7,29,","0","4,,7,30,+","0","4,,7,30,+","","","33.3","4,7,12,","238.6","7","111.6","4,7","20.9","2,a,,Z","0","4,,,7","13.68","5,7","25.48","4,,,7","1.88","5,,,7","",""
"USC00107357","2011-10","47.6428","-115.9173","776.3","PRICHARD 3 ESE, ID US","","","","","0.0",",7","20",",Z","11",",Z","0",",Z","0",",7","0",",7","0",",7","10",",7","0",",7","5",",7","0",",7","3","","20111028",",,7","20111031","+,,7","20111031","+,,7","","","20111006",",,Z","20111005","+,,7","-5.6",",7,28,","0",",,7,31,+","0",",,7,31,+","18.0",",,Z,06,","24.4",",7,05,+","596.5","7","357.9",",7","95.6",",,,Z","0",",,,7","6.79",",7","12.00",",,,7","1.58",",,,7","",""
"USC00107357","2011-11","47.6428","-115.9173","776.3","PRICHARD 3 ESE, ID US","","","","","0.0","1,7","19",",Z","13",",Z","0",",Z","18","2,7","6","1,7","0","1,7","29","1,7","6",",7","0",",7","0",",7","1","","20111117","+,1,7","20111121","+,2,7","20111113",",1,7","","","20111117",",,Z","20111101",",,7","-13.9","1,7,17,+","254","2,,7,21,+","117","1,,7,13,","17.8",",,Z,17,","7.8",",7,01,","1159.9","7","563.4",",7","120.4",",,,Z","491","1,,,7","-1.07","1,7","2.37",",,,7","-4.50","1,,,7","",""
"USC00107357","2011-12","47.6428","-115.9173","776.3","PRICHARD 3 ESE, ID US","","","","","0.0","1,7","9","2,Z","4","2,Z","2","2,Z","29","1,7","4","1,7","0","1,7","30","1,7","17","1,7","0","1,7","0","1,7","","","20111224",",1,7","20111227",",1,7","20111221",",1,7","1","","20111228",",2,Z","20111229",",1,7","-15.0","1,7,24,","178","1,,7,27,","66","1,,7,21,","33.5","2,,Z,28,","6.7","1,7,29,","1816.3","7","656.4","1,7","83.4",",a,,Z","266","1,,,7","-3.55","1,7","-0.36","1,,,7","-6.74","1,,,7","",""
"USC00107357","2012-01","47.6428","-115.9173","776.3","PRICHARD 3 ESE, ID US","0.3",",7","0.0","7","0.0",",7","14",",7","12",",7","1",",7","27","3,7","5","2,7","0",",7","31",",7","13",",7","0",",7","0",",7","","","20120113",",,7","20120120",",3,7","20120120",",2,7","","","20120130",",,7","20120126","+,,7","-13.3",",7,13,","635","3,,7,20,","198","2,,7,20,","46.7",",,7,30,","6.1",",7,26,+","2485.9","7","669.6",",7","160.4",",,,7","682","2,,,7","-3.27",",7","0.49",",,,7","-7.02",",,,7","13.9",",7"
"USC00107357","2012-02","47.6428","-115.9173","776.3","PRICHARD 3 ESE, ID US","0.1","3,7","0.0","7","0.0","3,7","14","4,Z","8","4,Z","0","4,Z","24","5,7","8","4,7","0","3,7","26","3,7","1","3,7","0","3,7","0","3,7","","","20120228","+,3,7","20120226",",5,7","20120226",",4,7","","","20120222",",4,Z","20120223",",3,7","-12.2","3,7,28,+","660","5,,7,26,","249","4,,7,26,","23.4","4,,Z,22,","6.1","3,7,23,","3000.6","7","514.7","3,7","87.2",",a,,Z","771","4,,,7","-1.46","3,7","2.52","3,,,7","-5.45","3,,,7","10.3","3,7"
"USC00107357","2012-03","47.6428","-115.9173","776.3","PRICHARD 3 ESE, ID US","0.1","4,7","0.0","7","0.0","4,7","","","","","","","26","5,7","5","5,7","0","4,7","27","4,7","1","4,7","0","4,7","0","4,7","1","","20120307",",4,7","20120301",",5,7","20120301",",5,7","","","","","20120326",",4,7","-11.7","4,7,07,","813","5,,7,01,","272","5,,7,01,","","","12.8","4,7,26,","3469.3","7","468.7","4,7","210.0",",a,,Z","534","5,,,7","0.97","4,7","5.44","4,,,7","-3.49","4,,,7","9.8","4,7"
