"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00200050","2010-02","47.292","-88.4209","331.6","AHMEEK 1 SW, MI US","","","0.0","2,0","6","2,0","5","2,0","0","2,0","26","2,0","6","1,0","0","2,0","26","2,0","22","2,0","0","2,0","0","2,0","","","20100202",",2,0","20100225",",2,0","20100225",",1,0","","","20100215",",2,0","20100221",",2,0","-14.4","2,0,02,","787","2,,0,25,","206","1,,0,25,","12.4","2,,0,15,","3.3","2,0,21,","","","647.7","2,0","45.6","2,,,0","643","1,,,0","-6.58","2,0","-3.07","2,,,0","-10.09","2,,,0","","","",""
"USC00200050","2010-03","47.292","-88.4209","331.6","AHMEEK 1 SW, MI US","","","0.0","4,0","3",",0","1",",0","0",",0","18","3,0","0",",0","0","4,0","22","4,0","4","4,0","0","4,0","0","4,0","1","","20100301",",4,0","20100301",",3,0","20100301",",,0","","","20100312",",,0","20100331",",4,0","-12.8","4,0,01,","635","3,,0,01,","23",",,0,01,","3.0",",,0,12,","16.1","4,0,31,","","","474.5","4,0","5.6",",,,0","23",",,,0","0.76","4,0","6.01","4,,,0","-4.49","4,,,0","","","",""
"USC00200050","2010-04","47.292","-88.4209","331.6","AHMEEK 1 SW, MI US","","","0.0",",0","6",",0","2",",0","0",",0","0",",0","0",",0","0",",0","13",",0","1",",0","4",",0","0",",0","1","","20100422",",,0","20100430","+,,0","20100417","+,,0","","","20100405",",,0","20100403",",,0","-6.1",",0,22,","0",",,0,30,+","0",",T,0,17,+","9.7",",,0,05,","25.0",",0,03,","","","347.6",",0","21.0",",,,0","0",",T,,0","6.75",",0","13.07",",,,0","0.42",",,,0","","","",""
"USC00200050","2010-05","47.292","-88.4209","331.6","AHMEEK 1 SW, MI US","","","18.0",",0","7",",0","3",",0","0",",0","1",",0","0",",0","0",",0","4",",0","0",",0","12",",0","2",",0","","","20100507",",,0","20100508",",,0","20100508",",,0","","","20100501",",,0","20100525",",,0","-1.7",",0,07,","25",",,0,08,","20",",,0,08,","15.0",",,0,01,","32.8",",0,25,","","","196.1",",0","40.7",",,,0","20",",,,0","12.59",",0","18.69",",,,0","6.49",",,,0","","","",""
"USC00200050","2010-06","47.292","-88.4209","331.6","AHMEEK 1 SW, MI US","","","","","9",",0","3",",0","2",",0","0",",0","0",",0","","","","","","","","","","","3","","","","20100630","+,,0","20100630","+,,0","","","20100609",",,0","","","","","0",",,0,30,+","0",",,0,30,+","26.9",",,0,09,","","","","","","","67.4",",,,0","0",",,,0","","","","","","","","","",""
"USC00200050","2010-07","47.292","-88.4209","331.6","AHMEEK 1 SW, MI US","","","69.8",",0","12",",0","5",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","1",",0","3","","20100701",",,0","20100731","+,,0","20100731","+,,0","","","20100715",",,0","20100704",",,0","7.8",",0,01,","0",",,0,31,+","0",",,0,31,+","8.4",",,0,15,","33.3",",0,04,","11.9","0","11.9",",0","39.5",",,,0","0",",,,0","20.20",",0","25.11",",,,0","15.29",",,,0","","","",""
"USC00200050","2010-08","47.292","-88.4209","331.6","AHMEEK 1 SW, MI US","","","83.1",",0","13",",0","5",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","23",",0","2",",0","1","","20100807",",,0","20100831","+,,0","20100831","+,,0","","","20100814",",,0","20100831",",,0","8.3",",0,07,","0",",,0,31,+","0",",,0,31,+","22.9",",,0,14,","33.9",",0,31,","41.7","0","29.8",",0","68.2",",,,0","0",",,,0","20.05",",0","24.84",",,,0","15.27",",,,0","","","",""
"USC00200050","2010-09","47.292","-88.4209","331.6","AHMEEK 1 SW, MI US","","","","","","","","","","","0",",0","0",",0","","","","","","","","","","","1","","","","20100930","+,,0","20100930","+,,0","1","","","","","","","","0",",,0,30,+","0",",,0,30,+","","","","","","","","","123.0","2,a,,0","0",",,,0","","","","","","","","","",""
"USC00200050","2010-10","47.292","-88.4209","331.6","AHMEEK 1 SW, MI US","","","0.0",",0","10",",0","5",",0","0",",0","0",",0","0",",0","0",",0","2",",0","0",",0","0",",0","0",",0","1","","20101004","+,,0","20101031","+,,0","20101029","+,,0","","","20101027",",,0","20101009",",,0","0.0",",0,04,+","0",",,0,31,+","0",",T,0,29,+","22.6",",,0,27,","20.0",",0,09,","","","305.8",",0","54.6",",,,0","0",",T,,0","8.47",",0","12.36",",,,0","4.57",",,,0","","","",""
"USC00200050","2010-11","47.292","-88.4209","331.6","AHMEEK 1 SW, MI US","","","0.0","1,0","15",",0","8",",0","0",",0","13","1,0","5",",0","0","1,0","21","1,0","6","1,0","0","1,0","0","1,0","","","20101126",",1,0","20101125",",1,0","20101125",",,0","","","20101123",",,0","20101111","+,1,0","-13.9","1,0,26,","203","1,,0,25,","124",",,0,25,","15.5",",,0,23,","12.2","1,0,11,+","","","507.6","1,0","66.0",",,,0","416",",,,0","0.83","1,0","4.30","1,,,0","-2.63","1,,,0","","","",""
"USC00200050","2010-12","47.292","-88.4209","331.6","AHMEEK 1 SW, MI US","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00200050","2011-01","47.292","-88.4209","331.6","AHMEEK 1 SW, MI US","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00200050","2011-03","47.292","-88.4209","331.6","AHMEEK 1 SW, MI US","","","0.0","3,7","7","3,7","2","3,7","0","3,7","28","3,7","2","3,7","0","3,7","27","3,7","12","3,7","0","3,7","0","3,7","1","","20110303","+,3,7","20110308",",3,7","20110321",",3,7","","","20110321",",3,7","20110316",",3,7","-15.6","3,7,03,+","381","3,,7,08,","53","3,,7,21,","7.4","3,,7,21,","11.1","3,7,16,","","","617.7","3,7","16.5","3,,,7","157","3,,,7","-3.73","3,7","0.42","3,,,7","-7.88","3,,,7","265","4,7","16.1","4,7"
"USC00200050","2011-04","47.292","-88.4209","331.6","AHMEEK 1 SW, MI US","","","0.0",",7","13",",7","9",",7","0",",7","16","2,7","3","1,7","0",",7","23",",7","3",",7","0",",7","0",",7","4","","20110419","+,,7","20110405",",2,7","20110404",",1,7","1","","20110417",",,7","20110413",",,7","-10.6",",7,19,+","254","2,,7,05,","122","1,,7,04,","15.2",",,7,17,","17.8",",7,13,","","","463.1",",7","79.9",",,,7","272","1,,,7","2.90",",7","7.50",",,,7","-1.71",",,,7","297","2,7","15.6","2,7"
