"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00210981","1940-07","43.544","-93.8423","356.6","BRICELYN, MN US","","","5",",6","3",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","19400710",",,6","","","","","","","","","11.7",",,6,10,","","","","","28.0",",,,6","","","","","","","",""
"USC00210981","1940-08","43.544","-93.8423","356.6","BRICELYN, MN US","","","15",",6","13",",6","5",",6","","","","","","","","","","","","","","","","","","","","","","","3","","19400824",",,6","","","","","","","","","48.8",",,6,24,","","","","","259.5",",,,6","","","","","","","",""
"USC00210981","1940-09","43.544","-93.8423","356.6","BRICELYN, MN US","","","5",",6","2",",6","1",",6","","","","","","","","","","","","","","","","","","","","","","","2","","19400909",",,6","","","","","","","","","50.8",",,6,09,","","","","","59.2",",,,6","","","","","","","",""
"USC00210981","1940-10","43.544","-93.8423","356.6","BRICELYN, MN US","","","8",",6","7",",6","1",",6","","","","","","","","","","","","","","","","","","","","","","","2","","19401006",",,6","","","","","","","","","26.2",",,6,06,","","","","","95.0",",,,6","","","","","","","",""
"USC00210981","1940-11","43.544","-93.8423","356.6","BRICELYN, MN US","","","7",",6","6",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","19401112",",,6","","","","","","","","","23.4",",,6,12,","","","","","89.1",",,,6","","","","","","","",""
"USC00210981","1940-12","43.544","-93.8423","356.6","BRICELYN, MN US","","","3",",6","2",",6","0",",6","","","","","","","","","","","","","","","9","","","","","","","","","","19401216",",,6","","","","","","","","","20.3",",,6,16,","","","","","25.9",",,,6","","","","","","","",""
"USC00210981","1941-01","43.544","-93.8423","356.6","BRICELYN, MN US","","","7",",6","5",",6","0",",6","","","","","","","","","","","","","","","2","","","","","","","","","","19410101",",,6","","","","","","","","","7.4",",,6,01,","","","","","24.7",",,,6","","","","","","","",""
"USC00210981","1941-02","43.544","-93.8423","356.6","BRICELYN, MN US","","","2",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","19410216",",,6","","","","","","","","","6.1",",,6,16,","","","","","8.6",",,,6","","","","","","","",""
"USC00210981","1941-03","43.544","-93.8423","356.6","BRICELYN, MN US","","","5",",6","3",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","19410303",",,6","","","","","","","","","16.3",",,6,03,","","","","","29.6",",,,6","","","","","","","",""
"USC00210981","1941-04","43.544","-93.8423","356.6","BRICELYN, MN US","","","5",",6","4",",6","1",",6","","","","","","","","","","","","","","","","","","","","","","","2","","19410413",",,6","","","","","","","","","26.2",",,6,13,","","","","","73.7",",,,6","","","","","","","",""
"USC00210981","1941-05","43.544","-93.8423","356.6","BRICELYN, MN US","","","9",",6","7",",6","2",",6","","","","","","","","","","","","","","","","","","","","","","","1","","19410529",",,6","","","","","","","","","46.5",",,6,29,","","","","","128.6",",,,6","","","","","","","",""
"USC00210981","1941-06","43.544","-93.8423","356.6","BRICELYN, MN US","","","9",",6","8",",6","3",",6","","","","","","","","","","","","","","","","","","","","","","","3","","19410630",",,6","","","","","","","","","30.5",",,6,30,","","","","","139.8",",,,6","","","","","","","",""
"USC00210981","1941-07","43.544","-93.8423","356.6","BRICELYN, MN US","","","7",",6","5",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","19410718",",,6","","","","","","","","","19.1",",,6,18,","","","","","48.9",",,,6","","","","","","","",""
"USC00210981","1941-08","43.544","-93.8423","356.6","BRICELYN, MN US","","","6",",6","5",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","2","","19410802",",,6","","","","","","","","","24.6",",,6,02,","","","","","54.1",",,,6","","","","","","","",""
"USC00210981","1941-10","43.544","-93.8423","356.6","BRICELYN, MN US","","","11",",6","10",",6","2",",6","","","","","","","","","","","","","","","","","","","","","","","","","19411031",",,6","","","","","","","","","50.8",",,6,31,","","","","","189.0",",,,6","","","","","","","",""
"USC00210981","1941-11","43.544","-93.8423","356.6","BRICELYN, MN US","","","1",",6","1",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","19411106",",,6","","","","","","","","","14.5",",,6,06,","","","","","14.5",",,,6","","","","","","","",""
"USC00210981","1941-12","43.544","-93.8423","356.6","BRICELYN, MN US","","","2",",6","0",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","19411217",",,6","","","","","","","","","2.3",",,6,17,","","","","","3.8",",,,6","","","","","","","",""
"USC00210981","1942-01","43.544","-93.8423","356.6","BRICELYN, MN US","","","2",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","19420102",",,6","","","","","","","","","8.9",",,6,02,","","","","","12.2",",,,6","","","","","","","",""
