"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00232443","1940-06","36.883333","-91.033333","292.3","EASTWOOD LOOKOUT, MO US","","","","","","","","","1","","","","","","","","","","","","","","",""
"USC00232443","1940-07","36.883333","-91.033333","292.3","EASTWOOD LOOKOUT, MO US","3",",6","2",",6","0",",6","","","","","","","","","19400721",",,6","","","13.2",",,6,21,","18.1",",,,6","",""
"USC00232443","1940-08","36.883333","-91.033333","292.3","EASTWOOD LOOKOUT, MO US","12",",6","11",",6","3",",6","","","","","","","","","19400810",",,6","","","56.9",",,6,10,","231.7",",,,6","",""
"USC00232443","1940-09","36.883333","-91.033333","292.3","EASTWOOD LOOKOUT, MO US","4",",6","2",",6","0",",6","","","","","","","","","19400924",",,6","","","7.6",",,6,24,","15.8",",,,6","",""
"USC00232443","1940-10","36.883333","-91.033333","292.3","EASTWOOD LOOKOUT, MO US","4",",6","2",",6","0",",6","","","","","","","","","19401007",",,6","","","23.4",",,6,07,","28.5",",,,6","",""
"USC00232443","1940-11","36.883333","-91.033333","292.3","EASTWOOD LOOKOUT, MO US","10",",6","6",",6","3",",6","","","","","","","","","19401111",",,6","","","41.7",",,6,11,","127.6",",,,6","",""
"USC00232443","1940-12","36.883333","-91.033333","292.3","EASTWOOD LOOKOUT, MO US","13",",6","5",",6","0",",6","","","1","","","","","","19401216",",,6","","","19.8",",,6,16,","68.6",",,,6","",""
"USC00232443","1941-01","36.883333","-91.033333","292.3","EASTWOOD LOOKOUT, MO US","10",",6","6",",6","2",",6","","","4","","","","","","19410101",",,6","","","35.1",",,6,01,","107.4",",,,6","",""
"USC00232443","1941-02","36.883333","-91.033333","292.3","EASTWOOD LOOKOUT, MO US","6",",6","3",",6","0",",6","","","","","","","","","19410213",",,6","","","10.2",",,6,13,","18.7",",,,6","",""
"USC00232443","1941-03","36.883333","-91.033333","292.3","EASTWOOD LOOKOUT, MO US","7",",6","2",",6","0",",6","","","","","","","","","19410331",",,6","","","10.9",",,6,31,","23.4",",,,6","",""
