"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00279045","1992-12","43.3","-71.7","137.2","WEBSTER, NH US","","","0.0","4,0","7","1,0","6","1,0","1","1,0","","","2","2,0","2","4,0","27","4,0","10","3,0","0","3,0","0","3,0","","","19921225",",4,0","","","19921212",",2,0","","","19921226",",1,0","19921202",",3,0","-18.3","4,0,25,","","","64","2,,0,12,","25.4","1,,0,26,","8.3","3,0,02,","575.9","3,0","77.5","1,,,0","102","2,,,0","-3.06","4,0","1.86","3,,,0","-7.99","4,,,0"
"USC00279045","1993-01","43.3","-71.7","137.2","WEBSTER, NH US","0.0","0","0.0",",0","9",",0","7",",0","0",",0","21",",0","3",",0","3",",0","31",",0","17",",0","0",",0","0",",0","","","19930120",",,0","19930117","+,,0","19930114",",,0","","","19930114",",,0","19930106",",,0","-21.1",",0,20,","254",",,0,17,+","191",",,0,14,","17.8",",,0,14,","14.4",",0,06,","727.0",",0","60.0",",,,0","378",",,,0","-5.12",",0","0.16",",,,0","-10.39",",,,0"
"USC00279045","1993-02","43.3","-71.7","137.2","WEBSTER, NH US","0.0","0","0.0","2,0","7",",0","6",",0","1",",0","26","2,0","7",",0","12","2,0","26","2,0","19","2,0","0","2,0","0","2,0","","","19930207",",2,0","19930225","+,2,0","19930217",",,0","","","19930217",",,0","19930206",",2,0","-30.0","2,0,07,","635","2,,0,25,+","254",",,0,17,","28.2",",,0,17,","7.8","2,0,06,","727.2","2,0","80.8",",,,0","711",",,,0","-9.64","2,0","-2.30","2,,,0","-16.97","2,,,0"
"USC00279045","1993-03","43.3","-71.7","137.2","WEBSTER, NH US","0.0","0","0.0","1,0","9",",0","8",",0","2",",0","31",",0","6",",0","3","1,0","27","1,0","6","1,0","0","1,0","0","1,0","","","19930319",",1,0","19930314",",,0","19930314",",,0","","","19930314",",,0","19930328",",1,0","-23.3","1,0,19,","711",",,0,14,","356",",,0,14,","41.7",",,0,14,","20.6","1,0,28,","590.9","1,0","116.6",",,,0","724",",,,0","-1.36","1,0","5.24","1,,,0","-7.97","1,,,0"
"USC00279045","1993-04","43.3","-71.7","137.2","WEBSTER, NH US","0.0","0","0.0","3,0","10","2,0","9","2,0","0","2,0","7",",0","2",",0","0","2,0","17","2,0","1","3,0","4","3,0","0","3,0","","","19930408","+,2,0","19930403","+,,0","19930402",",,0","","","19930423",",2,0","19930426",",3,0","-6.1","2,0,08,+","229",",,0,03,+","102",",,0,02,","19.8","2,,0,23,","25.0","3,0,26,","309.5","3,0","114.4",",a,,0","127",",,,0","6.93","3,0","13.77","3,,,0","0.09","2,,,0"
"USC00279045","1993-05","43.3","-71.7","137.2","WEBSTER, NH US","","","","","6","5,0","2","5,0","0","5,0","0",",0","0",",0","","","","","","","","","","","","","","","19930531","+,,0","19930531","+,,0","","","19930519",",5,0","","","","","0",",,0,31,+","0",",,0,31,+","4.8","5,,0,19,","","","","","18.3","1,a,,0","0",",,,0","","","","","",""
"USC00279045","1993-06","43.3","-71.7","137.2","WEBSTER, NH US","","","32.7","4,0","8",",0","7",",0","0",",0","0",",0","0",",0","0","4,0","0","4,0","0","4,0","21","4,0","0","4,0","1","","19930603","+,4,0","19930630","+,,0","19930630","+,,0","1","","19930601",",,0","19930627","+,4,0","1.1","4,0,03,+","0",",,0,30,+","0",",,0,30,+","17.8",",,0,01,","31.7","4,0,27,+","45.1","4,0","70.8",",,,0","0",",,,0","17.86","4,0","25.45","4,,,0","10.27","4,,,0"
"USC00279045","1993-07","43.3","-71.7","137.2","WEBSTER, NH US","","","","","13",",0","7",",0","0",",0","0",",0","0",",0","0","4,0","0","4,0","","","","","","","3","","19930703",",4,0","19930731","+,,0","19930731","+,,0","3","","19930730",",,0","","","8.3","4,0,03,","0",",,0,31,+","0",",,0,31,+","11.7",",,0,30,","","","","","50.7",",,,0","0",",,,0","","","","","13.94","4,,,0"
"USC00279045","1993-08","43.3","-71.7","137.2","WEBSTER, NH US","","","58.2","5,0","5",",0","3",",0","2",",0","0",",0","0",",0","0","5,0","0","5,0","0","5,0","26","5,0","2","5,0","","","19930822",",5,0","19930831","+,,0","19930831","+,,0","","","19930818",",,0","19930829","+,5,0","5.0","5,0,22,","0",",,0,31,+","0",",,0,31,+","35.8",",,0,18,","33.3","5,0,29,+","11.4","5,0","73.7",",,,0","0",",,,0","20.13","5,0","27.30","5,,,0","12.97","5,,,0"
"USC00279045","1993-09","43.3","-71.7","137.2","WEBSTER, NH US","","","","","","","","","","","0",",0","0",",0","","","","","","","","","","","","","","","19930930","+,,0","19930930","+,,0","1","","","","","","","","0",",,0,30,+","0",",,0,30,+","","","","","","","107.4",",a,,0","0",",,,0","","","","","",""
